Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,12000000.0,10000000.0,9000000.0,9000000.0,000000.0
Stock-based compensation,28000000.0,23000000.0,22000000.0,25000000.0,47000000.0
Operating Cash Flow,-167000000.0,-201000000.0,-91000000.0,-437000000.0,2000000000.0
Capital Expenditure,,,,,
Acquisitions and disposals,,,,,
Investment purchases and sales,-78000000,-56000000,-64000000,-72000000,-448000000
Investing Cash flow,-3213000000.0,-3331000000.0,-1848000000.0,-1388000000.0,9210000000.0
Issuance (repayment) of debt,-835000000.0,-1064000000.0,-752000000.0,000000.0,-27220000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,2995000000.0,3035000000.0,1995000000.0,2002000000.0,-9920000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-384000000.0,-497000000.0,56000000.0,177000000.0,1290000000.0
Free Cash Flow,-167000000.0,-201000000.0,-91000000.0,-437000000.0,2000000000.0
Net Cash/Marketcap,,,,,
