Date,2018-03-31,2017-04-01,2017-03,2016-04-02,2016-03,2015-03-28,2015-03,2014-03-29,2014-03,2013-03-31,2013-03,2012-03-31
Cash and cash equivalents,76792000.0,56642000.0,57000000.0,42413000.0,42000000.0,50994000.0,51000000.0,68461000.0,68000000.0,0.0,89000000.0,69780000.0
Short-term investments,47121000.0,5743000.0,6000000.0,15252000.0,15000000.0,6612000.0,7000000.0,40806000.0,38000000.0,0.0,56000000.0,106674000.0
Cash and short-term investments,123913000.0,62385000.0,6000000.0,57665000.0,15000000.0,57606000.0,7000000.0,109267000.0,38000000.0,0.0,56000000.0,176454000.0
Receivables,63044000.0,40494000.0,40000000.0,42770000.0,43000000.0,45951000.0,46000000.0,37813000.0,38000000.0,0.0,32000000.0,32744000.0
Inventories,87686000.0,58942000.0,59000000.0,60470000.0,60000000.0,56637000.0,57000000.0,58902000.0,59000000.0,0.0,63000000.0,68055000.0
Total current assets,284870000.0,173714000.0,51000000.0,167426000.0,53000000.0,168978000.0,52000000.0,210509000.0,60000000.0,0.0,76000000.0,314963000.0
Property Plant & Equipment Net,22025000.0,21619000.0,33000000.0,24543000.0,32000000.0,25858000.0,33000000.0,27930000.0,28000000.0,0.0,28000000.0,32103000.0
Goodwill and Intangible Assets,7795000.0,9591000.0,10000000,14591000.0,14000000,16675000.0,17000000,14734000.0,15000000,0.0,17000000,12346000.0
Long-term investments,0.0,0.0,000000.0,56900000.0,000000.0,0.0,000000.0,0.0,4000000.0,0.0,12000000.0,23046000.0
Tax assets,43518000.0,882000.0,000000.0,0.0,000000.0,178000.0,0000000.0,704000.0,0000000.0,0.0,000000.0,36489000.0
Total non-current assets,88118000.0,51031000.0,22000000.0,52674000.0,9000000.0,52262000.0,2000000.0,59700000.0,2000000.0,0.0,6000000.0,118247000.0
Total assets,372988000.0,224745000.0,225000000.0,220100000.0,220000000.0,221240000.0,221000000.0,270209000.0,270000000.0,0.0,322000000.0,433210000.0
Payables,37354000.0,21213000.0,21000000.0,16061000.0,16000000.0,9514000.0,10000000.0,14465000.0,14000000.0,0.0,17000000.0,13045000.0
Short-term debt,421000.0,434000.0,0000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Total current liabilities,81705000.0,58111000.0,58000000.0,40768000.0,41000000.0,42300000.0,42000000.0,45674000.0,46000000.0,0.0,52000000.0,45431000.0
Long-term debt,12766000.0,13489000.0,13000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Total debt,13187000.0,13923000.0,13000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0
Deferred revenue,9818000.0,14712000.0,16000000.0,6373000.0,8000000.0,12376000.0,13000000.0,10515000.0,11000000.0,0.0,10000000.0,10751000.0
Tax Liabilities,14316000.0,10744000.0,0000000.0,181000.0,0000000.0,83000.0,0000000.0,162000.0,000000.0,0.0,000000.0,0.0
Deposit Liabilities,2214000.0,1242000.0,,1731000.0,,1057000.0,,375000.0,,0.0,,0.0
Total non-current liabilities,15367000.0,14197000.0,22000000.0,1546000.0,9000000.0,443000.0,2000000.0,1654000.0,2000000.0,0.0,6000000.0,9109000.0
Total liabilities,106630000.0,80214000.0,80000000.0,50069000.0,50000000.0,43919000.0,44000000.0,47328000.0,47000000.0,0.0,58000000.0,54540000.0
Other comprehensive income,0.0,0.0,-1000000.0,0.0,-1000000.0,0.0,-0000000.0,0.0,0000000.0,0.0,0000000.0,0.0
Retained earnings (deficit),54816000.0,-61407000.0,-61000000.0,-23998000.0,-24000000.0,-11741000.0,-12000000.0,39336000.0,39000000.0,0.0,87000000.0,210021000.0
Total shareholders equity,266358000.0,144531000.0,145000000.0,170031000.0,170000000.0,177321000.0,177000000.0,222881000.0,223000000.0,0.0,264000000.0,378670000.0
Investments,47121000.0,5743000.0,000000.0,72152000.0,000000.0,6612000.0,000000.0,40806000.0,4000000.0,0.0,12000000.0,129720000.0
Net Debt,-63605000.0,-42719000.0,-44000000,-42413000.0,-42000000,-50994000.0,-51000000,-68461000.0,-68000000,0.0,-89000000,-69780000.0
Other Assets,0.0,0.0,16000000,0.0,9000000,0.0,8000000,0.0,19000000,0.0,20000000,0.0
Other Liabilities,9558000.0,7906000.0,15000000,7755000.0,9000000,1176000.0,3000000,0.0,4000000,0.0,6000000,0.0
