Date,2018-12-31,2017-12-31
Cash and cash equivalents,115672413.7931,35687875.1501
Short-term investments,0.0,0.0
Cash and short-term investments,115672413.7931,35687875.1501
Receivables,14981609.1954,23499399.7599
Inventories,10840229.8851,11319327.7311
Total current assets,155611494.2529,79835534.2137
Property Plant & Equipment Net,5770114.9425,4051620.6483
Goodwill and Intangible Assets,206896.5517,565426.1705
Long-term investments,0.0,0.0
Tax assets,5831034.4828,5434573.8295
Total non-current assets,7629885.0575,5971188.4754
Total assets,163241379.3103,85806722.6891
Payables,54805747.1264,53541416.5666
Short-term debt,0.0,2693877.551
Total current liabilities,105944827.5862,100945978.3914
Long-term debt,0.0,0.0
Total debt,0.0,2693877.551
Deferred revenue,7462068.9655,4608643.4574
Tax Liabilities,8703448.2759,9297719.0876
Deposit Liabilities,0.0,0.0
Total non-current liabilities,0.0,0.0
Total liabilities,105944827.5862,100945978.3914
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-990859770.1149,-813559423.7695
Total shareholders equity,57431034.4828,3789915.9664
Investments,0.0,0.0
Net Debt,,
Other Assets,13760747.1264,
Other Liabilities,51139080.4598,44710684.2738
