Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,11920000.0,7091000.0,5373000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,11920000.0,7091000.0,5373000.0
Receivables,22497000.0,13241000.0,10450000.0
Inventories,22485000.0,17309000.0,16108000.0
Total current assets,62021000.0,42856000.0,37299000.0
Property Plant & Equipment Net,77479000.0,81754000.0,96135000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,18108000.0,15727000.0,0.0
Tax assets,0.0,0.0,246000.0
Total non-current assets,97794000.0,99485000.0,97666000.0
Total assets,159815000.0,142341000.0,134965000.0
Payables,14601000.0,12952000.0,12711000.0
Short-term debt,5492000.0,2692000.0,3324000.0
Total current liabilities,23602000.0,19437000.0,19621000.0
Long-term debt,32547000.0,35939000.0,42016000.0
Total debt,38039000.0,38631000.0,45340000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,35517000.0,41861000.0,47957000.0
Total liabilities,59119000.0,61298000.0,67578000.0
Other comprehensive income,-562000.0,-391000.0,-541000.0
Retained earnings (deficit),33867000.0,39272000.0,35450000.0
Total shareholders equity,100696000.0,81043000.0,67387000.0
Investments,18108000.0,15727000.0,0.0
Net Debt,,,
Other Assets,,,
Other Liabilities,3509000.0,3793000.0,3586000.0
