date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,198000000.0,850000000.0,-155000000.0,2174000000.0,-424000000.0,-571000000.0,2114000000.0,430000000.0,859000000.0,376000000.0,-1097000000.0,285000000.0,1418000000.0,990000000.0,308500000.0,313600000.0,163700000.0,-492200000.0,-754700000.0,-477700000.0,524300000.0,221400000.0,127500000.0,271400000.0,362300000.0,1318200000.0,246700000.0
,depreciationAndAmortization,1721000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,108000000.0,376000000.0,220000000.0,-2012000000.0,-26000000.0,-337000000.0,1264000000.0,424000000.0,206000000.0,-179000000.0,0.0,0.0,0.0,0.0,169200000.0,-45300000.0,123000000.0,66600000.0,-122100000.0,346200000.0,351500000.0,455100000.0,42900000.0,81800000.0,72400000.0,125400000.0,25800000.0
,stockBasedCompensation,0.0,57000000.0,55000000.0,78000000.0,73000000.0,82000000.0,53000000.0,37000000.0,36000000.0,0.0,48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1498000000.0,-2041000000.0,120000000.0,1020000000.0,-517000000.0,-293000000.0,-377000000.0,-675000000.0,156000000.0,263000000.0,-1360000000.0,424000000.0,-215000000.0,-521400000.0,381300000.0,349400000.0,-1627200000.0,947300000.0,2134100000.0,770300000.0,-2071200000.0,1651500000.0,-135600000.0,-462300000.0,396900000.0,-689000000.0,-130800000.0
,accountsReceivables,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-11000000.0,5000000.0,-16000000.0,8000000.0,-25000000.0,105000000.0,-36000000.0,-17000000.0,5000000.0,60000000.0,-81000000.0,33000000.0,-48000000.0,29000000.0,31300000.0,-9700000.0,-18300000.0,88100000.0,81900000.0,43100000.0,-293400000.0,-118700000.0,-61600000.0,-73700000.0,-16100000.0,11900000.0,10200000.0
,accountsPayables,-7000000.0,-46000000.0,-93000000.0,118000000.0,25000000.0,-90000000.0,-8000000.0,-35000000.0,-110000000.0,250000000.0,-14000000.0,5000000.0,-343000000.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-890000000.0,-2388000000.0,-347000000.0,-467000000.0,-1487000000.0,-970000000.0,-677000000.0,-300000000.0,375000000.0,219000000.0,-44000000.0,1316000000.0,892000000.0,1107000000.0,1628400000.0,1247100000.0,897700000.0,2524900000.0,1577600000.0,-556500000.0,-1326800000.0,744400000.0,-907100000.0,-771500000.0,-309200000.0,-706100000.0,-17100000.0
,otherNonCashItems,0.0,0.0,-15000000.0,776000000.0,0.0,0.0,0.0,0.0,-144000000.0,6000000.0,2136000000.0,684000000.0,45000000.0,369000000.0,25500000.0,0.0,-73900000.0,-369000000.0,0.0,0.0,0.0,742000000.0,646300000.0,499500000.0,411400000.0,369400000.0,150300000.0
,netCashProvidedByOperatingActivites,3496000000.0,3693000000.0,3293000000.0,2556000000.0,3664000000.0,2678000000.0,2115000000.0,2217000000.0,1835000000.0,3439000000.0,2651000000.0,2572000000.0,3355000000.0,2237000000.0,1889600000.0,1449900000.0,1487900000.0,770100000.0,-871100000.0,1586400000.0,505800000.0,1487700000.0,612700000.0,919600000.0,710400000.0,828700000.0,367600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1160000000.0,-2149000000.0,-3263000000.0,-2440000000.0,-2051000000.0,-3167000000.0,-4031000000.0,-3572000000.0,-2529000000.0,-2796000000.0,-2788000000.0,-2387000000.0,-3475000000.0,-2816000000.0,-2509200000.0,-1299000000.0,-787400000.0,-956800000.0,-1823800000.0,-1922200000.0,-4903500000.0,-3513100000.0,-1708200000.0,-1162100000.0,-818900000.0,-827500000.0,-468300000.0
,acquisitionsNet,0.0,-730000000.0,1296000000.0,2067000000.0,1020000000.0,-112000000.0,-5958000000.0,-6000000.0,-2049000000.0,-41000000.0,-1099000000.0,0.0,0.0,471000000.0,0.0,31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-325000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-488000000.0,-142000000.0,-142000000.0,-364000000.0,0.0,-340100000.0,-473900000.0,-150400000.0,-308700000.0,-574000000.0,-1655700000.0,-2034200000.0,-470300000.0,-134200000.0,-76900000.0,-49700000.0,-3300000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79000000.0,0.0,0.0,3000000.0,55000000.0,445000000.0,0.0,202100000.0,945500000.0,128600000.0,273000000.0,407600000.0,2957100000.0,599400000.0,0.0,0.0,0.0,125100000.0,80600000.0
,otherInvestingActivites,0.0,20000000.0,374000000.0,409000000.0,290000000.0,572000000.0,314000000.0,-19000000.0,229000000.0,-166000000.0,79000000.0,144000000.0,90000000.0,-44000000.0,164900000.0,586400000.0,55400000.0,-379700000.0,281900000.0,-111600000.0,90200000.0,-240600000.0,93300000.0,7300000.0,-240900000.0,-420600000.0,18900000.0
,netCashUsedForInvestingActivites,-1558000000.0,-2827000000.0,-2725000000.0,633000000.0,-416000000.0,-3299000000.0,-10157000000.0,-4052000000.0,-6921000000.0,-3003000000.0,-4296000000.0,-2310000000.0,-3183000000.0,-2296000000.0,-2321400000.0,-819200000.0,629400000.0,1496100000.0,1289400000.0,-3543300000.0,-4165300000.0,-5276000000.0,-2040100000.0,-1270500000.0,-1419700000.0,584900000.0,-427000000.0
