date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,68344527.0,73034549.0,63627551.0,72977548.0,66482107.0,48515730.0,126356264.0,156997595.0,102297870.0,51140211.0,42419028.0,-23639951.0,45663156.0,16122910.0,9562791.0
,depreciationAndAmortization,17584443.0,15132875.0,13727526.0,8688384.0,8751664.0,6998122.0,3137122.0,2513268.0,2500832.0,2737723.0,2173278.0,2394951.0,1825978.0,734421.0,546832.0
,deferredIncomeTax,-27109611.0,-45894308.0,-24850525.0,-14526027.0,-21429746.0,7208812.0,-17313890.0,-3594893.0,5892472.0,10594874.0,-6100697.0,1528003.0,9441002.0,2520756.0,1879505.0
,stockBasedCompensation,5621588.0,3382628.0,4894478.0,7828255.0,3774826.0,2736313.0,427989.0,2151844.0,1740861.0,2646699.0,3302750.0,8189903.0,0.0,0.0,0.0
,changeInWorkingCapital,152898103.0,-224142966.0,51736535.0,-217595958.0,-66325248.0,-956390633.0,-326759442.0,35653609.0,99745164.0,-12057042.0,87363099.0,-257206122.0,-239878912.0,-47500824.0,574580.0
,accountsReceivables,-37591293.0,36940910.0,-63691438.0,6948740.0,-28650522.0,-6932612.0,-5271522.0,17220316.0,-16690757.0,5860928.0,-3889516.0,-4963446.0,0.0,0.0,0.0
,inventory,853522576.0,165168577.0,-203764486.0,-82704667.0,-31323277.0,-748914948.0,21067077.0,56460898.0,-20589328.0,-126752440.0,71165832.0,-247014366.0,0.0,141776.0,0.0
,accountsPayables,392316329.0,127227761.0,131546280.0,39976328.0,144250668.0,157267231.0,-54094569.0,9315426.0,75620252.0,49438402.0,7996345.0,39753870.0,0.0,0.0,0.0
,otherWorkingCapital,-899404554.0,217142801.0,157556448.0,1544344.0,-47289931.0,20974758.0,-14686539.0,-16283668.0,2191773.0,9889271.0,-21332802.0,-14146248.0,1700683.0,-43154124.0,-13862365.0
,otherNonCashItems,19328707.0,-12505373.0,-178686243.0,-89946853.0,7502286.0,-948088.0,710626.0,2151844.0,0.0,-2352607.0,3302750.0,-3603164.0,-437203.0,0.0,0.0
,netCashProvidedByOperatingActivites,272256758.0,-22901923.0,139712972.0,-159881300.0,-4535075.0,-884314436.0,-213324143.0,182720894.0,212827733.0,51422170.0,124505986.0,-243597677.0,-174674607.0,-27679223.0,12555395.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5510126.0,-9132946.0,-5565513.0,-2739578.0,-2477039.0,-5932847.0,-3481806.0,-375256.0,-1164086.0,-981194.0,-353113.0,-1194950.0,-1379675.0,-1554797.0,-174245.0
,acquisitionsNet,-50000000.0,-115000000.0,-822000000.0,7000000.0,-33000000.0,-10000000.0,-91000000.0,0.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-50546390.0,-127031797.0,-822029106.0,0.0,-38819326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-556958.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,6284380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111521.0,0.0
,otherInvestingActivites,11087850.0,158634902.0,0.0,0.0,0.0,0.0,-5967905.0,0.0,0.0,144955.0,-182407.0,-7808605.0,-1243363.0,0.0,0.0
,netCashUsedForInvestingActivites,-43030099.0,34562924.0,-827168769.0,4467639.0,-35002993.0,-15891636.0,-99961602.0,-354004.0,-1164086.0,8432309.0,-535520.0,-9003555.0,-2623038.0,-3021906.0,-666204.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1854008345.0,-1443348950.0,-835949974.0,-1513067388.0,-806215676.0,-199245956.0,-352007392.0,-161228683.0,-24860148.0,-306358919.0,-227362735.0,-119928007.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,32792232.0,0.0,22.0,15188.0,399110.0,217881.0,262882355.0,36471405.0,0.0
,commonStockRepurchased,-29001092.0,-27614859.0,-14058280.0,-33692647.0,-6609170.0,-24653512.0,-5767159.0,-5708281.0,-7958841.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-19647356.0,-25739147.0,-26090734.0,-20545257.0,-14751703.0,-15288919.0,-14724740.0,-8769530.0,-7661057.0,0.0,0.0,0.0,0.0,-1476461.0,0.0
,otherFinancingActivites,-11787011.0,-89675401.0,-127918436.0,101313973.0,47685085.0,-180765056.0,-107853785.0,9616518.0,-148147703.0,-39926219.0,17757959.0,-6260261.0,-13451533.0,-26514573.0,6553410.0
,netCashUsedProvidedByFinancingActivities,-278472789.0,-189581282.0,942144670.0,375230167.0,306282098.0,455065629.0,393912695.0,-6781779.0,-118674027.0,-10203228.0,-101962070.0,66675673.0,448404724.0,49295040.0,-2474274.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-34185442.0,-97290417.0,61618229.0,-29100220.0,-19710692.0,-1483929.0,10287380.0,1401530.0,12902664.0,5874430.0,133074.0,12269197.0,3293793.0,1391552.0,264605.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
