Date,2018-03-31,2017-03-31
Cash and cash equivalents,79339584.0,116880242.0
Short-term investments,1752360.0,532641.0
Cash and short-term investments,81091944.0,117412883.0
Receivables,54545424.0,45280752.0
Inventories,23076569.0,12383784.0
Total current assets,166824412.0,177600669.0
Property Plant & Equipment Net,1566311777.0,1642449711.0
Goodwill and Intangible Assets,273525.0,513645.0
Long-term investments,9377561.0,8988839.0
Tax assets,0.0,0.0
Total non-current assets,1603101446.0,1676214520.0
Total assets,1769925858.0,1853815189.0
Payables,22126309.0,10728098.0
Short-term debt,80372494.0,74372494.0
Total current liabilities,104509407.0,87718697.0
Long-term debt,611363065.0,683294932.0
Total debt,691735559.0,757667426.0
Deferred revenue,2010604.0,2618105.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,611363065.0,683294932.0
Total liabilities,715872472.0,771013629.0
Other comprehensive income,6129921.0,4521480.0
Retained earnings (deficit),15901601.0,46461964.0
Total shareholders equity,1019360183.0,1048312105.0
Investments,11129921.0,9521480.0
Net Debt,610643615.0,640254543.0
Other Assets,8110475.0,2523250.0
Other Liabilities,2010604.0,2618105.0
