Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,291403183.7916,144563029.0206,889000000000.0
Short-term investments,290167004.3415,221044286.578,
Cash and short-term investments,581570188.1331,365607315.5986,889000000000.0
Receivables,350022141.8234,85368954.0508,10000000.0
Inventories,0.0,0.0,
Total current assets,1062520839.3632,456101269.6493,
Property Plant & Equipment Net,994066.5702,905985.4897,285000000000.0
Goodwill and Intangible Assets,122575.9768,39600.9674,
Long-term investments,0.0,0.0,
Tax assets,0.0,11417170.4958,
Total non-current assets,1116642.547,12362756.9528,
Total assets,1063637481.9103,468464026.6022,
Payables,54863675.8321,275223095.526,
Short-term debt,0.0,0.0,
Total current liabilities,418781620.8394,357498337.364,
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,
Deferred revenue,0.0,0.0,
Tax Liabilities,88610998.5528,22166565.9008,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,2280463.097,0.0,
Total liabilities,421062083.9363,357498337.364,
Other comprehensive income,532995.6585,0.0,
Retained earnings (deficit),-62266714.9059,21787938.3313,-3000000.0
Total shareholders equity,642575397.974,110965689.2382,
Investments,290167004.3415,221044286.578,
Net Debt,,,
Other Assets,,,
Other Liabilities,363917945.0073,82275241.838,
