date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,350574000.0,297436000.0,377240000.0,125454000.0,107528000.0,42863000.0,86874000.0,53262000.0,28889000.0,6952000.0,8954000.0,-1570000.0,-4713000.0,-34495000.0,69737000.0,63152000.0,49777000.0,34344000.0
,depreciationAndAmortization,30002000.0,35730000.0,29374000.0,26032000.0,25223000.0,29636000.0,18773000.0,16699000.0,18784000.0,20401000.0,11541000.0,5872000.0,4619000.0,17421000.0,4507000.0,778000.0,667000.0,626000.0
,deferredIncomeTax,13824000.0,-10503000.0,-3981000.0,148320000.0,10043000.0,-3627000.0,14315000.0,20058000.0,-7967000.0,11026000.0,2899000.0,5851000.0,-2781000.0,-5945000.0,-1487000.0,0.0,0.0,0.0
,stockBasedCompensation,367438000.0,360341000.0,293507000.0,230268000.0,258295000.0,207533000.0,111771000.0,121608000.0,115632000.0,94253000.0,55914000.0,59518000.0,29380000.0,140837000.0,4399000.0,0.0,0.0,0.0
,changeInWorkingCapital,83993000.0,289843000.0,195773000.0,73941000.0,120797000.0,43539000.0,44176000.0,47900000.0,22800000.0,-10900000.0,-86500000.0,40300000.0,104700000.0,71500000.0,-32814000.0,1416000.0,-837000.0,-4073000.0
,accountsReceivables,-78573000.0,5241000.0,-130956000.0,47120000.0,-64522000.0,-46442000.0,-51166000.0,1460000.0,-37111000.0,2749000.0,-18822000.0,844000.0,23947000.0,7024000.0,-36696000.0,-5598000.0,-5515000.0,1488000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-796000.0,-745000.0,5496000.0,1149000.0,-10030000.0,5418000.0,6231000.0,258000.0,466000.0,1499000.0,976000.0,776000.0,-2436000.0,1158000.0,-5688000.0,7561000.0,2346000.0,288000.0
,otherWorkingCapital,5095000.0,1021769000.0,731926000.0,536153000.0,462212000.0,341415000.0,297876000.0,253700000.0,205800000.0,183000000.0,193900000.0,280400000.0,240100000.0,135400000.0,63900000.0,0.0,0.0,0.0
,otherNonCashItems,38626000.0,29259000.0,0.0,-77535000.0,0.0,0.0,0.0,-6905000.0,0.0,0.0,0.0,0.0,2602000.0,-32841000.0,15997000.0,8000.0,29000.0,-378000.0
,netCashProvidedByOperatingActivites,978371000.0,504697000.0,849574000.0,516551000.0,416098000.0,356851000.0,215972000.0,198714000.0,160158000.0,147836000.0,44995000.0,88101000.0,18270000.0,146175000.0,53717000.0,66682000.0,46557000.0,17806000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-53330000.0,-70816000.0,-33324000.0,-31300000.0,-18439000.0,-16189000.0,-13521000.0,-4487000.0,-13941000.0,-8662000.0,-8567000.0,-2260000.0,-1159000.0,-6727000.0,-2184000.0,-1024000.0,-1048000.0,-602000.0
,acquisitionsNet,1000000.0,0.0,0.0,34000000.0,-3000000.0,-6000000.0,43000000.0,0.0,-7000000.0,-30000000.0,-70000000.0,-9000000.0,0.0,0.0,5000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-1201760000.0,-702838000.0,-336691000.0,-41992000.0,-71615000.0,-39920000.0,-39704000.0,-38199000.0,-25660000.0,-120174000.0,-155328000.0,-87568000.0,-114684000.0,-1947000.0,-8678000.0,-5793000.0,-545000.0,-3808000.0
,salesMaturitiesOfInvestments,555624000.0,510151000.0,191779000.0,45642000.0,46547000.0,32318000.0,34719000.0,31106000.0,67958000.0,80678000.0,188701000.0,51677000.0,3608000.0,0.0,6033000.0,5010000.0,3056000.0,9024000.0
,otherInvestingActivites,0.0,-211861000.0,-100000000.0,-63417000.0,-2303000.0,0.0,0.0,0.0,2111000.0,0.0,-820000.0,4853000.0,0.0,1433000.0,-601000.0,-679000.0,-724000.0,-116000.0
,netCashUsedForInvestingActivites,-483871000.0,-373471000.0,-212566000.0,-54641000.0,-48504000.0,-26117000.0,25035000.0,-8864000.0,24917000.0,-77344000.0,-43866000.0,-42680000.0,-112235000.0,-7565000.0,-88000.0,-2486000.0,739000.0,4498000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-30000000.0,-36799000.0,-39751000.0,-176000000.0,-45000000.0,-75000000.0,0.0,-1047000.0,-8335000.0,-9000.0,-32000.0,-113000.0,-131000.0,-6255000.0,-147000.0,-107000.0,-62000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168140000.0,77185000.0,70761000.0,0.0,42074000.0,88590000.0,0.0,0.0,0.0
,commonStockRepurchased,-147411000.0,-333296000.0,-315233000.0,-304313000.0,-173958000.0,-160733000.0,-156242000.0,-102277000.0,-66983000.0,-140242000.0,-114141000.0,-75467000.0,-7082000.0,-968000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-106582000.0,-96803000.0,-77302000.0,-56521000.0,-51558000.0,-46132000.0,-38754000.0,-30090000.0,-24296000.0,-19346000.0,-12358000.0,-8217000.0,-6239000.0,-4651000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-53800000.0,-65628000.0,-53593000.0,-48645000.0,-50971000.0,-23354000.0,15401000.0,-17429000.0,-17686000.0,-25298000.0,-17500000.0,-1925000.0,-16537000.0,-46843000.0,-108442000.0,-63573000.0,-25543000.0,-24245000.0
,netCashUsedProvidedByFinancingActivities,-307793000.0,-290009000.0,-452927000.0,-419230000.0,-232487000.0,-223803000.0,-179595000.0,-149796000.0,-110012000.0,-25081000.0,-66823000.0,-14880000.0,90029000.0,-10519000.0,-26107000.0,-63720000.0,-25650000.0,-24307000.0
