date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1409594000.0,1107835000.0,993004000.0,820678000.0,712685000.0,546733000.0,483185000.0,338661000.0,340020000.0,286219000.0,212029000.0,208716000.0,108032000.0,149406000.0,97949000.0,62776000.0,20386804.0,5930404.0,3029195.0,3019353.0,3915126.0,4500000.0,3600000.0,1300000.0,400000.0
,depreciationAndAmortization,60973000.0,64814000.0,56979000.0,48887000.0,40845000.0,30860000.0,25651000.0,22762000.0,20562000.0,17084000.0,11776000.0,5907000.0,3472000.0,2184000.0,1594000.0,1079000.0,843459.0,646085.0,548452.0,943947.0,685735.0,600000.0,500000.0,600000.0,600000.0
,deferredIncomeTax,-156873000.0,1263000.0,-510000.0,67935000.0,-19092000.0,-617161000.0,-21770000.0,-37422000.0,-22116000.0,-4511000.0,-13735000.0,-6294000.0,-44594000.0,-14244000.0,-10863000.0,-946000.0,-172543.0,-360524.0,522462.0,472581.0,-89386.0,-100000.0,600000.0,0.0,0.0
,stockBasedCompensation,70289000.0,63356000.0,57111000.0,52282000.0,45848000.0,32719000.0,28552000.0,28764000.0,28413000.0,19424000.0,16862000.0,14040000.0,13899000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-28170000.0,452187000.0,-323001000.0,564345000.0,-2106732000.0,1730700000.0,470684000.0,320506000.0,-370064000.0,147268000.0,267544000.0,127785000.0,186722000.0,-25046000.0,104985000.0,65690026.0,24442771.0,2246353.0,1972110.0,-666362.0,4644102.0,4000000.0,2500000.0,5200000.0,-200000.0
,accountsReceivables,-119672000.0,-59941000.0,-38412000.0,16538000.0,-106363000.0,-76731000.0,-9710000.0,-50408000.0,-17769000.0,-56752000.0,2031000.0,-59418000.0,30609000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,30304000.0,-85222000.0,-26146000.0,-88867000.0,20875000.0,-7068000.0,42763000.0,-21552000.0,-47568000.0,-4465000.0,-44973000.0,8545000.0,-19671000.0,-21127000.0,-45613000.0,-8994000.0,-4762268.0,-6000052.0,312946.0,-1048785.0,-1013481.0,-4700000.0,-1300000.0,-800000.0,0.0
,accountsPayables,18696000.0,28832000.0,9852000.0,29579000.0,45340000.0,20864000.0,11282000.0,-8204000.0,3659000.0,26250000.0,37096000.0,-15786000.0,7517000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-573000.0,1655212000.0,1203025000.0,1526026000.0,961681000.0,3068413000.0,1337713000.0,867029000.0,546523000.0,916587000.0,769319000.0,501775000.0,373990000.0,187268000.0,212314000.0,107329000.0,41638974.0,17196203.0,14949850.0,12977740.0,13644102.0,9000000.0,5000000.0,2500000.0,-2700000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1584000.0,0.0,0.0,0.0,0.0,-33000.0,-19328000.0,-8865000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,-100000.0,0.0
,netCashProvidedByOperatingActivites,1364163000.0,1113762000.0,1161881000.0,987731000.0,701355000.0,207986000.0,585567000.0,342033000.0,287676000.0,333827000.0,229044000.0,156192000.0,199496000.0,135451000.0,76414000.0,54649000.0,20050517.0,5484414.0,2726669.0,5202706.0,-1122840.0,1300000.0,4400000.0,1300000.0,800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-48722000.0,-101661000.0,-61941000.0,-83435000.0,-99819000.0,-35605000.0,-27952000.0,-40762000.0,-42935000.0,-25552000.0,-12545000.0,-23554000.0,-6718000.0,-7028000.0,-4901000.0,-1520000.0,-1260068.0,-1627490.0,-416873.0,-529905.0,-1191762.0,-300000.0,0.0,-200000.0,-100000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,198000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1299981000.0,-1067736000.0,-826084000.0,-971813000.0,-452476000.0,-2033584000.0,-1134602000.0,-557419000.0,-606657000.0,-616450000.0,-317381000.0,-74976000.0,-131623000.0,-361600000.0,-249014000.0,-22643000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,920196000.0,851436000.0,1181484000.0,533183000.0,989291000.0,2097949000.0,723369000.0,264886000.0,927077000.0,473178000.0,128593000.0,97173000.0,288238000.0,173057000.0,159208000.0,28082000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-26423000.0,-1265000.0,-11814000.0,-1199000.0,7000.0,-398000.0,1230000.0,-4360000.0,377000.0,410000.0,-1440000.0,1226000.0,-1720000.0,583000.0,-878000.0,-882000.0,-235356.0,-880870.0,324664.0,-178745.0,-6671837.0,-1300000.0,-100000.0,200000.0,-100000.0
,netCashUsedForInvestingActivites,-472487000.0,-326724000.0,272956000.0,-531541000.0,-256193000.0,400066000.0,-440403000.0,-339808000.0,271849000.0,-173027000.0,-212510000.0,-4469000.0,143982000.0,-194727000.0,-95231000.0,3216000.0,-1470726.0,-2437534.0,-92209.0,-682234.0,-7851166.0,-1500000.0,-500000.0,0.0,-100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
