date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,8900000.0,25698000.0,36371000.0,36194000.0,56637000.0,37142000.0,42931000.0,32478000.0,49694000.0,29250000.0,-44316000.0,-52687000.0,58072000.0,69227000.0,85682000.0,79338000.0,80340000.0,75381000.0,82256000.0,79680000.0,90570000.0,81300000.0,71100000.0,48700000.0,28100000.0,22100000.0,22600000.0,-17400000.0
,depreciationAndAmortization,16859000.0,19637000.0,19831000.0,20115000.0,19353000.0,19142000.0,17930000.0,18008000.0,18581000.0,20816000.0,29398000.0,25635000.0,24670000.0,23013000.0,21599000.0,21338000.0,21277000.0,21296000.0,19314000.0,20220000.0,16975000.0,16300000.0,15900000.0,16400000.0,17500000.0,17300000.0,17200000.0,19500000.0
,deferredIncomeTax,2524000.0,-3511000.0,-106000.0,3507000.0,671000.0,3923000.0,-3032000.0,2767000.0,-19522000.0,-63000.0,33789000.0,-32158000.0,-2364000.0,200000.0,-792000.0,3935000.0,659000.0,4750000.0,189000.0,0.0,-1806000.0,0.0,700000.0,600000.0,600000.0,-2300000.0,2000000.0,-1400000.0
,stockBasedCompensation,334000.0,121000.0,954000.0,1259000.0,2356000.0,1236000.0,1325000.0,1401000.0,1702000.0,931000.0,2276000.0,1719000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2490000.0,299000.0,-23488000.0,-8204000.0,-4848000.0,-39877000.0,41951000.0,-4084000.0,17803000.0,-38000.0,-25289000.0,-35437000.0,-60314000.0,-43048000.0,147615000.0,-28470000.0,-66943000.0,36208000.0,7405000.0,54704000.0,3919000.0,9300000.0,-17100000.0,11200000.0,14700000.0,-2000000.0,-18100000.0,-1500000.0
,accountsReceivables,6020000.0,-565000.0,-682000.0,-2826000.0,2926000.0,-559000.0,-149000.0,1922000.0,-456000.0,187000.0,-4197000.0,-776000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,33341000.0,957000.0,-11876000.0,13507000.0,-9982000.0,-5036000.0,-9019000.0,18569000.0,-12531000.0,-5278000.0,22863000.0,31428000.0,-91000.0,14531000.0,3479000.0,757000.0,13168000.0,-13970000.0,16641000.0,-18964000.0,-9243000.0,-25000000.0,-6800000.0,2700000.0,6900000.0,-8300000.0,-20800000.0,1700000.0
,accountsPayables,0.0,0.0,1807000.0,1524000.0,-3509000.0,-5349000.0,1300000.0,-4320000.0,357000.0,5595000.0,-836000.0,-3835000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,90974000.0,93464000.0,93165000.0,116653000.0,124857000.0,129705000.0,169582000.0,127631000.0,131715000.0,113912000.0,113950000.0,139239000.0,174676000.0,234990000.0,278038000.0,130423000.0,158893000.0,225836000.0,189628000.0,182223000.0,127519000.0,123600000.0,114300000.0,131400000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,25622000.0,18193000.0,-250000.0,-6000.0,-1295000.0,4390000.0,415000.0,1824000.0,49652000.0,29118000.0,12000.0,7038000.0,929000.0,-4194000.0,4815000.0,0.0,0.0,308000.0,-1103000.0,0.0,0.0,-100000.0,100000.0,500000.0,0.0,-200000.0,300000.0,-1300000.0
,netCashProvidedByOperatingActivites,52696000.0,55247000.0,42497000.0,78633000.0,58369000.0,55106000.0,59889000.0,61301000.0,37701000.0,63162000.0,51331000.0,21933000.0,86137000.0,119189000.0,131589000.0,103335000.0,125533000.0,100480000.0,125323000.0,87587000.0,104851000.0,86700000.0,87600000.0,77400000.0,60900000.0,35500000.0,24000000.0,30200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60038000.0,-59073000.0,-41505000.0,-30301000.0,-23035000.0,-27207000.0,-31078000.0,-38516000.0,-42065000.0,-47800000.0,-29700000.0,-23400000.0,-13300000.0,-11200000.0,-11000000.0,-6600000.0
,acquisitionsNet,-1000000.0,-1000000.0,-6000000.0,-1000000.0,0.0,-2000000.0,0.0,-1000000.0,-1000000.0,-3000000.0,0.0,-1000000.0,-8000000.0,-15000000.0,-8000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-18268000.0,-18247000.0,-3647000.0,-9466000.0,-28682000.0,0.0,0.0,0.0,0.0,-12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-12300000.0,-18000000.0,0.0,-600000.0,0.0,-3200000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,2150000.0,15430000.0,14883000.0,11165000.0,7230000.0,7319000.0,200000.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,30300000.0,0.0,0.0,2600000.0,0.0,2100000.0
,otherInvestingActivites,20000.0,153000.0,7534000.0,665000.0,383000.0,673000.0,7251000.0,1973000.0,1791000.0,1359000.0,165000.0,-7000.0,-462000.0,198000.0,48000.0,711000.0,-267000.0,262000.0,143000.0,532000.0,805000.0,600000.0,1300000.0,100000.0,1600000.0,0.0,-400000.0,0.0
,netCashUsedForInvestingActivites,-4616000.0,-9500000.0,-10912000.0,-16383000.0,-12526000.0,3428000.0,-12058000.0,-21601000.0,-16157000.0,-9643000.0,-25091000.0,-17526000.0,-61334000.0,-68741000.0,-44815000.0,-22513000.0,-18948000.0,-33237000.0,-68465000.0,-38492000.0,-52779000.0,-45500000.0,-9600000.0,-39200000.0,-10500000.0,-6100000.0,-11100000.0,-6500000.0
