date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-238000000.0,-22000000.0,-64000000.0,-397000000.0,21000000.0,-40000000.0,-22000000.0,-7000000.0,983000000.0,12000000.0
,depreciationAndAmortization,168000000.0,169000000.0,160000000.0,213000000.0,222000000.0,268000000.0,298000000.0,315000000.0,16000000.0,3000000.0
,deferredIncomeTax,-73000000.0,-79000000.0,-8000000.0,-329000000.0,-52000000.0,-85000000.0,-70000000.0,-117000000.0,75000000.0,-11000000.0
,stockBasedCompensation,112000000.0,131000000.0,123000000.0,103000000.0,91000000.0,82000000.0,74000000.0,60000000.0,0.0,0.0
,changeInWorkingCapital,-150000000.0,52000000.0,65000000.0,14000000.0,45000000.0,53000000.0,58000000.0,54000000.0,31000000.0,8000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,27000000.0,85000000.0,69000000.0,84000000.0,74000000.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,120000000.0,319000000.0,673000000.0,575000000.0,586000000.0,427000000.0,3000000.0,0.0,2000000.0
,otherNonCashItems,21000000.0,365000000.0,192000000.0,1902000000.0,39000000.0,141000000.0,90000000.0,2000000.0,-1120000000.0,0.0
,netCashProvidedByOperatingActivites,-215000000.0,391000000.0,400000000.0,219000000.0,301000000.0,391000000.0,385000000.0,336000000.0,-19000000.0,11000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-83000000.0,-61000000.0,-65000000.0,-73000000.0,-112000000.0,-90000000.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-108000000.0,-23000000.0,0.0,-43000000.0,-29000000.0,-331000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-133000000.0,-16000000.0,-63000000.0,-166000000.0,-205000000.0,-251000000.0,-432000000.0,-18000000.0,0.0
,salesMaturitiesOfInvestments,0.0,150000000.0,64000000.0,133000000.0,116000000.0,258000000.0,429000000.0,325000000.0,338000000.0,0.0
,otherInvestingActivites,3000000.0,0.0,-13000000.0,-2000000.0,-41000000.0,25000000.0,1000000.0,-3000000.0,0.0,0.0
,netCashUsedForInvestingActivites,-56000000.0,-176000000.0,-49000000.0,-1000000.0,-164000000.0,-61000000.0,-241000000.0,-205000000.0,425000000.0,-6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1052000000.0,-359000000.0,-245000000.0,-369000000.0,-439000000.0,-431000000.0,-43000000.0,-66000000.0,-12000000.0,-13000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000000.0,0.0,0.0
,commonStockRepurchased,-115000000.0,-60000000.0,-94000000.0,-246000000.0,-96000000.0,17000000.0,15000000.0,-145000000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38000000.0,0.0
,otherFinancingActivites,-53000000.0,0.0,559000000.0,865000000.0,983000000.0,923000000.0,592000000.0,-6000000.0,2000000.0,0.0
,netCashUsedProvidedByFinancingActivities,345000000.0,-542000000.0,-358000000.0,-199000000.0,-110000000.0,-152000000.0,40000000.0,-147000000.0,-38000000.0,-6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,8000000.0,-4000000.0,-16000000.0,17000000.0,-17000000.0,-10000000.0,-8000000.0,1000000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,82000000.0,-331000000.0,-23000000.0,36000000.0,10000000.0,135000000.0,155000000.0,-15000000.0,368000000.0,-1000000.0
,cashAtEndOfPeriod,423000000.0,341000000.0,672000000.0,690000000.0,654000000.0,644000000.0,509000000.0,354000000.0,369000000.0,1000000.0
,cashAtBeginningOfPeriod,341000000.0,672000000.0,695000000.0,654000000.0,644000000.0,509000000.0,354000000.0,369000000.0,1000000.0,2000000.0
,operatingCashFlow,-215000000.0,391000000.0,400000000.0,219000000.0,301000000.0,391000000.0,385000000.0,336000000.0,-19000000.0,11000000.0
,capitalExpenditure,-55000000.0,-83000000.0,-61000000.0,-65000000.0,-73000000.0,-112000000.0,-90000000.0,-60000000.0,-6000000.0,-6000000.0
,freeCashFlow,-270000000.0,308000000.0,339000000.0,154000000.0,228000000.0,279000000.0,295000000.0,276000000.0,-25000000.0,5000000.0
