Date,2018-10,2017-10,2016-10,2015-10,2014-10
Depreciation & Amortization,3000000.0,4000000.0,4000000.0,3000000.0,3000000.0
Stock-based compensation,4000000.0,1000000.0,3000000.0,9000000.0,10000000.0
Operating Cash Flow,-67000000.0,298000000.0,388000000.0,-321000000.0,-191000000.0
Capital Expenditure,-5000000.0,-6000000.0,-8000000.0,-2000000.0,-3000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,-26000000,0,-50000000,-19000000,-11000000
Investing Cash flow,36000000.0,-27000000.0,-49000000.0,2000000.0,-14000000.0
Issuance (repayment) of debt,-645000000.0,-1080000000.0,-682000000.0,-206000000.0,-141000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-229000000.0,-148000000.0,-246000000.0,310000000.0,137000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-261000000.0,123000000.0,93000000.0,-8000000.0,-67000000.0
Free Cash Flow,-72000000.0,291000000.0,380000000.0,-323000000.0,-194000000.0
Net Cash/Marketcap,,,,,
