Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,461912000.0,921822000.0,131666000.0,523389000.0,141936000.0,43167000.0,170199000.0,3872000.0,66245000.0
Short-term investments,24829000.0,4800000.0,44210000.0,0.0,,,,,
Cash and short-term investments,486741000.0,926622000.0,175876000.0,121000000.0,,,,,
Receivables,14005000.0,21529000.0,0.0,69047000.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,500746000.0,948151000.0,175876000.0,1544815000.0,,,,,
Property Plant & Equipment Net,0.0,0.0,0.0,11444894000.0,0.0,0.0,0.0,0.0,0.0
Goodwill and Intangible Assets,2074825000.0,2387433000.0,444959000.0,527277000.0,20000000.0,0.0,0.0,0.0,0.0
Long-term investments,2446336000.0,1655239000.0,55836000.0,924465000.0,,,,,
Tax assets,71572000.0,63093000.0,23189000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,21714503000.0,23837499000.0,674751000.0,,,,,,
Total assets,22215249000.0,24785650000.0,850627000.0,15404401000.0,5825449000.0,2628552000.0,1435567000.0,727519000.0,390457000.0
Payables,94316000.0,98857000.0,85503000.0,221023000.0,59773000.0,40113000.0,31426000.0,14880000.0,8298000.0
Short-term debt,0.0,23534000.0,0.0,2000.0,,,,,
Total current liabilities,94316000.0,122391000.0,87416000.0,391277000.0,,,,,
Long-term debt,10039957000.0,10827810000.0,0.0,100000000.0,,,,,
Total debt,10039957000.0,10851344000.0,0.0,8339168000.0,2701764000.0,616107000.0,108167000.0,82845000.0,34000000.0
Deferred revenue,0.0,0.0,1913000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,2420000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,10067350000.0,10943243000.0,9442000.0,,,,,,
Total liabilities,15209197000.0,16377725000.0,666515000.0,11188671000.0,2889656000.0,674325000.0,152537000.0,114029000.0,57178000.0
Other comprehensive income,9005521000,9520595000,251049000,18485000.0,-28491000.0,2593000.0,5184000.0,-2330000.0,936000.0
Retained earnings (deficit),-2018302000.0,-1165412000.0,-68541000.0,-2309564000.0,-68003000.0,-20423000.0,-5167000.0,5510000.0,1152000.0
Total shareholders equity,7006052000.0,8407925000.0,184112000.0,3799220000.0,2417480000.0,1684310000.0,1223331000.0,602976000.0,333039000.0
Investments,2471165000.0,1660039000.0,100046000.0,2685648000.0,5422108000.0,2510651000.0,1242705000.0,708546000.0,318679000.0
Net Debt,9578045000.0,9929522000.0,-131666000.0,,,,,,
Other Assets,0.0,0.0,0.0,,,,,,
Other Liabilities,5047531000.0,5312091000.0,569657000.0,170252000.0,,,,,
