date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,84308000.0,71918000.0,46165000.0,66854000.0,72021000.0,101863000.0,54157000.0,21279000.0,29853000.0,40213000.0,26915000.0,16107000.0,25419000.0,19339000.0,16947000.0,7090000.0
,depreciationAndAmortization,28472000.0,24202000.0,21846000.0,16357000.0,13282000.0,8133000.0,6364000.0,7835000.0,7071000.0,5453000.0,4619000.0,3653000.0,2664000.0,1640000.0,1214000.0,922000.0
,deferredIncomeTax,-13772000.0,-17100000.0,13570000.0,-5434000.0,-6133000.0,632000.0,65000.0,-7010000.0,-3137000.0,1539000.0,-4407000.0,-1002000.0,-3047000.0,-3212000.0,-806000.0,133000.0
,stockBasedCompensation,20189000.0,21184000.0,24656000.0,19665000.0,16131000.0,13699000.0,11062000.0,11361000.0,10252000.0,8056000.0,6457000.0,5661000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,69324000.0,96481000.0,130685000.0,14252000.0,114076000.0,117113000.0,61667000.0,20124000.0,32429000.0,69993000.0,27995000.0,28595000.0,7306000.0,58060000.0,14104000.0,-8066000.0
,accountsReceivables,-7023000.0,85027000.0,-127082000.0,-149455000.0,32375000.0,-110182000.0,-64874000.0,-48255000.0,-17226000.0,-19165000.0,-11496000.0,-755000.0,0.0,0.0,0.0,0.0
,inventory,-199683000.0,119314000.0,-126232000.0,-235590000.0,5200000.0,-153584000.0,-63921000.0,12704000.0,-92467000.0,-60480000.0,-48154000.0,-5820000.0,-25761000.0,-9160000.0,-17087000.0,-8904000.0
,accountsPayables,59889000.0,-173410000.0,132533000.0,135320000.0,-54301000.0,75520000.0,46298000.0,-2208000.0,61336000.0,16933000.0,21840000.0,-6914000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,885126000.0,815802000.0,719321000.0,588636000.0,574384000.0,460308000.0,343195000.0,281528000.0,261404000.0,228975000.0,158982000.0,130987000.0,102392000.0,95086000.0,37026000.0,22922000.0
,otherNonCashItems,1364000.0,733000.0,909000.0,0.0,0.0,0.0,0.0,0.0,38432000.0,50689000.0,8696000.0,6006000.0,16983000.0,7078000.0,3611000.0,4661000.0
,netCashProvidedByOperatingActivites,-30334000.0,262554000.0,84347000.0,-96188000.0,107509000.0,-44636000.0,6538000.0,13583000.0,16467000.0,8480000.0,-2174000.0,21819000.0,18502000.0,14989000.0,8206000.0,4742000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-44338000.0,-24849000.0,-24824000.0,-29365000.0,-34108000.0,-35100000.0,-40567000.0,-5001000.0,-24862000.0,-25397000.0,-22223000.0,-3561000.0,-16085000.0,-3042000.0,-11452000.0,-1050000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-2100000.0,0.0,0.0,-661000.0,0.0,0.0,-168000.0,-750000.0,-58000.0,-58000.0,-22480000.0,-15054000.0,-103000.0,-1767000.0
,salesMaturitiesOfInvestments,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,300000.0,2475000.0,1500000.0,10479000.0,942000.0,20628000.0,145000.0,1826000.0,200000.0
,otherInvestingActivites,0.0,0.0,0.0,-340000.0,-1020000.0,-416000.0,406000.0,-412000.0,2836000.0,-123000.0,1480000.0,-38000.0,-1671000.0,-157000.0,-63000.0,1753000.0
,netCashUsedForInvestingActivites,-43588000.0,-24849000.0,-25924000.0,-29705000.0,-35128000.0,-36177000.0,-40161000.0,-5113000.0,-19719000.0,-24770000.0,-11802000.0,-2715000.0,-19608000.0,-18108000.0,-9792000.0,-864000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-160445000.0,-133912000.0,-220552000.0,-140705000.0,-34289000.0,-36134000.0,-6367000.0,-18113000.0,-28984000.0,-14196000.0,-10036000.0,-364000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2932000.0,45184000.0,377000.0,44000.0
,commonStockRepurchased,0.0,0.0,0.0,-18461000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2030000.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-8893000.0,-3676000.0,-4886000.0,-1017000.0,1048000.0,7947000.0,2307000.0,-611000.0,556000.0,-6216000.0,1457000.0,0.0,171000.0,182000.0,374000.0,363000.0
,netCashUsedProvidedByFinancingActivities,23796000.0,-95828000.0,-50832000.0,57724000.0,13145000.0,80051000.0,37222000.0,3762000.0,13817000.0,13589000.0,16325000.0,-290000.0,1723000.0,37474000.0,6925000.0,-67000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,376000.0,-119000.0,-6000.0,-45000.0,-4000.0,-668000.0,235000.0,-20000.0,318000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
