Date,2018-02-24,2018-02,2017-02-25,2017-02,2016-02-27,2016-02,2015-02-28,2015-02,2014-02-22,2014-02,2013-02-23,2012-02-25,2011-02-26,2010-02-27
Cash and cash equivalents,41000000.0,41000000.0,332000000.0,332000000.0,57000000.0,57000000.0,114000000.0,114000000.0,83000000.0,83000000.0,72000000.0,0.0,0.0,0.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Cash and short-term investments,41000000.0,,332000000.0,,57000000.0,,114000000.0,,83000000.0,,72000000.0,0.0,0.0,0.0
Receivables,0.0,590000000.0,0.0,386000000.0,0.0,451000000.0,0.0,482000000.0,0.0,493000000.0,0.0,0.0,0.0,0.0
Inventories,981000000.0,981000000.0,764000000.0,764000000.0,1036000000.0,1036000000.0,984000000.0,984000000.0,861000000.0,861000000.0,854000000.0,0.0,0.0,0.0
Total current assets,1861000000.0,2526000000.0,1541000000.0,2039000000.0,1635000000.0,2735000000.0,1700000000.0,2785000000.0,1543000000.0,2831000000.0,2970000000.0,0.0,0.0,0.0
Property Plant & Equipment Net,1342000000.0,,1004000000.0,,1481000000.0,,1470000000.0,,1497000000.0,,1700000000.0,0.0,0.0,0.0
Goodwill and Intangible Assets,911000000.0,911000000,749000000.0,749000000,922000000.0,922000000,913000000.0,913000000,890000000.0,890000000,898000000.0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,63000000.0,63000000.0,165000000.0,165000000.0,228000000.0,228000000.0,265000000.0,265000000.0,287000000.0,287000000.0,345000000.0,0.0,0.0,0.0
Total non-current assets,2526000000.0,2334000000.0,2039000000.0,1975000000.0,2735000000.0,3239000000.0,2785000000.0,3598000000.0,2831000000.0,3621000000.0,8064000000.0,0.0,0.0,0.0
Total assets,4387000000.0,4387000000.0,3580000000.0,3580000000.0,4370000000.0,4370000000.0,4485000000.0,4485000000.0,4374000000.0,4374000000.0,11034000000.0,0.0,0.0,0.0
Payables,1139000000.0,1139000000.0,881000000.0,881000000.0,1118000000.0,1118000000.0,1121000000.0,1121000000.0,1043000000.0,1043000000.0,1089000000.0,0.0,0.0,0.0
Short-term debt,34000000.0,34000000.0,26000000.0,26000000.0,124000000.0,000000.0,35000000.0,35000000.0,45000000.0,45000000.0,74000000.0,0.0,0.0,0.0
Total current liabilities,1548000000.0,1548000000.0,1229000000.0,1229000000.0,1572000000.0,1572000000.0,1533000000.0,1533000000.0,1491000000.0,1491000000.0,4350000000.0,0.0,0.0,0.0
Long-term debt,1724000000.0,1724000000.0,1263000000.0,1263000000.0,2197000000.0,2197000000.0,2480000000.0,2480000000.0,2486000000.0,2486000000.0,2815000000.0,0.0,0.0,0.0
Total debt,1758000000.0,1724000000.0,1289000000.0,1263000000.0,2321000000.0,2197000000.0,2515000000.0,2480000000.0,2531000000.0,2486000000.0,2889000000.0,0.0,0.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax Liabilities,40000000.0,000000.0,59000000.0,000000.0,70000000.0,81000000.0,94000000.0,119000000.0,76000000.0,140000000.0,187000000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,1901000000.0,2334000000.0,1460000000.0,1975000000.0,2450000000.0,3239000000.0,2773000000.0,3598000000.0,2839000000.0,3621000000.0,3346000000.0,0.0,0.0,0.0
Total liabilities,3882000000.0,3882000000.0,3204000000.0,3204000000.0,4811000000.0,4811000000.0,5131000000.0,5131000000.0,5112000000.0,5112000000.0,12449000000.0,0.0,0.0,0.0
Other comprehensive income,2845000000,-210000000.0,2826000000,-278000000.0,2803000000,-422000000.0,2777000000,-423000000.0,2761000000,-307000000.0,2572000000,0.0,0.0,0.0
Retained earnings (deficit),-2130000000.0,-2130000000.0,-2175000000.0,-2175000000.0,-2825000000.0,-2825000000.0,-3003000000.0,-3003000000.0,-3195000000.0,-3195000000.0,-3377000000.0,0.0,0.0,0.0
Total shareholders equity,505000000.0,505000000.0,376000000.0,376000000.0,-441000000.0,-441000000.0,-646000000.0,-646000000.0,-738000000.0,-738000000.0,-1415000000.0,0.0,0.0,0.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Debt,1717000000.0,1717000000,957000000.0,957000000,2264000000.0,2140000000,2401000000.0,2401000000,2448000000.0,2448000000,2817000000.0,0.0,0.0,0.0
Other Assets,0.0,459000000,0.0,180000000,0.0,195000000,0.0,257000000,0.0,263000000,0.0,0.0,0.0,0.0
Other Liabilities,433000000.0,569000000,515000000.0,519000000,789000000.0,502000000,825000000.0,551000000,782000000.0,616000000,4753000000.0,0.0,0.0,0.0
