Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-09-14,2015-06-30,2014-09-15,2014-06-30,2013-09-13,2013-06-30,2012-10-09,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,12362000.0,15171000.0,16367000.0,18273000.0,0.0,22936000.0,0.0,24757000.0,0.0,20724000.0,0.0,15701000.0,20167000.0,19022000.0,13266000.0
Short-term investments,11681000.0,8423000.0,8295000.0,7353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,12362000.0,15171000.0,16367000.0,18273000.0,0.0,22936000.0,0.0,24757000.0,0.0,20724000.0,0.0,15701000.0,20167000.0,19022000.0,13266000.0
Receivables,44013000.0,45422000.0,31392000.0,25363000.0,0.0,43883000.0,0.0,40219000.0,0.0,46331000.0,0.0,63438000.0,61007000.0,43014000.0,53367000.0
Inventories,125893000.0,84001000.0,66193000.0,66569000.0,0.0,80241000.0,0.0,97579000.0,0.0,102774000.0,0.0,103178000.0,99139000.0,72799000.0,92331000.0
Total current assets,202369000.0,159269000.0,129434000.0,125035000.0,0.0,169830000.0,0.0,180097000.0,0.0,188472000.0,0.0,197161000.0,195168000.0,147450000.0,116087000.0
Property Plant & Equipment Net,71258000.0,48940000.0,48212000.0,51665000.0,0.0,56427000.0,0.0,60267000.0,0.0,62315000.0,0.0,66356000.0,65791000.0,58243000.0,65799000.0
Goodwill and Intangible Assets,51307000.0,4598000.0,4594000.0,7284000.0,0.0,14975000.0,0.0,16260000.0,0.0,16381000.0,0.0,18112000.0,24310000.0,22708000.0,25364000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,18178000.0,18056000.0,24198000.0,25870000.0,0.0,9741000.0,0.0,7335000.0,0.0,12894000.0,0.0,18080000.0,19826000.0,29253000.0,25109000.0
Total non-current assets,144501000.0,75444000.0,81464000.0,88887000.0,0.0,80032000.0,0.0,86888000.0,0.0,96986000.0,0.0,106671000.0,113952000.0,111606000.0,111931000.0
Total assets,346870000.0,234713000.0,210898000.0,213922000.0,0.0,249862000.0,0.0,266985000.0,0.0,285458000.0,0.0,303832000.0,309120000.0,259056000.0,290008000.0
Payables,31468000.0,29368000.0,21301000.0,14716000.0,0.0,20729000.0,0.0,22111000.0,0.0,20651000.0,0.0,23550000.0,38372000.0,23842000.0,24864000.0
Short-term debt,2000000.0,4787000.0,0.0,0.0,0.0,3571000.0,0.0,3604000.0,0.0,3681000.0,0.0,3744000.0,3915000.0,3920000.0,4421000.0
Total current liabilities,73077000.0,62344000.0,44523000.0,36131000.0,0.0,57054000.0,0.0,56980000.0,0.0,63503000.0,0.0,66625000.0,83960000.0,63307000.0,70252000.0
Long-term debt,40491000.0,4824000.0,6323000.0,8501000.0,0.0,10231000.0,0.0,14800000.0,0.0,23472000.0,0.0,28401000.0,25784000.0,27211000.0,46348000.0
Total debt,42491000.0,9611000.0,6323000.0,8501000.0,0.0,13802000.0,0.0,18404000.0,0.0,27153000.0,0.0,32145000.0,29699000.0,31131000.0,50769000.0
Deferred revenue,14924000.0,5426000.0,2423000.0,2372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,938000.0,816000.0,827000.0,790000.0,0.0,1093000.0,0.0,1778000.0,0.0,2925000.0,0.0,3340000.0,4170000.0,3914000.0,4443000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,50414000.0,7685000.0,9102000.0,12033000.0,0.0,52641000.0,0.0,57694000.0,0.0,78393000.0,0.0,100698000.0,87106000.0,106430000.0,111931000.0
Total liabilities,164654000.0,91716000.0,87977000.0,97432000.0,0.0,109695000.0,0.0,114674000.0,0.0,141896000.0,0.0,167323000.0,171066000.0,169737000.0,182183000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,-35481000.0,0.0,-15943000.0,0.0,-25899000.0,0.0,-34797000.0,-11383000.0,-42048000.0,-25935000.0
Retained earnings (deficit),196472000.0,178896000.0,169368000.0,175662000.0,0.0,190807000.0,0.0,183695000.0,0.0,184110000.0,0.0,184306000.0,162857000.0,147438000.0,149974000.0
Total shareholders equity,182216000.0,142997000.0,122921000.0,116490000.0,0.0,139528000.0,0.0,151584000.0,0.0,142504000.0,0.0,135487000.0,137085000.0,88460000.0,106988000.0
Investments,11681000.0,8423000.0,8295000.0,7353000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,30129000.0,-5560000.0,-10044000.0,-9772000.0,0.0,-9134000.0,0.0,-6353000.0,0.0,6429000.0,0.0,16444000.0,9532000.0,12109000.0,37503000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,22770000.0,0.0,17542000.0,0.0,18643000.0,0.0,14844000.0,14855000.0,12615000.0,14957000.0
Other Liabilities,41163000.0,21687000.0,34352000.0,49268000.0,0.0,32754000.0,0.0,31265000.0,0.0,39171000.0,0.0,39331000.0,41673000.0,35545000.0,40967000.0
