date,,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-43800000.0,15600000.0,-5000000.0,52300000.0,40500000.0,294600000.0,44400000.0,31100000.0,102400000.0,39400000.0,56100000.0,-14300000.0,-17200000.0,60900000.0,68600000.0,64300000.0,58400000.0,58600000.0,93500000.0,36300000.0,51400000.0,36800000.0,23600000.0,400000.0,31900000.0,38600000.0,24800000.0,28100000.0,13000000.0,13800000.0,2800000.0
,depreciationAndAmortization,64000000.0,59300000.0,44200000.0,39100000.0,39300000.0,48300000.0,62700000.0,68600000.0,68800000.0,60100000.0,59500000.0,105500000.0,110800000.0,125800000.0,133600000.0,130800000.0,132600000.0,107100000.0,86800000.0,111200000.0,71400000.0,73600000.0,64900000.0,58400000.0,42500000.0,24000000.0,21700000.0,17000000.0,4500000.0,3900000.0,3500000.0
,deferredIncomeTax,17900000.0,3300000.0,7700000.0,15500000.0,18800000.0,-3500000.0,8900000.0,19600000.0,-37500000.0,-3000000.0,29400000.0,38700000.0,19100000.0,1400000.0,1800000.0,20400000.0,3000000.0,12300000.0,18000000.0,-15100000.0,-15100000.0,-2100000.0,-8400000.0,-7000000.0,-4700000.0,2600000.0,0.0,800000.0,-4200000.0,-3100000.0,-5100000.0
,stockBasedCompensation,3800000.0,8300000.0,10700000.0,10100000.0,9700000.0,8800000.0,9300000.0,6300000.0,12200000.0,13700000.0,14000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,114700000.0,-93400000.0,-70900000.0,11600000.0,8900000.0,329200000.0,-65800000.0,-127900000.0,92000000.0,-165700000.0,88700000.0,-63900000.0,-14300000.0,100700000.0,-174600000.0,79200000.0,80900000.0,-63700000.0,73500000.0,140700000.0,31500000.0,21400000.0,-14700000.0,-31300000.0,-72700000.0,-53700000.0,-30700000.0,-10500000.0,-11300000.0,-8800000.0,-5000000.0
,accountsReceivables,-7000000.0,-11900000.0,-12900000.0,-15200000.0,-18700000.0,1600000.0,-48500000.0,94400000.0,-108900000.0,-12600000.0,-22400000.0,-17700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-20800000.0,-49800000.0,-27400000.0,-29400000.0,-27800000.0,-33400000.0,-21300000.0,-9900000.0,-40400000.0,-10000000.0,3400000.0,-25800000.0,-16800000.0,-15900000.0,-21500000.0,3200000.0,-14700000.0,-16700000.0,-7300000.0,-25700000.0,-66800000.0,-23300000.0,14800000.0,-29300000.0,-31600000.0,-42800000.0,-17500000.0,-20400000.0,-13700000.0,-11200000.0,-8700000.0
,accountsPayables,-33600000.0,11800000.0,45900000.0,-6000000.0,-12700000.0,12100000.0,-11200000.0,35600000.0,-300000.0,18900000.0,-27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,533800000.0,419100000.0,512500000.0,583400000.0,571800000.0,562900000.0,233700000.0,299500000.0,427400000.0,335400000.0,501100000.0,412400000.0,476300000.0,490600000.0,389900000.0,564500000.0,485300000.0,404400000.0,468100000.0,394600000.0,253900000.0,222400000.0,201000000.0,215700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,26200000.0,22400000.0,21800000.0,23300000.0,26400000.0,30400000.0,60400000.0,48900000.0,61300000.0,5800000.0,137600000.0,128800000.0,46700000.0,111500000.0,63900000.0,-800000.0,-15400000.0,-18300000.0,-12300000.0,6300000.0,0.0,3700000.0,200000.0,-700000.0,6200000.0,-1300000.0,0.0,-800000.0,15800000.0,16800000.0,30400000.0
,netCashProvidedByOperatingActivites,2100000.0,116400000.0,141500000.0,141400000.0,-78900000.0,166900000.0,156800000.0,189100000.0,260200000.0,228400000.0,275800000.0,188600000.0,308600000.0,213100000.0,235800000.0,246600000.0,212300000.0,179200000.0,164600000.0,198700000.0,146200000.0,117600000.0,117700000.0,46700000.0,50600000.0,28500000.0,37600000.0,47900000.0,28500000.0,25100000.0,28400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-66000000.0,-95000000.0,-121500000.0,-65700000.0,-35600000.0,-30300000.0,-280900000.0,-54600000.0,-53700000.0,-74300000.0,-55300000.0,-45100000.0,-56800000.0,-103300000.0,-115700000.0,-49800000.0,-112200000.0,-83900000.0,-78400000.0,-90500000.0,-46000000.0,-29600000.0,-20300000.0,-29500000.0,-30400000.0,-21700000.0,-41500000.0,-16000000.0,-7400000.0,-7400000.0,-9900000.0
,acquisitionsNet,-3000000.0,0.0,0.0,0.0,0.0,-8000000.0,-1000000.0,0.0,-10000000.0,-34000000.0,-1000000.0,29000000.0,-3000000.0,-7000000.0,0.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1200000.0,-18500000.0,-4400000.0,-10100000.0,-3700000.0,-8300000.0,0.0,0.0,0.0,0.0,0.0,-4400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,4000000.0,0.0,0.0,0.0,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
