date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5537000000.0,5269000000.0,4552000000.0,5055000000.0,7608000000.0,6220000000.0,5721000000.0,5130000000.0,4979000000.0,4373000000.0,3829000000.0,4689000000.0,4224000000.0,3732000000.0,3069000000.0,2788000000.0,2361000000.0,2236000000.0,1938000000.0,1808000000.0,1531000000.0,1255000000.0,1072000000.0,906000000.0,750000000.0,585000000.0,487000000.0,-287000000.0,-1021000000.0,751000000.0,702000000.0,659000000.0,592000000.0,73000000.0
,depreciationAndAmortization,3783000000.0,2433000000.0,2140000000.0,1962000000.0,1863000000.0,1907000000.0,1821000000.0,1524000000.0,1347000000.0,1356000000.0,1258000000.0,1321000000.0,1173000000.0,1033000000.0,984000000.0,978000000.0,799000000.0,727000000.0,905000000.0,859000000.0,844000000.0,854000000.0,848000000.0,853000000.0,844000000.0,840000000.0,815000000.0,852000000.0,764000000.0,675000000.0,591000000.0,536400000.0,505100000.0,463700000.0
,deferredIncomeTax,35000000.0,735000000.0,62000000.0,398000000.0,662000000.0,376000000.0,242000000.0,120000000.0,331000000.0,413000000.0,451000000.0,45000000.0,58000000.0,-214000000.0,262000000.0,209000000.0,254000000.0,318000000.0,-5000000.0,108000000.0,4000000.0,-252000000.0,-526000000.0,0.0,0.0,0.0,33000000.0,-626000000.0,-346000000.0,-141000000.0,103000000.0,-81800000.0,163100000.0,-148900000.0
,stockBasedCompensation,356000000.0,251000000.0,192000000.0,152000000.0,158000000.0,240000000.0,275000000.0,210000000.0,229000000.0,154000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-1348000000.0,-1952000000.0,-1683000000.0,-1536000000.0,-284000000.0,-1810000000.0,-907000000.0,-449000000.0,-691000000.0,-728000000.0,-688000000.0,-469000000.0,-647000000.0,-194000000.0,-401000000.0,-510000000.0,-707000000.0,-581000000.0,-67000000.0,-369000000.0,530000000.0,567000000.0,618000000.0,205000000.0,426000000.0,-175000000.0,87000000.0,1107000000.0,1163000000.0,53000000.0,-337000000.0,-212900000.0,-143300000.0,19400000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643000000.0,-268000000.0,-1165000000.0,-439000000.0,-925000000.0,-1128000000.0,-910000000.0,-184000000.0,352000000.0,-108000000.0,-344000000.0,-204000000.0,-72000000.0,-35000000.0,63000000.0,-764000000.0,154000000.0,291000000.0,388000000.0,-358000000.0,-670000000.0,-330000000.0,25000000.0,-302000000.0
,inventory,-1216000000.0,-537000000.0,-1074000000.0,-719000000.0,-844000000.0,-1091000000.0,-1096000000.0,-539000000.0,-314000000.0,-244000000.0,831000000.0,-239000000.0,-1444000000.0,-998000000.0,-653000000.0,-1212000000.0,-75000000.0,254000000.0,-217000000.0,-252000000.0,-142000000.0,-189000000.0,169000000.0,-388000000.0,1000000.0,198000000.0,355000000.0,394000000.0,142000000.0,-133000000.0,290000000.0,-223000000.0,-370000000.0,-218000000.0
,accountsPayables,1229000000.0,2446000000.0,1571000000.0,450000000.0,490000000.0,-40000000.0,1354000000.0,811000000.0,618000000.0,1105000000.0,592000000.0,-167000000.0,-796000000.0,-443000000.0,-330000000.0,-623000000.0,-772000000.0,61000000.0,105000000.0,-304000000.0,280000000.0,-259000000.0,208000000.0,-102000000.0,-160000000.0,-109000000.0,282000000.0,-258000000.0,109000000.0,-79000000.0,-323000000.0,32000000.0,-295000000.0,-138000000.0
,otherWorkingCapital,2911000000.0,4135000000.0,8467000000.0,6644000000.0,4088000000.0,6863000000.0,6642000000.0,5824000000.0,7142000000.0,5778000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,465000000.0,-548000000.0,192000000.0,-2380000000.0,-214000000.0,240000000.0,-388000000.0,-39000000.0,624000000.0,492000000.0,503000000.0,575000000.0,522000000.0,446000000.0,420000000.0,234000000.0,168000000.0,153000000.0,114000000.0,97000000.0,2250000000.0,85000000.0,119000000.0,131000000.0,24000000.0,107000000.0,86000000.0,157000000.0,1330000000.0,-5000000.0,70000000.0,-164100000.0,66400000.0,-11100000.0
,netCashProvidedByOperatingActivites,8883000000.0,6322000000.0,5631000000.0,3880000000.0,6383000000.0,7336000000.0,6877000000.0,6646000000.0,6590000000.0,5906000000.0,5353000000.0,6161000000.0,5330000000.0,4803000000.0,4334000000.0,3699000000.0,2875000000.0,2853000000.0,2885000000.0,2503000000.0,4469000000.0,2509000000.0,2131000000.0,2095000000.0,2044000000.0,1357000000.0,1508000000.0,1203000000.0,1890000000.0,1333000000.0,1129000000.0,736700000.0,1183000000.0,395800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2256000000.0,-1902000000.0,-2014000000.0,-1699000000.0,-1652000000.0,-1711000000.0,-1688000000.0,-1389000000.0,-983000000.0,-865000000.0,-826000000.0,-1216000000.0,-1153000000.0,-954000000.0,-929000000.0,-795000000.0,-530000000.0,-586000000.0,-793000000.0,-937000000.0,-762000000.0,-866000000.0,-843000000.0,-794000000.0,-780000000.0,-759000000.0,-846000000.0,-920000000.0,-1048000000.0,-1200000000.0,-1023000000.0,-875300000.0,-839000000.0,-849600000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
