date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-82000000.0,4700000000.0,1671000000.0,104000000.0,347000000.0,-239000000.0,-119000000.0,-121000000.0,-4068000000.0,441000000.0,-1065000000.0,-1025000000.0,-2036000000.0,-495000000.0,-3577000000.0,628000000.0,1062000000.0,472000000.0,373000000.0,-54000000.0,373000000.0,371000000.0,-264400000.0,139300000.0,167100000.0,8000000.0,79700000.0,69700000.0,56600000.0,41800000.0
,depreciationAndAmortization,1123000000.0,1011000000.0,894000000.0,844000000.0,815000000.0,769000000.0,725000000.0,689000000.0,683000000.0,717000000.0,816000000.0,834000000.0,864000000.0,939000000.0,781000000.0,314000000.0,275000000.0,196000000.0,161000000.0,232000000.0,181000000.0,178000000.0,128600000.0,86700000.0,61400000.0,40000000.0,9100000.0,6400000.0,4600000.0,3400000.0
,deferredIncomeTax,-82000000.0,-4301000000.0,-87000000.0,245000000.0,-305000000.0,-532000000.0,-397000000.0,-223000000.0,-166000000.0,46000000.0,-110000000.0,-64000000.0,-334000000.0,-386000000.0,-420000000.0,4000000.0,30000000.0,-31000000.0,142000000.0,8000000.0,2000000.0,-29000000.0,-151400000.0,-52200000.0,-12400000.0,-22000000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,170000000.0,157000000.0,140000000.0,127000000.0,116000000.0,107000000.0,103000000.0,105000000.0,108000000.0,128000000.0,150000000.0,144000000.0,138000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,42000000.0,-282000000.0,-2160000000.0,66000000.0,-4000000.0,280000000.0,962000000.0,155000000.0,284000000.0,-237000000.0,-1373000000.0,922000000.0,-77000000.0,42000000.0,323000000.0,-367000000.0,173000000.0,-23000000.0,-36000000.0,13000000.0,178000000.0,209000000.0,-93500000.0,-145700000.0,-142600000.0,-38000000.0,-20600000.0,-10100000.0,-19100000.0,-15300000.0
,accountsReceivables,335000000.0,-130000000.0,-110000000.0,-30000000.0,-216000000.0,-17000000.0,53000000.0,-101000000.0,37000000.0,42000000.0,52000000.0,1000000.0,96000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-65000000.0,-290000000.0,-83000000.0,-107000000.0,40000000.0,3000000.0,-81000000.0,-7000000.0,66000000.0,-54000000.0,-5000000.0,-92000000.0,-120000000.0,-30000000.0,-53000000.0,-77000000.0,-57000000.0,-21000000.0,63000000.0,53000000.0,15000000.0,68000000.0,-25700000.0,-175100000.0,-87900000.0,-45000000.0,-11400000.0,-1400000.0,-4800000.0,-10500000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000000.0,-272000000.0,-3000000.0,-8000000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,170000000.0,66000000.0,-28000000.0,-56000000.0,-18000000.0,187000000.0,-161000000.0,30000000.0,-21000000.0,434000000.0,13000000.0,0.0,0.0,130000000.0,596000000.0,11000000.0,-10000000.0,-18000000.0,9000000.0,12000000.0,14000000.0,3000000.0,0.0,29300000.0,-51700000.0,1000000.0,100000.0,0.0,100000.0,100000.0
,netCashProvidedByOperatingActivites,1508000000.0,1836000000.0,310000000.0,1426000000.0,972000000.0,600000000.0,1269000000.0,1082000000.0,1260000000.0,1008000000.0,325000000.0,835000000.0,1216000000.0,934000000.0,1845000000.0,903000000.0,1804000000.0,787000000.0,736000000.0,490000000.0,739000000.0,727000000.0,258500000.0,80500000.0,134300000.0,25000000.0,67800000.0,65800000.0,42500000.0,29600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-376000000.0,-461000000.0,-316000000.0,-319000000.0,-376000000.0,-247000000.0,-259000000.0,-245000000.0,-226000000.0,-304000000.0,-272000000.0,-312000000.0,-362000000.0,-363000000.0,-341000000.0,-341000000.0,-274000000.0,-188000000.0,-112000000.0,-121000000.0,-76000000.0,-80000000.0,-2234000000.0,-238200000.0,-135300000.0,-69000000.0,-35800000.0,-35800000.0,-10400000.0,-7300000.0
,acquisitionsNet,0.0,-4292000000.0,-1448000000.0,-560000000.0,-408000000.0,-1734000000.0,-500000000.0,-244000000.0,-356000000.0,1070000000.0,-205000000.0,-527000000.0,591000000.0,-261000000.0,-9181000000.0,-211000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-146000000.0,-348000000.0,-172000000.0,-131000000.0,-132000000.0,-266000000.0,-26000000.0,-44000000.0,-22000000.0,-11000000.0,0.0,0.0,0.0,-2000000.0,-98000000.0,-108000000.0,-683000000.0,-235000000.0,0.0,0.0,0.0,0.0,0.0,-7800000.0,-22200000.0,-35000000.0,-29200000.0,-400000.0,-41800000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,61000000.0,14000000.0,5000000.0,9000000.0,5000000.0,4000000.0,91000000.0,0.0,243000000.0,192000000.0,246000000.0,495000000.0,67000000.0,31000000.0,20000000.0,15000000.0,5000000.0,11600000.0,33900000.0,40800000.0,97000000.0,43200000.0,0.0,0.0,0.0
