date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,143453000.0,180576000.0,137065000.0,66807000.0,43840000.0,20945000.0,5663000.0,7711000.0,-406000.0,1430000.0
,depreciationAndAmortization,53373000.0,42211000.0,29657000.0,19395000.0,13632000.0,9421000.0,7162000.0,5486000.0,5522000.0,5286000.0
,deferredIncomeTax,21381000.0,21011000.0,21077000.0,-2087000.0,-1848000.0,-1021000.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,90108000.0,47268000.0,36576000.0,38542000.0,22471000.0,3219000.0,712000.0,0.0,503000.0,0.0
,changeInWorkingCapital,-80961000.0,81638000.0,26230000.0,-16979000.0,-6915000.0,18983000.0,5723000.0,10240000.0,5526000.0,2204000.0
,accountsReceivables,168000.0,-5884000.0,-1838000.0,-237000.0,1015000.0,440000.0,-1089000.0,-1083000.0,-133000.0,-241000.0
,inventory,-41000.0,-403000.0,-306000.0,462000.0,418000.0,-224000.0,267000.0,136000.0,8000.0,-75000.0
,accountsPayables,1529000.0,-221000.0,1079000.0,79000.0,-1571000.0,-431000.0,-2386000.0,2667000.0,1157000.0,-597000.0
,otherWorkingCapital,-80914000.0,117578000.0,35940000.0,9710000.0,26689000.0,33604000.0,14621000.0,4163000.0,2614000.0,2185000.0
,otherNonCashItems,-577000.0,-46000.0,-156000.0,93000.0,124000.0,157000.0,133000.0,1192000.0,162000.0,165000.0
,netCashProvidedByOperatingActivites,227207000.0,224263000.0,184817000.0,130600000.0,98953000.0,42972000.0,22337000.0,23721000.0,10974000.0,9085000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-94102000.0,-92934000.0,-59906000.0,-59389000.0,-43805000.0,-16549000.0,-14270000.0,-17176000.0,-5971000.0,-14867000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-332756000.0,-195811000.0,-145011000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,308981000.0,69200000.0,155500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,112037000.0,-230957000.0,-161541000.0,-35775000.0,-204780000.0,-131514000.0,-71118000.0,-87441000.0
,netCashUsedForInvestingActivites,-117877000.0,-219545000.0,62620000.0,-290346000.0,-205051000.0,-52324000.0,-219050000.0,-148442000.0,-76983000.0,-102299000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1775000.0,-1775000.0,-888000.0,-36158000.0,-964000.0,-1118000.0,-65650000.0,0.0,-401000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,62840000.0,0.0,2409000.0,0.0
,commonStockRepurchased,-52040000.0,0.0,-105188000.0,-56880000.0,-35561000.0,0.0,0.0,-1061000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12225000.0,-18965000.0,-1443000.0
,otherFinancingActivites,-112094000.0,652447000.0,-141720000.0,197763000.0,147067000.0,36040000.0,204767000.0,130866000.0,71001000.0,86191000.0
,netCashUsedProvidedByFinancingActivities,-165909000.0,650672000.0,-247796000.0,145665000.0,115542000.0,34922000.0,208495000.0,124559000.0,72192000.0,94360000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-56579000.0,655390000.0,-359000.0,-14081000.0,9444000.0,25570000.0,11782000.0,-162000.0,6183000.0,1146000.0
,cashAtEndOfPeriod,1585275000.0,1641854000.0,45718000.0,46077000.0,60158000.0,50714000.0,25144000.0,13273000.0,13435000.0,7252000.0
,cashAtBeginningOfPeriod,1641854000.0,986464000.0,46077000.0,60158000.0,50714000.0,25144000.0,13362000.0,13435000.0,7252000.0,6106000.0
,operatingCashFlow,227207000.0,224263000.0,184817000.0,130600000.0,98953000.0,42972000.0,22337000.0,23721000.0,10974000.0,9085000.0
,capitalExpenditure,-94102000.0,-92934000.0,-59906000.0,-59389000.0,-43805000.0,-16549000.0,-14270000.0,-17176000.0,-5971000.0,-14867000.0
,freeCashFlow,133105000.0,131329000.0,124911000.0,71211000.0,55148000.0,26423000.0,8067000.0,6545000.0,5003000.0,-5782000.0
