date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,5600000.0,-36400000.0,-72000000.0,228300000.0,-10200000.0,29600000.0,61400000.0,36900000.0,20500000.0,34000000.0,92000000.0,44000000.0
,depreciationAndAmortization,53300000.0,50500000.0,42800000.0,41400000.0,119500000.0,55700000.0,55000000.0,41700000.0,35100000.0,109000000.0,107000000.0,105000000.0
,deferredIncomeTax,0.0,0.0,16600000.0,-199000000.0,-20100000.0,16900000.0,8800000.0,-1600000.0,-6300000.0,-5000000.0,5000000.0,1000000.0
,stockBasedCompensation,5800000.0,5400000.0,4700000.0,4400000.0,4100000.0,4700000.0,4900000.0,4200000.0,5400000.0,8000000.0,8000000.0,9000000.0
,changeInWorkingCapital,1400000.0,-173400000.0,892500000.0,-590900000.0,5400000.0,-25100000.0,39700000.0,-40600000.0,-3200000.0,86000000.0,-99000000.0,14000000.0
,accountsReceivables,8800000.0,8500000.0,-4200000.0,-900000.0,4300000.0,-3100000.0,1600000.0,3300000.0,100000.0,0.0,0.0,0.0
,inventory,2100000.0,70800000.0,63900000.0,59000000.0,20100000.0,98900000.0,40100000.0,79000000.0,21200000.0,-6000000.0,6000000.0,-6000000.0
,accountsPayables,-6200000.0,-12900000.0,-9000000.0,3300000.0,-400000.0,100000.0,-2300000.0,-6500000.0,-1500000.0,0.0,0.0,0.0
,otherWorkingCapital,102800000.0,101400000.0,274800000.0,-617700000.0,-26800000.0,-32200000.0,-7100000.0,-46800000.0,-6200000.0,-3000000.0,-89000000.0,10000000.0
,otherNonCashItems,0.0,-8300000.0,-26600000.0,-20800000.0,-15300000.0,-7200000.0,-41700000.0,-150600000.0,-37200000.0,-8000000.0,-24000000.0,-2000000.0
,netCashProvidedByOperatingActivites,63100000.0,157600000.0,309900000.0,-1300000.0,111200000.0,128500000.0,39100000.0,-38300000.0,10900000.0,86000000.0,150000000.0,115000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-25000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-14000000.0,-6000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1000000.0,0.0,0.0,-41900000.0,-47200000.0,-29400000.0,-75100000.0,-43400000.0,0.0,-28000000.0,-102000000.0,-48000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,33300000.0,41300000.0,44400000.0,85600000.0,335900000.0,2900000.0,8000000.0,13000000.0,6000000.0
,otherInvestingActivites,27100000.0,0.0,0.0,0.0,7600000.0,-17400000.0,5100000.0,5600000.0,7500000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,12000000.0,-240400000.0,-104700000.0,-3900000.0,-25600000.0,1000000.0,-28000000.0,-211700000.0,-50100000.0,-71000000.0,-150000000.0,-31000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-191700000.0,-203900000.0,-467800000.0,-181000000.0,-344200000.0,-248100000.0,-224200000.0,-380300000.0,-257200000.0,-220000000.0,-202000000.0,-275000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,1200000.0,0.0,400000.0,0.0,184500000.0,0.0,0.0,0.0
,commonStockRepurchased,-600000.0,-1000000.0,-1500000.0,-7200000.0,0.0,-500000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-13800000.0,-50000000.0,-156600000.0,-10300000.0,-12300000.0,-10300000.0,-8300000.0,-2000000.0,-26700000.0,-53000000.0,-52000000.0,-52000000.0
,otherFinancingActivites,0.0,-7400000.0,-700000.0,-500000.0,-1400000.0,-1100000.0,-200000.0,-1100000.0,172700000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-33100000.0,-136700000.0,-73500000.0,96100000.0,-84700000.0,-131000000.0,-11600000.0,252200000.0,28600000.0,-7000000.0,-2000000.0,-87000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,42000000.0,-219500000.0,131700000.0,90900000.0,900000.0,-1500000.0,-500000.0,2200000.0,-10600000.0,8000000.0,-2000000.0,-3000000.0
,cashAtEndOfPeriod,57400000.0,15400000.0,234900000.0,103200000.0,2200000.0,1300000.0,2800000.0,3300000.0,1100000.0,22000000.0,14000000.0,16000000.0
,cashAtBeginningOfPeriod,15400000.0,234900000.0,103200000.0,12300000.0,1300000.0,2800000.0,3300000.0,1100000.0,11700000.0,14000000.0,16000000.0,19000000.0
,operatingCashFlow,63100000.0,157600000.0,309900000.0,-1300000.0,111200000.0,128500000.0,39100000.0,-38300000.0,10900000.0,86000000.0,150000000.0,115000000.0
,capitalExpenditure,-25100000.0,4400000.0,171700000.0,47200000.0,88800000.0,48100000.0,95100000.0,332000000.0,2400000.0,-67000000.0,-95000000.0,-31000000.0
