date,,2021-05-31_FY,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,35800000.0,4400000.0,7500000.0,15600000.0,56500000.0,47700000.0,10200000.0,72900000.0,55000000.0,67723000.0,69826000.0,44628000.0,78651000.0,75144000.0,58660000.0,35163000.0,15453000.0,3504000.0,-12410000.0,-58939000.0,18531000.0,35163000.0,41671000.0,35657000.0,23025000.0,16012000.0,10463000.0,9494000.0,300000.0,10000000.0,14800000.0,25700000.0,24800000.0
,depreciationAndAmortization,36300000.0,43700000.0,42800000.0,40500000.0,71000000.0,70800000.0,123900000.0,113400000.0,108600000.0,80333000.0,59296000.0,38930000.0,40551000.0,39952000.0,32199000.0,29222000.0,27950000.0,26680000.0,27172000.0,22496000.0,18577000.0,18373000.0,17063000.0,14283000.0,12287000.0,10115000.0,10328000.0,9928000.0,10900000.0,11600000.0,11700000.0,9800000.0,6800000.0
,deferredIncomeTax,8400000.0,500000.0,-5000000.0,-12900000.0,600000.0,4800000.0,-79800000.0,9600000.0,29500000.0,32755000.0,40644000.0,-4680000.0,16009000.0,13243000.0,20411000.0,8078000.0,1613000.0,-5116000.0,-3376000.0,-2394000.0,-312000.0,9570000.0,10970000.0,-4114000.0,1734000.0,-2522000.0,-2661000.0,25000.0,-1000000.0,1000000.0,2000000.0,5000000.0,10000000.0
,stockBasedCompensation,9200000.0,7300000.0,13500000.0,15300000.0,11000000.0,6700000.0,7800000.0,8700000.0,11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-455400000.0,460600000.0,-14400000.0,56000000.0,9300000.0,2000000.0,-172700000.0,70100000.0,54654000.0,92071000.0,-39904000.0,-59015000.0,31962000.0,175717000.0,-47451000.0,122149000.0,13574000.0,108106000.0,-93355000.0,-74272000.0,13013000.0,12851000.0,15348000.0,5133000.0,55492000.0,10135000.0,8483000.0,46609000.0,-3800000.0,8000000.0,4200000.0,56100000.0,-41600000.0
,accountsReceivables,-4500000.0,14800000.0,-34400000.0,35900000.0,-4000000.0,-16100000.0,-28300000.0,16700000.0,6000000.0,0.0,0.0,0.0,-26388000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,74900000.0,-94500000.0,-80900000.0,-25800000.0,-18800000.0,-26400000.0,-43200000.0,-47900000.0,16100000.0,-47610000.0,-13017000.0,19015000.0,-45414000.0,-42339000.0,-8567000.0,-58297000.0,-12013000.0,15602000.0,17755000.0,-31749000.0,17887000.0,-6644000.0,-46212000.0,-34706000.0,-35930000.0,-124000.0,-3253000.0,-6841000.0,-9200000.0,-6400000.0,13300000.0,-34600000.0,-6600000.0
,accountsPayables,-62600000.0,4100000.0,17500000.0,0.0,0.0,0.0,0.0,0.0,0.0,18327000.0,48701000.0,-1474000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,600200000.0,1055600000.0,595000000.0,609400000.0,553400000.0,544100000.0,542100000.0,714800000.0,644700000.0,590046000.0,497975000.0,537879000.0,596894000.0,564932000.0,389215000.0,436666000.0,314517000.0,300943000.0,192837000.0,286192000.0,360464000.0,347451000.0,334600000.0,319252000.0,314119000.0,258627000.0,248492000.0,240009000.0,193400000.0,197200000.0,189200000.0,185000000.0,128900000.0
,otherNonCashItems,2200000.0,31300000.0,0.0,0.0,0.0,0.0,2700000.0,5300000.0,9600000.0,0.0,0.0,0.0,0.0,-4452000.0,3307000.0,0.0,0.0,0.0,0.0,-1583000.0,3297000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
,netCashProvidedByOperatingActivites,105200000.0,-36100000.0,67400000.0,64300000.0,21800000.0,32100000.0,-43000000.0,139800000.0,162900000.0,94217000.0,108598000.0,153156000.0,64451000.0,16926000.0,-21239000.0,-40482000.0,50938000.0,14572000.0,34733000.0,-33315000.0,46093000.0,10051000.0,28525000.0,22823000.0,9531000.0,24760000.0,15255000.0,6697000.0,16800000.0,8800000.0,36900000.0,19400000.0,100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-11300000.0,-23600000.0,-17400000.0,-22000000.0,-33600000.0,-88400000.0,-46300000.0,-26500000.0,-37600000.0,-91218000.0,-124879000.0,-28855000.0,-27535000.0,-30334000.0,-29891000.0,-16296000.0,-13033000.0,-10286000.0,-9930000.0,-12112000.0,-13134000.0,-22344000.0,-36131000.0,-17495000.0,-30292000.0,-7547000.0,-9073000.0,-5984000.0,-8900000.0,-8200000.0,-8900000.0,-10400000.0,-10400000.0
,acquisitionsNet,0.0,0.0,-2300000.0,-22900000.0,-12500000.0,0.0,689100000.0,-15500000.0,-5900000.0,-298087000.0,0.0,-193339000.0,5097000.0,-85210000.0,-31911000.0,0.0,0.0,0.0,0.0,-13251000.0,-3200000.0,0.0,-15175000.0,-28148000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5801000.0,-9893000.0,-4239000.0,-828000.0,-49788000.0,-20253000.0,-16717000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400000.0,0.0,-2600000.0,0.0
