Date,2018-12-31,2017-12-31
Cash and cash equivalents,5069629.6296,7974076.9835
Short-term investments,0.0,0.0
Cash and short-term investments,5069629.6296,7974076.9835
Receivables,5785925.9259,6063629.2223
Inventories,0.0,0.0
Total current assets,11125925.9259,14208169.6779
Property Plant & Equipment Net,200174814.8148,104214454.0456
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,4505185.1852,0.0
Tax assets,831851.8519,810683.425
Total non-current assets,206340000.0,105699921.4454
Total assets,217465925.9259,119908091.1233
Payables,1974814.8148,1905734.4855
Short-term debt,0.0,0.0
Total current liabilities,2741481.4815,3157109.1909
Long-term debt,12429629.6296,9354281.2255
Total debt,12429629.6296,9354281.2255
Deferred revenue,0.0,0.0
Tax Liabilities,766666.6667,1251374.7054
Deposit Liabilities,0.0,0.0
Total non-current liabilities,12429629.6296,9354281.2255
Total liabilities,15171111.1111,12511390.4163
Other comprehensive income,8940000.0,-5532600.1571
Retained earnings (deficit),-2169629.6296,-4430479.183
Total shareholders equity,202294814.8148,107396700.707
Investments,4505185.1852,0.0
Net Debt,,
Other Assets,,
Other Liabilities,766666.6667,1251374.7054
