date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2919000000.0,3769000000.0,6638000000.0,5378000000.0,2912000000.0,2752000000.0,2465000000.0,1908000000.0,1911000000.0,1923000000.0,1957000000.0,1615000000.0,1639000000.0,1312000000.0,1281000000.0,885000000.0,887000000.0,890000000.0,473000000.0,781000000.0,704000000.0,697000000.0,664000000.0,618000000.0,579500000.0,553300000.0,518700000.0
,depreciationAndAmortization,4315000000.0,4478000000.0,4147000000.0,2629000000.0,3377000000.0,3203000000.0,2896000000.0,2521000000.0,1772000000.0,1844000000.0,2092000000.0,2004000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-78000000.0,258000000.0,1463000000.0,-875000000.0,1230000000.0,1162000000.0,1205000000.0,877000000.0,682000000.0,553000000.0,511000000.0,273000000.0,569000000.0,402000000.0,393000000.0,333000000.0,428000000.0,588000000.0,219000000.0,-91000000.0,283000000.0,-198000000.0,-237000000.0,-30000000.0,-75700000.0,-89600000.0,92800000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-604000000.0,377000000.0,-605000000.0,346000000.0,-223000000.0,-92000000.0,-538000000.0,-52000000.0,-280000000.0,-502000000.0,237000000.0,-182000000.0,-173000000.0,74000000.0,-962000000.0,84000000.0,494000000.0,-162000000.0,111000000.0,0.0,0.0,0.0,0.0,0.0,-20900000.0,62000000.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000000.0,-73000000.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,17000000.0,-135000000.0,-81000000.0,1000000.0,-308000000.0,22000000.0,85000000.0,-106000000.0,-14000000.0,-203000000.0,-173000000.0,29000000.0,1000000.0,-56000000.0,0.0,0.0,0.0,0.0,0.0,-20900000.0,62000000.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,-206000000.0,110000000.0,122000000.0,-17000000.0,-97000000.0,179000000.0,-86000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-234000000.0,138000000.0,-137000000.0,-67000000.0,-79000000.0,-120000000.0,-366000000.0,24000000.0,4000000.0,-214000000.0,40000000.0,-218000000.0,-165000000.0,127000000.0,8000000.0,-22000000.0,-9000000.0,57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-1000000.0,-238000000.0,-121000000.0,-639000000.0,-532000000.0,-584000000.0,-111000000.0,-208000000.0,130000000.0,2076000000.0,87000000.0,53000000.0,-200000000.0,138000000.0,-432000000.0,80000000.0,56000000.0,22000000.0,-80000000.0,118000000.0,-1043000000.0,1064000000.0,1284000000.0,1061000000.0,960400000.0,917900000.0,723900000.0
,netCashProvidedByOperatingActivites,7983000000.0,8155000000.0,6593000000.0,6413000000.0,6336000000.0,6116000000.0,5500000000.0,5102000000.0,3992000000.0,4074000000.0,3834000000.0,4463000000.0,3403000000.0,3593000000.0,2498000000.0,1547000000.0,2650000000.0,2254000000.0,2338000000.0,1942000000.0,976000000.0,1563000000.0,1743000000.0,1597000000.0,1592300000.0,1510100000.0,1382000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-245000000.0,-315000000.0,-267000000.0,-197000000.0,-283000000.0,-361000000.0,-287000000.0,-371000000.0,-305000000.0,-538000000.0,-274000000.0,-362000000.0,-2274000000.0,-1857000000.0,-1826000000.0,-1616000000.0,-1535000000.0,-1391000000.0,-1277000000.0,-1154000000.0,-1299000000.0,-861000000.0,-617000000.0,-551000000.0,-487600000.0,-670800000.0,-758700000.0
,acquisitionsNet,0.0,0.0,0.0,1454000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-10951000000.0,-10545000000.0,-10727000000.0,-8539000000.0,-9225000000.0,-9487000000.0,-8281000000.0,-7924000000.0,-10010000000.0,-7556000000.0,-10448000000.0,-8560000000.0,-84000000.0,-156000000.0,0.0,-2928000000.0,-476000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,4928000000.0,5171000000.0,1617000000.0,178000000.0,658000000.0,52000000.0,307000000.0,4570000000.0,5301000000.0,4836000000.0,7447000000.0,5466000000.0,28000000.0,138000000.0,0.0,2928000000.0,93000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,83000000.0,274000000.0,3533000000.0,3434000000.0,4052000000.0,4957000000.0,4678000000.0,459000000.0,651000000.0,264000000.0,664000000.0,97000000.0,-3478000000.0,-2703000000.0,-1981000000.0,-549000000.0,46000000.0,-1698000000.0,-1990000000.0,-2165000000.0,-666000000.0,-1311000000.0,-178000000.0,-246000000.0,-107200000.0,-101000000.0,61800000.0
,netCashUsedForInvestingActivites,-13699000000.0,-16177000000.0,-10950000000.0,-8918000000.0,-8110000000.0,-8005000000.0,-6361000000.0,-6123000000.0,-8928000000.0,-5279000000.0,-5284000000.0,-5935000000.0,-5808000000.0,-4578000000.0,-3807000000.0,-2165000000.0,-1872000000.0,-3089000000.0,-3267000000.0,-3269000000.0,-1943000000.0,-2172000000.0,-795000000.0,-797000000.0,-526000000.0,-701600000.0,-573900000.0
