date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2829000000.0,2805000000.0,341000000.0,-98000000.0,-627000000.0,220000000.0,508000000.0,-2462000000.0,1809000000.0,366000000.0,2277000000.0,1297000000.0,853000000.0,-1886000000.0,791000000.0,322000000.0,443327000.0,475000000.0,158061000.0
,depreciationAndAmortization,2300000000.0,1960000000.0,1215000000.0,1249000000.0,1220000000.0,1239000000.0,1229000000.0,1362000000.0,1032000000.0,1036000000.0,945000000.0,806000000.0,747000000.0,695000000.0,636000000.0,615000000.0,700615000.0,528000000.0,542793000.0
,deferredIncomeTax,-222000000.0,334000000.0,150000000.0,795000000.0,434000000.0,317000000.0,-149000000.0,-1314000000.0,15000000.0,-671000000.0,-380000000.0,1000000.0,-300000000.0,-152000000.0,-55000000.0,-12000000.0,24787000.0,-36000000.0,-100291000.0
,stockBasedCompensation,72000000.0,97000000.0,76000000.0,70000000.0,70000000.0,77000000.0,51000000.0,64000000.0,72000000.0,79000000.0,70000000.0,57000000.0,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,295000000.0,397000000.0,-181000000.0,744000000.0,-640000000.0,326000000.0,1107000000.0,-670000000.0,1356000000.0,-3058000000.0,1004000000.0,2737000000.0,-407000000.0,269000000.0,-783000000.0,65856000.0,94144000.0,1106207000.0,12477000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,0.0,42000000.0,80000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-139000000.0,-132000000.0,-250000000.0,-221000000.0,-302000000.0,-270000000.0,-525000000.0,-777000000.0,-729000000.0,-495000000.0,-501000000.0,-378000000.0,-354000000.0,-95000000.0,-388000000.0,-189000000.0,-23257000.0,-73000000.0,-9546000.0
,accountsPayables,-50000000.0,144000000.0,-73000000.0,18000000.0,4000000.0,-39000000.0,-187000000.0,-478000000.0,-210000000.0,0.0,0.0,177000000.0,-55000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-101000000.0,3887000000.0,3490000000.0,3671000000.0,2927000000.0,3567000000.0,3241000000.0,2134000000.0,2804000000.0,1448000000.0,4506000000.0,3502000000.0,765000000.0,1172000000.0,903000000.0,1686000000.0,1620144000.0,1526000000.0,419793000.0
,otherNonCashItems,233000000.0,259000000.0,238000000.0,256000000.0,604000000.0,606000000.0,728000000.0,1162000000.0,156000000.0,167000000.0,212000000.0,179000000.0,549000000.0,2360000000.0,22000000.0,-10000000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,4882000000.0,2866000000.0,1827000000.0,2335000000.0,2786000000.0,2145000000.0,1438000000.0,1543000000.0,2372000000.0,3584000000.0,3167000000.0,2947000000.0,1292000000.0,663000000.0,1225000000.0,1243000000.0,1556752000.0,589000000.0,670308000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1302000000.0,-1463000000.0,-1032000000.0,-866000000.0,-1133000000.0,-1401000000.0,-1110000000.0,-1900000000.0,-3210000000.0,-2787000000.0,-1402000000.0,-1769000000.0,-1875000000.0,-1670000000.0,-1551000000.0,-1251000000.0,-717961000.0,-501000000.0,-300057000.0
,acquisitionsNet,0.0,127000000.0,-140000000.0,0.0,0.0,-823000000.0,-28000000.0,-13000000.0,-25000000.0,-2309000000.0,-4000000.0,-1007000000.0,-325000000.0,-792000000.0,-348000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-37000000.0,-112000000.0,-39000000.0,-130000000.0,0.0,0.0,-26000000.0,-1000000.0,-220000000.0,-21000000.0,-28000000.0,-5000000.0,-17000000.0,-258000000.0,-1503000000.0,-3301000000.0,-1719995000.0,-15000000.0,0.0
,salesMaturitiesOfInvestments,307000000.0,67000000.0,18000000.0,35000000.0,195000000.0,29000000.0,25000000.0,589000000.0,210000000.0,81000000.0,3000000.0,17000000.0,50000000.0,224000000.0,2224000000.0,3358000000.0,899130000.0,232000000.0,500103000.0
,otherInvestingActivites,44000000.0,23000000.0,16000000.0,15000000.0,-10000000.0,154000000.0,632000000.0,12000000.0,-19000000.0,-40000000.0,-44000000.0,-17000000.0,16000000.0,190000000.0,6000000.0,138000000.0,55409000.0,-98000000.0,-87936000.0
,netCashUsedForInvestingActivites,166000000.0,-1226000000.0,-1177000000.0,-961000000.0,-34000000.0,-2041000000.0,-507000000.0,-1313000000.0,-3264000000.0,-5067000000.0,-1419000000.0,-2781000000.0,-2151000000.0,-2467000000.0,-838000000.0,-977000000.0,-1432217000.0,-202000000.0,112110000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1226000000.0,-1931000000.0,-4000000.0,-580000000.0,-1312000000.0,-454000000.0,-686000000.0,-1150000000.0,-1976000000.0,-2273000000.0,-430000000.0,-2731000000.0,-4487000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,675000000.0,0.0,2000000.0,24000000.0,40000000.0,289000000.0,1916000000.0,29000000.0,299000000.0,78000000.0,43000000.0,77531000.0,1287000000.0,67346000.0
,commonStockRepurchased,-521000000.0,-479000000.0,-98000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110000000.0,-287000000.0,0.0,-366000000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-834000000.0,-889000000.0,-301000000.0,-134000000.0,-67000000.0,-52000000.0,-114000000.0,-611000000.0,-695000000.0,-611000000.0,-246000000.0,-590000000.0,-571000000.0,-181000000.0,-180000000.0,-365000000.0,-370217000.0,-71000000.0,-49982000.0
