Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,10642877.0,2586315.0,1088066.0,190317.0,1082290.0,29784.0,5899.0,2738.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,10642877.0,2586315.0,1088066.0,190317.0,1082290.0,29784.0,5899.0,2738.0
Receivables,1064078.0,315321.0,344955.0,142206.0,138041.0,63177.0,300.0,665.0
Inventories,11017459.0,4051282.0,780037.0,683824.0,377020.0,59051.0,0.0,0.0
Total current assets,23489560.0,7602667.0,2400772.0,1130853.0,1771498.0,152012.0,6199.0,6203.0
Property, Plant & Equipment Net,1758130.0,728506.0,99216.0,112005.0,81206.0,22395.0,0.0,0.0
Goodwill and Intangible Assets,313858.0,353850.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,2868248.0,1426298.0,147216.0,161005.0,274956.0,22395.0,3075.0,0.0
Total assets,26357808.0,9028965.0,2547988.0,1291858.0,2046454.0,174407.0,9274.0,6203.0
Payables,1984690.0,1267189.0,457034.0,1300532.0,206630.0,13506.0,37771.0,44551.0
Short-term debt,0.0,293726.0,4537.0,472556.0,153560.0,2301.0,155000.0,80000.0
Total current liabilities,2372584.0,1718657.0,987399.0,2337629.0,441075.0,41249.0,202354.0,142265.0
Long-term debt,5234106.0,2161760.0,427756.0,17842.0,23271.0,30000.0,0.0,0.0
Total debt,5234106.0,2455486.0,432293.0,490398.0,176831.0,32301.0,155000.0,80000.0
Deferred revenue,1728.0,1579.0,2126.0,727.0,8275.0,15356.0,0.0,1200.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,5234106.0,2161760.0,427756.0,17842.0,23271.0,30000.0,0.0,0.0
Total liabilities,7606690.0,3880417.0,1415155.0,2355471.0,464346.0,71249.0,202354.0,142265.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-27138630.0,-18090961.0,-12813044.0,-7561751.0,-3960685.0,98004.0,-241062.0,-184044.0
Total shareholders equity,18751118.0,5132963.0,1132833.0,-1063613.0,1582108.0,103158.0,-193080.0,-136062.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-5408771.0,-130829.0,-655773.0,300081.0,-905459.0,2517.0,149101.0,77262.0
Other Assets,765146.0,649749.0,187714.0,114506.0,174147.0,0.0,0.0,2800.0
Other Liabilities,387894.0,157742.0,525828.0,564541.0,80885.0,25442.0,9583.0,17714.0
