date,,2020-09-03_FY,2019-08-29_FY,2018-08-30_FY,2017-08-31_FY,2016-09-01_FY,2015-09-03_FY,2014-08-28_FY,2013-08-29_FY,2012-08-30_FY,2011-09-01_FY,2010-09-02_FY,2009-09-03_FY,2008-10-08_FY,2008-08-28_FY,2007-10-12_FY,2007-08-30_FY,2006-08-31_FY,2005-09-01_FY,2004-09-02_FY,2003-08-28_FY,2002-08-29_FY,2001-08-30_FY,2000-08-31_FY,1999-09-02_FY,1998-09-03_FY,1997-08-28_FY,1996-08-29_FY,1995-08-31_FY,1994-09-01_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2687000000.0,6313000000.0,14135000000.0,5089000000.0,-276000000.0,2899000000.0,3045000000.0,1190000000.0,-1032000000.0,167000000.0,1850000000.0,-1835000000.0,-1619000000.0,-1619000000.0,-320000000.0,-320000000.0,408000000.0,188000000.0,157000000.0,-1273000000.0,-907000000.0,-625000000.0,1504200000.0,-69000000.0,-234000000.0,332000000.0,594000000.0,844100000.0,401000000.0
,depreciationAndAmortization,5650000000.0,5424000000.0,4759000000.0,3861000000.0,2980000000.0,2667000000.0,2103000000.0,1804000000.0,2141000000.0,2105000000.0,2005000000.0,2139000000.0,2060000000.0,2060000000.0,1718000000.0,1718000000.0,1281000000.0,1265000000.0,1218000000.0,1210000000.0,1177000000.0,1114000000.0,994300000.0,843000000.0,607000000.0,462000000.0,364000000.0,199000000.0,139000000.0
,deferredIncomeTax,79000000.0,150000000.0,-265000000.0,0.0,-15000000.0,168000000.0,68000000.0,-7000000.0,3000000.0,103000000.0,0.0,0.0,0.0,0.0,-11000000.0,-11000000.0,-24000000.0,-10000000.0,58000000.0,71000000.0,11000000.0,0.0,0.0,0.0,30000000.0,94000000.0,48000000.0,0.0,3000000.0
,stockBasedCompensation,328000000.0,243000000.0,198000000.0,215000000.0,191000000.0,168000000.0,115000000.0,91000000.0,87000000.0,76000000.0,93000000.0,0.0,0.0,0.0,44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1217000000.0,-172000000.0,3162000000.0,2463000000.0,-31000000.0,-743000000.0,648000000.0,1271000000.0,163000000.0,-279000000.0,2179000000.0,-729000000.0,0.0,-1027000000.0,0.0,-232000000.0,1493000000.0,280000000.0,623000000.0,-322000000.0,-1085000000.0,-805900000.0,1348900000.0,1149000000.0,-463000000.0,923000000.0,-370300000.0,150300000.0,290000000.0
,accountsReceivables,-1134000000.0,2431000000.0,-1734000000.0,0.0,465000000.0,393000000.0,-518000000.0,-409000000.0,238000000.0,54000000.0,-516000000.0,126000000.0,-26000000.0,-6000000.0,5000000.0,72000000.0,0.0,-22000000.0,-130000000.0,-103000000.0,-784000000.0,605000000.0,0.0,-218000000.0,133000000.0,-148000000.0,180000000.0,0.0,-81000000.0
,inventory,-489000000.0,-1528000000.0,-472000000.0,50000000.0,-549000000.0,116000000.0,194000000.0,83000000.0,258000000.0,-357000000.0,27000000.0,603000000.0,282000000.0,241000000.0,20000000.0,-569000000.0,-12000000.0,-193000000.0,-160000000.0,307000000.0,-331000000.0,726000000.0,-339100000.0,-75000000.0,163000000.0,-203000000.0,-46000000.0,-76000000.0,-18000000.0
,accountsPayables,725000000.0,-174000000.0,549000000.0,0.0,272000000.0,-691000000.0,671000000.0,143000000.0,-83000000.0,-84000000.0,54000000.0,107000000.0,-92000000.0,259000000.0,-1000000.0,-2000000.0,0.0,11000000.0,30000000.0,98000000.0,596000000.0,-702000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,11330000000.0,10113000000.0,10285000000.0,7123000000.0,4660000000.0,4691000000.0,5434000000.0,4786000000.0,3515000000.0,3352000000.0,3631000000.0,1452000000.0,2181000000.0,2181000000.0,3208000000.0,3208000000.0,3440000000.0,1947000000.0,1667000000.0,1044000000.0,1366000000.0,2451000000.0,3256900000.0,1908000000.0,759000000.0,1222000000.0,299000000.0,669300000.0,519000000.0
,otherNonCashItems,354000000.0,528000000.0,425000000.0,147000000.0,353000000.0,-328000000.0,-170000000.0,-821000000.0,462000000.0,310000000.0,-348000000.0,941000000.0,0.0,679000000.0,0.0,-4000000.0,26000000.0,-14000000.0,-40000000.0,440000000.0,416000000.0,1066000000.0,0.0,55000000.0,-191000000.0,-218000000.0,49000000.0,49200000.0,-3000000.0
,netCashProvidedByOperatingActivites,8306000000.0,13189000000.0,17400000000.0,8153000000.0,3168000000.0,5208000000.0,5699000000.0,1811000000.0,2114000000.0,2484000000.0,3096000000.0,1206000000.0,1018000000.0,1018000000.0,937000000.0,937000000.0,2019000000.0,1238000000.0,1159000000.0,284000000.0,578000000.0,789000000.0,2068300000.0,848000000.0,189000000.0,604000000.0,1061000000.0,1038800000.0,558000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-8223000000.0,-9780000000.0,-8879000000.0,-4734000000.0,-5817000000.0,-4021000000.0,-2658000000.0,-1244000000.0,-1699000000.0,-2550000000.0,-616000000.0,-488000000.0,-2529000000.0,-2529000000.0,-3603000000.0,-3603000000.0,-1365000000.0,-1064000000.0,-1080000000.0,-821000000.0,-1127000000.0,-702000000.0,-1188200000.0,-804000000.0,-707000000.0,-517000000.0,-1426000000.0,-730000000.0,-251000000.0
,acquisitionsNet,0.0,0.0,0.0,-2634000000.0,0.0,0.0,0.0,69000000.0,0.0,0.0,95000000.0,0.0,0.0,0.0,-73000000.0,-73000000.0,416000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1857000000.0,-6947000000.0,-760000000.0,-1513000000.0,-148000000.0,-884000000.0,-76000000.0,-5000000.0,-6000000.0,-163000000.0,-3000000.0,-6000000.0,-283000000.0,0.0,-1466000000.0,0.0,-3080000000.0,-1848000000.0,-1799000000.0,-758000000.0,-2504000000.0,-2860000000.0,-2750600000.0,0.0,0.0,0.0,0.0,-719600000.0,0.0
,salesMaturitiesOfInvestments,814000000.0,3045000000.0,320000000.0,1154000000.0,3690000000.0,2248000000.0,557000000.0,678000000.0,152000000.0,0.0,0.0,130000000.0,547000000.0,0.0,2156000000.0,0.0,2222000000.0,1825000000.0,1179000000.0,832000000.0,2027000000.0,3104000000.0,2387800000.0,0.0,0.0,0.0,0.0,651800000.0,0.0
