Date,2017-08,2016-08,2015-08,2014-08,2013-08
Cash and cash equivalents,53000000.0,35000000.0,97000000.0,135000000.0,134000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,408000000.0,377000000.0,414000000.0,384000000.0,311000000.0
Inventories,276000000.0,264000000.0,317000000.0,292000000.0,262000000.0
Total current assets,972000000.0,1034000000.0,1463000000.0,660000000.0,491000000.0
Property, Plant & Equipment Net,299000000.0,315000000.0,314000000.0,254000000.0,211000000.0
Goodwill and Intangible Assets,596000000,621000000,1059000000,341000000,232000000
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,1092000000.0,1169000000.0,1310000000.0,532000000.0,359000000.0
Total assets,1754000000.0,1758000000.0,2352000000.0,1512000000.0,1238000000.0
Payables,319000000.0,280000000.0,305000000.0,315000000.0,265000000.0
Short-term debt,32000000.0,25000000.0,21000000.0,32000000.0,8000000.0
Total current liabilities,464000000.0,430000000.0,457000000.0,453000000.0,372000000.0
Long-term debt,882000000.0,926000000.0,1045000000.0,339000000.0,207000000.0
Total debt,882000000.0,926000000.0,1045000000.0,339000000.0,207000000.0
Deferred revenue,,,,,
Tax Liabilities,38000000.0,59000000.0,116000000.0,24000000.0,21000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,1092000000.0,1169000000.0,1310000000.0,532000000.0,359000000.0
Total liabilities,1557000000.0,1598000000.0,1768000000.0,985000000.0,731000000.0
Other comprehensive income,-89000000.0,-121000000.0,-83000000.0,-17000000.0,1000000.0
Retained earnings (deficit),220000000.0,219000000.0,608000000.0,607000000.0,574000000.0
Total shareholders equity,197000000.0,159000000.0,584000000.0,527000000.0,507000000.0
Investments,,,,,
Net Debt,861000000,916000000,969000000,236000000,81000000
Other Assets,84000000,106000000,91000000,65000000,49000000
Other Liabilities,24000000,26000000,23000000,29000000,25000000
