date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,36431000000.0,32474000000.0,24441000000.0,24733000000.0,24442000000.0,21762000000.0,17923000000.0,21284000000.0,18976000000.0,17370000000.0,11728000000.0,5605000000.0,15365000000.0,14444000000.0,8483000000.0,4466000000.0,6719000000.0,1663000000.0,1694000000.0,5727000000.0,5446000000.0,3782000000.0,3708000000.0,2461000000.0,1805000000.0,1294000000.0,1604000000.0,1086000000.0,154000000.0,291200000.0,-482200000.0
,depreciationAndAmortization,8368000000.0,7791000000.0,6179000000.0,5478000000.0,4940000000.0,4759000000.0,5306000000.0,5147000000.0,5105000000.0,4965000000.0,3833000000.0,4406000000.0,3821000000.0,3577000000.0,4318000000.0,3835000000.0,3101000000.0,3426000000.0,2891000000.0,2545000000.0,1403000000.0,1170000000.0,951000000.0,869000000.0,366000000.0,377000000.0,333000000.0,319000000.0,192000000.0,236000000.0,209000000.0
,deferredIncomeTax,949000000.0,1721000000.0,2312000000.0,4651000000.0,1333000000.0,4210000000.0,8003000000.0,1130000000.0,1693000000.0,-968000000.0,-3622000000.0,-2637000000.0,1307000000.0,-1810000000.0,-1791000000.0,-827000000.0,1428000000.0,1636000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,2190000000.0,2219000000.0,2545000000.0,2675000000.0,3251000000.0,3355000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-61178000000.0,-26994000000.0,-49304000000.0,-19088000000.0,41007000000.0,-3714000000.0,79343000000.0,-1865000000.0,53814000000.0,-51348000000.0,58046000000.0,5880000000.0,-149071000000.0,-73313000000.0,-38857000000.0,-30457000000.0,3173000000.0,-36896000000.0,-14764000000.0,-22116000000.0,-11714000000.0,-2770000000.0,164000000.0,-6079000000.0,-4513000000.0,-945000000.0,-10511000000.0,25000000.0,-52000000.0,-29000000.0,63000000.0
,accountsReceivables,-78000000.0,-5849000000.0,-15868000000.0,-5815000000.0,22664000000.0,-3637000000.0,-2340000000.0,1732000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-42799000000.0,-26942000000.0,-29236000000.0,-12496000000.0,45405000000.0,3024000000.0,86900000000.0,14155000000.0,0.0,-76008000000.0,137940000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,15891000000.0,-5676000000.0,8581000000.0,-939000000.0,-2083000000.0,4324000000.0,-4399000000.0,-4437000000.0,6157000000.0,6234000000.0,6167000000.0,11603000000.0,18182000000.0,8116000000.0,3538000000.0,2282000000.0,180000000.0,5037000000.0,7072000000.0,168000000.0,1489000000.0,1410000000.0,638000000.0,1766000000.0,226000000.0,1624000000.0,123000000.0,4327000000.0,-157000000.0,110800000.0,1311200000.0
,netCashProvidedByOperatingActivites,6046000000.0,14187000000.0,-2501000000.0,20196000000.0,73466000000.0,36593000000.0,107953000000.0,25079000000.0,95932000000.0,-3752000000.0,121897000000.0,23098000000.0,-110560000000.0,-49579000000.0,-24227000000.0,-21805000000.0,14601000000.0,-25134000000.0,-3107000000.0,-13676000000.0,-3376000000.0,3592000000.0,5461000000.0,-983000000.0,-2105000000.0,2350000000.0,-8486000000.0,5757000000.0,137000000.0,609000000.0,1101000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000000.0,102000000.0,-4910000000.0,-97000000.0,2128000000.0,-70000000.0,185000000.0,-1039000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-255576000000.0,-104459000000.0,-107658000000.0,-124102000000.0,-77008000000.0,-131849000000.0,-154480000000.0,-189630000000.0,-202309000000.0,-179487000000.0,-346372000000.0,-293196000000.0,-152321000000.0,-208469000000.0,-114218000000.0,-186846000000.0,-312913000000.0,-246669000000.0,-182922000000.0,-119658000000.0,-100682000000.0,-201713000000.0,-115652000000.0,-73586000000.0,-678000000.0,-29132000000.0,-8868000000.0,-15337000000.0,-13311000000.0,-6443000000.0,-15009000000.0
,salesMaturitiesOfInvestments,125804000000.0,86413000000.0,150881000000.0,120760000000.0,122991000000.0,133244000000.0,163132000000.0,194594000000.0,165965000000.0,220200000000.0,243424000000.0,168761000000.0,164532000000.0,169487000000.0,113988000000.0,179731000000.0,326286000000.0,224564000000.0,200274000000.0,114130000000.0,95112000000.0,199913000000.0,106254000000.0,53764000000.0,65789000000.0,24870000000.0,5120000000.0,10080000000.0,12091000000.0,6158000000.0,13845000000.0
