date,,2020-12-31_FY,2019-12-31_FY
,revenue,287471000.0,247861000.0
,costOfRevenue,63148000.0,60880000.0
,grossProfit,224323000.0,186981000.0
,grossProfitRatio,0.780332624856072,0.754378462121915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,69503000.0,63017000.0
,GeneralAndAdministrativeExpenses,65110000.0,44473000.0
,SellingAndMarketingExpenses,160552000.0,138015000.0
,otherExpenses,-285000.0,-256000.0
,operatingExpenses,295165000.0,245505000.0
,costAndExpenses,358313000.0,306385000.0
,interestExpense,0.0,-2540000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,8471000.0,8074000.0
,EBITDA,-62371000.0,-50450000.0
,EBITDARatio,-0.21696449380981,-0.203541501083268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-70842000.0,-58524000.0
,operatingIncomeRatio,-0.246431813991672,-0.236116210295286
,totalOtherIncomeExpensesNet,-285000.0,-256000.0
,incomeBeforeTax,-79009000.0,-61320000.0
,incomeBeforeTaxRatio,-0.274841636199825,-0.247396726391001
,incomeTaxExpense,573000.0,149000.0
,netIncome,-79582000.0,-61469000.0
,netIncomeRatio,-0.276834880735796,-0.247997869773784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-2.60386742139188,-2.01122
,EPSDiluted,-2.60386742139188,-2.01122
,weightedAverageShsOut,30563000.0,30563000.0
,weightedAverageShsOutDil,30563000.0,30563000.0
