Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,214683000.0,220786000.0,187371000.0,96185000.0,149159000.0,100952000.0,3107000.0,3158000.0
Short-term investments,137436000.0,73560000.0,27454000.0,79860000.0,0.0,0.0,0.0,0.0
Cash and short-term investments,352119000.0,294346000.0,214825000.0,176045000.0,149159000.0,100952000.0,3107000.0,3158000.0
Receivables,4948000.0,9586000.0,4809000.0,3342000.0,3412000.0,3656000.0,67310000.0,43564000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,371339000.0,320430000.0,234012000.0,196114000.0,164873000.0,119831000.0,12581000.0,7889000.0
Property, Plant & Equipment Net,19550000.0,17153000.0,16355000.0,11579000.0,7693000.0,8560000.0,6688000.0,5298000.0
Goodwill and Intangible Assets,15385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,83209000.0,52099000.0,77475000.0,54395000.0,14752000.0,4067000.0,2905000.0,2408000.0
Tax assets,22959000.0,23948000.0,36753000.0,39334000.0,36576000.0,35848000.0,0.0,0.0
Total non-current assets,195041000.0,139234000.0,160004000.0,125111000.0,68731000.0,47478000.0,77152000.0,56407000.0
Total assets,566380000.0,459664000.0,394016000.0,321225000.0,233604000.0,167309000.0,89733000.0,64296000.0
Payables,11035000.0,9202000.0,10133000.0,9135000.0,38517000.0,32503000.0,36934000.0,21139000.0
Short-term debt,1087000.0,1035000.0,986000.0,939000.0,894000.0,851000.0,0.0,0.0
Total current liabilities,92856000.0,83259000.0,78176000.0,75011000.0,67204000.0,56760000.0,54453000.0,30827000.0
Long-term debt,6564000.0,7651000.0,8686000.0,9671000.0,10610000.0,11504000.0,0.0,0.0
Total debt,7651000.0,8686000.0,9672000.0,10610000.0,11504000.0,12355000.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,4486000.0,0.0,0.0,0.0,0.0,6459000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,63950000.0,61517000.0,56986000.0,57224000.0,49591000.0,48052000.0,13650000.0,13312000.0
Total liabilities,156806000.0,144776000.0,135162000.0,132235000.0,116795000.0,104812000.0,68103000.0,44139000.0
Other comprehensive income,775000.0,940000.0,810000.0,457000.0,159000.0,0.0,0.0,0.0
Retained earnings (deficit),311341000.0,224071000.0,172599000.0,107942000.0,41592000.0,-7939000.0,-3182000.0,-360000.0
Total shareholders equity,409574000.0,314888000.0,258854000.0,188990000.0,116809000.0,62497000.0,21630000.0,20157000.0
Investments,220645000.0,125659000.0,104929000.0,134255000.0,14752000.0,4067000.0,2905000.0,2408000.0
Net Debt,-344468000.0,-285660000.0,-205153000.0,-165435000.0,-137655000.0,-88597000.0,-3107000.0,-3158000.0
Other Assets,14272000.0,16498000.0,14378000.0,16727000.0,12302000.0,15223000.0,-57836000.0,-38833000.0
Other Liabilities,80734000.0,73022000.0,67057000.0,64937000.0,27793000.0,23406000.0,17519000.0,9688000.0
