Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,44973000.0,14192000.0,12152000.0
Short-term investments,118902000.0,0.0,0.0
Cash and short-term investments,163875000.0,14192000.0,12152000.0
Receivables,568000.0,0.0,0.0
Inventories,0.0,0.0,0.0
Total current assets,166683000.0,15165000.0,12365000.0
Property Plant & Equipment Net,4232000.0,400000.0,224000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,4732000.0,433000.0,234000.0
Total assets,171415000.0,15598000.0,12599000.0
Payables,1456000.0,403000.0,340000.0
Short-term debt,0.0,0.0,49000.0
Total current liabilities,7925000.0,897000.0,890000.0
Long-term debt,3063000.0,0.0,163000.0
Total debt,3063000.0,0.0,212000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,344000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,6126000.0,23000.0,17913000.0
Total liabilities,11190000.0,920000.0,18803000.0
Other comprehensive income,203520000,0.0,0.0
Retained earnings (deficit),-43380000.0,-16265000.0,-7108000.0
Total shareholders equity,160225000.0,-15022000.0,-6204000.0
Investments,118902000.0,0.0,0.0
Net Debt,-41910000.0,-14192000.0,-11940000.0
Other Assets,0.0,973000.0,213000.0
Other Liabilities,0.0,494000.0,501000.0
