Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,4052000000.0,2660000000.0,1078000000.0,461000000.0,1272000000.0
Short-term investments,2619000000.0,2033000000.0,1412000000.0,683000000.0,1068000000.0
Cash and short-term investments,2619000000.0,2033000000.0,1412000000.0,683000000.0,1068000000.0
Receivables,1193000000.0,635000000.0,742000000.0,538000000.0,382000000.0
Inventories,2080000000.0,1638000000.0,1571000000.0,1238000000.0,1265000000.0
Total current assets,28163000000.0,26923000000.0,23973000000.0,22333000000.0,20943000000.0
Property, Plant & Equipment Net,15102000000.0,13107000000.0,9433000000.0,9253000000.0,9825000000.0
Goodwill and Intangible Assets,4592000000,4575000000,4505000000,4552000000,4634000000
Long-term investments,315000000.0,136000000.0,206000000.0,131000000.0,95000000.0
Tax assets,753000000.0,1211000000.0,2399000000.0,1191000000.0,968000000.0
Total non-current assets,18326000000.0,16666000000.0,13726000000.0,8931000000.0,7857000000.0
Total assets,38693000000.0,34440000000.0,29434000000.0,25594000000.0,26750000000.0
Payables,3110000000.0,1867000000.0,668000000.0,593000000.0,587000000.0
Short-term debt,1693000000.0,1138000000.0,1073000000.0,965000000.0,2972000000.0
Total current liabilities,5790000000.0,4023000000.0,2955000000.0,2099000000.0,4448000000.0
Long-term debt,17606000000.0,15014000000.0,11671000000.0,7361000000.0,6801000000.0
Total debt,17606000000.0,15014000000.0,11671000000.0,7361000000.0,6801000000.0
Deferred revenue,,,,,
Tax Liabilities,000000.0,409000000.0,271000000.0,267000000.0,236000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,18326000000.0,16666000000.0,13726000000.0,8931000000.0,7857000000.0
Total liabilities,24116000000.0,20689000000.0,16682000000.0,11030000000.0,12305000000.0
Other comprehensive income,,,,,
Retained earnings (deficit),,,,,
Total shareholders equity,14577000000.0,13751000000.0,12752000000.0,14564000000.0,14445000000.0
Investments,315000000.0,136000000.0,206000000.0,131000000.0,95000000.0
Net Debt,15247000000,13492000000,11666000000,7865000000,8501000000
Other Assets,7986000000,8445000000,8087000000,7546000000,7240000000
Other Liabilities,1186000000,1940000000,2200000000,1600000000,1478000000
