date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1921100000.0,1923800000.0,1912600000.0,610900000.0,2047100000.0,1634000000.0,1480000000.0,1259000000.0,1946000000.0,1214000000.0,1360000000.0,1380000000.0,1089000000.0,1002000000.0,814000000.0,1089000000.0,110000000.0,-519000000.0,971000000.0,267000000.0,520000000.0,536200000.0,511000000.0,587400000.0,529900000.0,500000000.0
,depreciationAndAmortization,2740100000.0,2400400000.0,2126300000.0,2090900000.0,2154700000.0,2073000000.0,1874000000.0,1918000000.0,1792000000.0,1780000000.0,1660000000.0,1571000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,-91600000.0,45200000.0,872000000.0,-69000000.0,755800000.0,836000000.0,674000000.0,617000000.0,794000000.0,809000000.0,1244000000.0,485000000.0,76000000.0,24000000.0,65000000.0,291000000.0,163000000.0,-66000000.0,163000000.0,-170000000.0,144000000.0,41400000.0,-6500000.0,-21500000.0,11900000.0,-12200000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-335200000.0,765500000.0,-404400000.0,-396000000.0,27800000.0,396000000.0,65000000.0,-161000000.0,498000000.0,-367000000.0,-1212000000.0,-207000000.0,-163000000.0,74000000.0,442000000.0,467000000.0,-205000000.0,-1140000000.0,740000000.0,-70000000.0,-80000000.0,63100000.0,-38200000.0,9900000.0,-105200000.0,-2800000.0
,accountsReceivables,247800000.0,145900000.0,28500000.0,-226600000.0,200200000.0,-72000000.0,5000000.0,-16000000.0,107000000.0,-866000000.0,41000000.0,71000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-248200000.0,20700000.0,17900000.0,60200000.0,-38600000.0,102000000.0,122000000.0,-224000000.0,176000000.0,221000000.0,-475000000.0,-183000000.0,16000000.0,-187000000.0,-20000000.0,33000000.0,-71000000.0,-127000000.0,-82000000.0,147000000.0,-122000000.0,2100000.0,-1400000.0,35800000.0,500000.0,-1600000.0
,accountsPayables,5800000.0,36600000.0,-58000000.0,164900000.0,16500000.0,-80000000.0,95000000.0,-60000000.0,-44000000.0,-36000000.0,8000000.0,-94000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-213500000.0,248800000.0,-242200000.0,-423000000.0,-194700000.0,268000000.0,-181000000.0,-109000000.0,0.0,14000000.0,0.0,0.0,-92000000.0,141000000.0,48000000.0,427000000.0,-3000000.0,-499000000.0,-147000000.0,172000000.0,13000000.0,-800000.0,-33400000.0,-6000000.0,37500000.0,-26500000.0
,otherNonCashItems,-134300000.0,-64800000.0,-10500000.0,-41300000.0,-89900000.0,-250000000.0,-317000000.0,-146000000.0,-495000000.0,-330000000.0,-551000000.0,104000000.0,79000000.0,158000000.0,-25000000.0,-347000000.0,0.0,0.0,-76000000.0,623000000.0,419000000.0,525800000.0,647400000.0,687100000.0,645800000.0,508000000.0
,netCashProvidedByOperatingActivites,4270100000.0,5223200000.0,4270400000.0,4519300000.0,4818500000.0,4613000000.0,4106000000.0,3804000000.0,3788000000.0,2662000000.0,2475000000.0,2576000000.0,2388000000.0,2732000000.0,1877000000.0,2597000000.0,2308000000.0,1677000000.0,2953000000.0,1503000000.0,817000000.0,1029500000.0,1197900000.0,1237100000.0,1056600000.0,977700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6143700000.0,-6357000000.0,-5799300000.0,-4909600000.0,-4600000000.0,-4250000000.0,-3778000000.0,-3132000000.0,-106000000.0,-91000000.0,0.0,0.0,-3556000000.0,-3528000000.0,-2404000000.0,-1693000000.0,-1358000000.0,-1722000000.0,-1832000000.0,-1773000000.0,-867000000.0,-792100000.0,-760400000.0,-577700000.0,-606000000.0,-643500000.0
,acquisitionsNet,-1011000000.0,-46000000.0,-108000000.0,-129000000.0,-92000000.0,-116000000.0,-154000000.0,-107000000.0,-320000000.0,-91000000.0,-169000000.0,-192000000.0,-74000000.0,-89000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1576000000.0,-2067800000.0,-2314700000.0,-3002300000.0,-2282700000.0,-1119000000.0,-938000000.0,-1074000000.0,-1321000000.0,-1922000000.0,-853000000.0,-1922000000.0,-11086000000.0,-18359000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,1494200000.0,2010000000.0,2256300000.0,3015100000.0,2228000000.0,1032000000.0,858000000.0,988000000.0,1387000000.0,1817000000.0,764000000.0,1962000000.0,11213000000.0,18080000000.0,0.0,0.0,0.0,1117000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-600000.0,75800000.0,2208100000.0,15600000.0,96000000.0,-4000000.0,72000000.0,-79000000.0,33000000.0,18000000.0,238000000.0,85000000.0,-202000000.0,-122000000.0,153000000.0,-40000000.0,-612000000.0,37000000.0,-36000000.0,19000000.0,-47000000.0,-1420600000.0,-363400000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-7144500000.0,-6353600000.0,-3656400000.0,-4989100000.0,-4564000000.0,-4406000000.0,-3818000000.0,-3391000000.0,-2890000000.0,-2523000000.0,-2916000000.0,-4027000000.0,-3921000000.0,-3743000000.0,-1005000000.0,-376000000.0,-1888000000.0,-422000000.0,-3432000000.0,-1754000000.0,-914000000.0,-2212700000.0,-1121700000.0,-565400000.0,-585400000.0,-593700000.0
