date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,44281000000.0,39240000000.0,16571000000.0,21204000000.0,16798000000.0,12193000000.0,22074000000.0,21863000000.0,16978000000.0,23150000000.0,18760000000.0,14569000000.0,17681000000.0,14065000000.0,12599000000.0,12254000000.0,8168000000.0,9993000000.0,7829000000.0,7346000000.0,9421000000.0,7785000000.0,4490000000.0,3454000000.0,2195000000.0,1453000000.0,1146000000.0,953000000.0,708100000.0,462700000.0,279200000.0,170500000.0
,depreciationAndAmortization,12796000000.0,11682000000.0,10261000000.0,8778000000.0,6622000000.0,5957000000.0,5212000000.0,3755000000.0,2967000000.0,2766000000.0,2673000000.0,2562000000.0,2056000000.0,1440000000.0,903000000.0,855000000.0,1186000000.0,1439000000.0,1084000000.0,1536000000.0,748000000.0,1010000000.0,1024000000.0,557000000.0,480000000.0,269000000.0,237000000.0,151000000.0,112300000.0,75800000.0,46300000.0,24200000.0
,deferredIncomeTax,-3620000000.0,-3534000000.0,13040000000.0,-3296000000.0,332000000.0,224000000.0,-331000000.0,-19000000.0,954000000.0,2000000.0,-220000000.0,762000000.0,935000000.0,421000000.0,219000000.0,-179000000.0,-1479000000.0,336000000.0,-416000000.0,-420000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,5289000000.0,4652000000.0,3940000000.0,3266000000.0,2668000000.0,2574000000.0,2446000000.0,2406000000.0,2244000000.0,2166000000.0,1891000000.0,1708000000.0,1479000000.0,1550000000.0,1715000000.0,2448000000.0,5734000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3473000000.0,-5042000000.0,15850000000.0,15021000000.0,5449000000.0,6233000000.0,4572000000.0,11653000000.0,6252000000.0,16615000000.0,7283000000.0,8890000000.0,-3058000000.0,-10154000000.0,-5292000000.0,-23737000000.0,10598000000.0,9167000000.0,7327000000.0,7952000000.0,9038000000.0,1356000000.0,3396000000.0,1349000000.0,1141000000.0,874000000.0,210000000.0,-30000000.0,86600000.0,19300000.0,-47200000.0,27800000.0
,accountsReceivables,-2577000000.0,-2812000000.0,-3862000000.0,-925000000.0,-530000000.0,1456000000.0,-1120000000.0,-1807000000.0,-1156000000.0,-1451000000.0,-2238000000.0,2215000000.0,-1569000000.0,-1764000000.0,-2071000000.0,-1243000000.0,-687000000.0,187000000.0,-1623000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,168000000.0,597000000.0,-465000000.0,50000000.0,600000000.0,-272000000.0,-161000000.0,-802000000.0,184000000.0,-561000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,23000000.0,-51000000.0,-40000000.0,8100000.0,-15600000.0,14700000.0
,accountsPayables,3018000000.0,232000000.0,1148000000.0,81000000.0,88000000.0,-1054000000.0,473000000.0,537000000.0,-31000000.0,58000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,109605000000.0,106132000000.0,111174000000.0,95324000000.0,80303000000.0,74854000000.0,68621000000.0,64049000000.0,52396000000.0,46144000000.0,29529000000.0,22246000000.0,13356000000.0,16414000000.0,26568000000.0,31860000000.0,55597000000.0,44999000000.0,35832000000.0,28505000000.0,20553000000.0,11515000000.0,10159000000.0,6763000000.0,5414000000.0,4273000000.0,3399000000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2292000000.0,561000000.0,-1017000000.0,2588000000.0,3123000000.0,1626000000.0,1266000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
,netCashProvidedByOperatingActivites,60675000000.0,52185000000.0,43884000000.0,39507000000.0,33325000000.0,29080000000.0,32231000000.0,28833000000.0,31626000000.0,26994000000.0,24073000000.0,19037000000.0,21612000000.0,17796000000.0,14404000000.0,16605000000.0,14626000000.0,15797000000.0,14509000000.0,13422000000.0,13961000000.0,10030000000.0,6880000000.0,4689000000.0,3719000000.0,1990000000.0,1593000000.0,1074000000.0,907000000.0,557900000.0,278300000.0,222500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15441000000.0,-13925000000.0,-11632000000.0,-8129000000.0,-8343000000.0,-5944000000.0,-5485000000.0,-4257000000.0,-2305000000.0,-2355000000.0,-1977000000.0,-3119000000.0,-3182000000.0,-2264000000.0,-1578000000.0,-812000000.0,-1109000000.0,-891000000.0,-770000000.0,-1103000000.0,-879000000.0,-583000000.0,-656000000.0,-499000000.0,-494000000.0,-495000000.0,-278000000.0,-236000000.0,-316600000.0,-264400000.0,-158100000.0,-89400000.0
,acquisitionsNet,-2521000000.0,-2388000000.0,-888000000.0,-25944000000.0,-1393000000.0,-3723000000.0,-5937000000.0,-1584000000.0,-10112000000.0,-71000000.0,-245000000.0,-868000000.0,-8053000000.0,-1150000000.0,-649000000.0,-207000000.0,-4000000.0,-1063000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
