Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,6233000.0,3587000.0,4818000.0,3961000.0,11201000.0,15427000.0,15964000.0
Short-term investments,9630000.0,8776000.0,18136000.0,22630000.0,18962000.0,21365000.0,37142000.0
Cash and short-term investments,15863000.0,12363000.0,22954000.0,26591000.0,30163000.0,36792000.0,53106000.0
Receivables,7130000.0,5352000.0,3193000.0,2276000.0,2126000.0,2702000.0,2434000.0
Inventories,1579000.0,2335000.0,2434000.0,2319000.0,0.0,0.0,0.0
Total current assets,25039000.0,21033000.0,29241000.0,32179000.0,33162000.0,40339000.0,56246000.0
Property Plant & Equipment Net,2561000.0,2731000.0,3334000.0,3835000.0,5653000.0,7910000.0,9400000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,2147000.0,2799000.0,5031000.0,2000000.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,2561000.0,2731000.0,3334000.0,5982000.0,8452000.0,12941000.0,11400000.0
Total assets,27600000.0,23764000.0,32575000.0,38161000.0,41614000.0,53280000.0,67646000.0
Payables,4920000.0,5490000.0,5303000.0,5903000.0,7119000.0,6538000.0,6117000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,5474000.0,5723000.0,9592000.0,12379000.0,17551000.0,18288000.0,19991000.0
Long-term debt,2229000.0,1886000.0,1886000.0,516000.0,871000.0,1138000.0,1321000.0
Total debt,2229000.0,1886000.0,1886000.0,516000.0,871000.0,1138000.0,1321000.0
Deferred revenue,0.0,14000.0,3511000.0,5135000.0,9178000.0,10580000.0,12782000.0
Tax Liabilities,8325000.0,8268000.0,7447000.0,4360000.0,3989000.0,3629000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,4458000.0,3772000.0,3772000.0,1072000.0,2246000.0,6138000.0,13821000.0
Total liabilities,8837000.0,8962000.0,13051000.0,14603000.0,21936000.0,27552000.0,37925000.0
Other comprehensive income,298242000,292932000,286991000,278362000,262317000,256470000,251254000
Retained earnings (deficit),-279522000.0,-278171000.0,-267485000.0,-254837000.0,-242687000.0,-230789000.0,-221603000.0
Total shareholders equity,18763000.0,14802000.0,19524000.0,23558000.0,19678000.0,25728000.0,29721000.0
Investments,9630000.0,8776000.0,18136000.0,24777000.0,21761000.0,26396000.0,39142000.0
Net Debt,-4004000.0,-1701000.0,-2932000.0,-3445000.0,-10330000.0,-14289000.0,-14643000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,-1095000.0,-533000.0,-313000.0,1152000.0,2139000.0,3126000.0,4113000.0
