date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-03-03_FY,2011-02-26_FY,2010-02-27_FY,2009-02-28_FY,2008-03-01_FY,2007-03-03_FY,2006-02-25_FY,2005-02-26_FY,2004-02-28_FY,2003-03-01_FY,2002-03-02_FY,2001-03-03_FY,2000-02-26_FY,1999-02-27_FY,1998-02-28_FY,1997-03-01_FY,1996-03-02_FY,1995-02-25_FY,1994-02-26_FY,1993-02-28_FY,1992-02-29_FY,1991-02-28_FY,1990-02-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1798000000.0,1541000000.0,1464000000.0,1000000000.0,1228000000.0,897000000.0,1233000000.0,532000000.0,-441000000.0,-1231000000.0,1277000000.0,1317000000.0,1003000000.0,1407000000.0,1377000000.0,1140000000.0,984000000.0,705000000.0,99000000.0,570000000.0,396000000.0,347000000.0,224000000.0,94500000.0,2000000.0,48000000.0,58000000.0,41000000.0,19900000.0,9600000.0,4500000.0,5700000.0
,depreciationAndAmortization,839000000.0,812000000.0,770000000.0,683000000.0,654000000.0,657000000.0,656000000.0,716000000.0,832000000.0,945000000.0,978000000.0,926000000.0,793000000.0,581000000.0,509000000.0,456000000.0,459000000.0,385000000.0,310000000.0,309000000.0,167400000.0,109500000.0,78400000.0,68300000.0,66800000.0,54900000.0,38600000.0,22400000.0,14800000.0,10000000.0,7800000.0,5500000.0
,deferredIncomeTax,-36000000.0,70000000.0,10000000.0,162000000.0,201000000.0,49000000.0,-297000000.0,-28000000.0,-19000000.0,28000000.0,-134000000.0,-30000000.0,-43000000.0,74000000.0,82000000.0,-151000000.0,-28000000.0,-14000000.0,-37000000.0,23000000.0,42800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200000.0,0.0,0.0
,stockBasedCompensation,135000000.0,143000000.0,123000000.0,129000000.0,108000000.0,104000000.0,87000000.0,90000000.0,107000000.0,120000000.0,121000000.0,118000000.0,0.0,105000000.0,121000000.0,132000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1934000000.0,-560000000.0,-655000000.0,-1382000000.0,433000000.0,-991000000.0,903000000.0,1812000000.0,-205000000.0,-368000000.0,222000000.0,1831000000.0,-816000000.0,-2207000000.0,851000000.0,-15000000.0,721000000.0,149000000.0,193000000.0,667000000.0,-239000000.0,-223000000.0,-600000.0,109600000.0,-19000000.0,-23000000.0,246000000.0,244100000.0,-7900000.0,62200000.0,-13800000.0,22400000.0
,accountsReceivables,0.0,-131000000.0,28000000.0,315000000.0,-185000000.0,123000000.0,0.0,7000000.0,-551000000.0,41000000.0,-371000000.0,-63000000.0,0.0,12000000.0,-70000000.0,-110000000.0,-30000000.0,-27000000.0,-71000000.0,-368000000.0,-7434000.0,-57000000.0,-36000000.0,0.0,41000000.0,-37000000.0,-31000000.0,-15000000.0,0.0,0.0,0.0,0.0
,inventory,-435000000.0,237000000.0,-194000000.0,-335000000.0,193000000.0,86000000.0,-141000000.0,597000000.0,-912000000.0,120000000.0,-400000000.0,-609000000.0,258000000.0,-562000000.0,-550000000.0,-457000000.0,-240000000.0,-507000000.0,0.0,0.0,-143969000.0,-138000000.0,15000000.0,71300000.0,69000000.0,-293000000.0,-270000000.0,-388000000.0,-114200000.0,-40200000.0,-2700000.0,8900000.0
,accountsPayables,1676000000.0,47000000.0,432000000.0,-196000000.0,518000000.0,-536000000.0,434000000.0,-986000000.0,1735000000.0,574000000.0,-443000000.0,141000000.0,0.0,221000000.0,320000000.0,385000000.0,347000000.0,318000000.0,0.0,0.0,16186000.0,-302000000.0,-285000000.0,0.0,186000000.0,-267000000.0,-113000000.0,-176000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,173000000.0,797000000.0,1357000000.0,2012000000.0,3394000000.0,2961000000.0,3952000000.0,3049000000.0,1237000000.0,1442000000.0,1810000000.0,1588000000.0,-243000000.0,573000000.0,2780000000.0,1929000000.0,1944000000.0,1223000000.0,1074000000.0,881000000.0,214000000.0,453000000.0,676000000.0,676600000.0,567000000.0,586000000.0,609000000.0,363000000.0,118900000.0,126800000.0,64600000.0,78400000.0
,otherNonCashItems,257000000.0,205000000.0,144000000.0,126000000.0,130000000.0,265000000.0,31000000.0,554000000.0,1419000000.0,1585000000.0,343000000.0,163000000.0,359000000.0,77000000.0,92000000.0,100000000.0,-5000000.0,76000000.0,468000000.0,46000000.0,20600000.0,0.0,0.0,-200000.0,500000.0,1300000.0,800000.0,1100000.0,100000.0,100000.0,0.0,-100000.0
,netCashProvidedByOperatingActivites,4927000000.0,2565000000.0,2408000000.0,2141000000.0,2557000000.0,1343000000.0,1935000000.0,1094000000.0,1380000000.0,3293000000.0,1190000000.0,2206000000.0,1877000000.0,2025000000.0,1762000000.0,1695000000.0,1841000000.0,1361000000.0,667000000.0,1578000000.0,808200000.0,760200000.0,662400000.0,542400000.0,-20400000.0,99500000.0,-37400000.0,-126200000.0,-31000000.0,6300000.0,21600000.0,34200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-713000000.0,-743000000.0,-819000000.0,-688000000.0,-582000000.0,-649000000.0,-561000000.0,-547000000.0,-705000000.0,-766000000.0,-744000000.0,-615000000.0,-1303000000.0,-797000000.0,-733000000.0,-648000000.0,-502000000.0,-545000000.0,-284000000.0,-97000000.0,-657706000.0,-361000000.0,-165700000.0,-72100000.0,-87600000.0,-126200000.0,-118100000.0,-101400000.0,-74900000.0,-25300000.0,-20300000.0,-9700000.0
,acquisitionsNet,0.0,-145000000.0,-787000000.0,0.0,0.0,-51000000.0,39000000.0,206000000.0,-31000000.0,-174000000.0,21000000.0,-7000000.0,-2170000000.0,-89000000.0,-421000000.0,0.0,0.0,-3000000.0,0.0,0.0,-326077000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-620000000.0,-1333000000.0,-1505000000.0,-6329000000.0,-3743000000.0,-3281000000.0,-2804000000.0,-230000000.0,-135000000.0,-1612000000.0,-1460000000.0,-16000000.0,-81000000.0,-8501000000.0,-4541000000.0,-4319000000.0,-7789000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
