date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2007-02-23_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-931000000.0,932000000.0,636000000.0,1164000000.0,654000000.0,260000000.0,591000000.0,595000000.0,568000000.0,1064000000.0,1288000000.0,564000000.0,4530000000.0,2489000000.0,165000000.0,2491300000.0,1211600000.0,1231300000.0,-610700000.0,912000000.0,-589100000.0,1876700000.0,363200000.0,464800000.0,793600000.0,1383900000.0,1765700000.0,267834000.0
,depreciationAndAmortization,734000000.0,943000000.0,912000000.0,874000000.0,841000000.0,955000000.0,899000000.0,871000000.0,905000000.0,833000000.0,816000000.0,585000000.0,393000000.0,221000000.0,-407000000.0,-8000000.0,174500000.0,329300000.0,192000000.0,139000000.0,58700000.0,-13900000.0,298000000.0,219700000.0,226500000.0,107400000.0,84400000.0,40700000.0
,deferredIncomeTax,-235000000.0,70000000.0,86000000.0,-47000000.0,102000000.0,-225000000.0,11000000.0,6000000.0,-22000000.0,0.0,0.0,0.0,0.0,-43000000.0,254000000.0,254500000.0,-109600000.0,52700000.0,179900000.0,-7300000.0,76400000.0,532700000.0,153500000.0,51800000.0,59300000.0,474900000.0,302300000.0,-112071000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,385000000.0,-3229000000.0,690000000.0,-1366000000.0,1162000000.0,-171000000.0,1721000000.0,896000000.0,-3744000000.0,1370000000.0,-1301000000.0,848000000.0,3044000000.0,-61564000000.0,64787000000.0,-1836000000.0,2524000000.0,5508000000.0,-7375000000.0,6050000000.0,-6036000000.0,134000000.0,958000000.0,-579000000.0,422000000.0,-2009000000.0,-9785000000.0,-1144584000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2940000000.0,2489000000.0,1254300000.0,3536200000.0,-627100000.0,-4250000000.0,1001000000.0,817400000.0,-16551000.0,-449800000.0,-799500000.0,692200000.0,-130500000.0,-205900000.0,-605700000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575000000.0,0.0,-708600000.0,-2275000000.0,824700000.0,7240500000.0,-201900000.0,1397300000.0,-1464349000.0,397700000.0,187900000.0,-410300000.0,1012300000.0,290300000.0,78800000.0
,otherWorkingCapital,0.0,-51668000000.0,-48439000000.0,-49129000000.0,-47763000000.0,-48925000000.0,-48754000000.0,-50475000000.0,-51371000000.0,-47627000000.0,-48997000000.0,-47696000000.0,-48544000000.0,-51588000000.0,9976000000.0,-54811000000.0,-52975000000.0,-55499000000.0,-61007000000.0,-53632000000.0,-59682000000.0,-53646000000.0,-53780000000.0,-54738000000.0,-54159000000.0,-54581000000.0,-52572000000.0,-42787000000.0
,otherNonCashItems,61000000.0,87000000.0,72000000.0,164000000.0,73000000.0,105000000.0,198000000.0,-297000000.0,-48000000.0,400000000.0,234000000.0,1847000000.0,2789000000.0,653000000.0,0.0,2423100000.0,225500000.0,313700000.0,-313900000.0,-602800000.0,956900000.0,2149349000.0,-743400000.0,811700000.0,-158000000.0,-1817100000.0,-829800000.0,2447406000.0
,netCashProvidedByOperatingActivites,1745000000.0,1741000000.0,4222000000.0,2590000000.0,2253000000.0,3547000000.0,2990000000.0,2097000000.0,2854000000.0,3965000000.0,-47000000.0,4591000000.0,3371000000.0,5671000000.0,1725000000.0,1714700000.0,3367100000.0,2821100000.0,2783800000.0,1789200000.0,538900000.0,-466700000.0,-1776900000.0,-236200000.0,227800000.0,943700000.0,1295900000.0,1499251000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-710000000.0,-1041000000.0,-995000000.0,-1031000000.0,-1450000000.0,-1555000000.0,-2753000000.0,-1737000000.0,-1405000000.0,-857000000.0,-917000000.0,-2529000000.0,-3997000000.0,-2297000000.0,-2210000000.0,-934600000.0,-477800000.0,-267000000.0,-446400000.0,-514400000.0,-502500000.0,-667200000.0,-708200000.0,-644000000.0,-702400000.0,-545500000.0,-257900000.0,-209092000.0
,acquisitionsNet,-58000000.0,-257000000.0,-37000000.0,-1139000000.0,-79000000.0,-157000000.0,-448000000.0,-53000000.0,-987000000.0,-548000000.0,0.0,0.0,0.0,-4029000000.0,-4029000000.0,0.0,57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-10721000000.0,-8661000000.0,-10785000000.0,-9232000000.0,-9827000000.0,-8737000000.0,-9448000000.0,-11375000000.0,-10545000000.0,-12532000000.0,-17394000000.0,-26078000000.0,-48931000000.0,-73396000000.0,0.0,-66320600000.0,-81855100000.0,-77935200000.0,-73377000000.0,-85961200000.0,-76437800000.0,-63485300000.0,-60108100000.0,-71214100000.0,-48767000000.0,-44614600000.0,-30754600000.0,-36135612000.0
,salesMaturitiesOfInvestments,10446000000.0,8782000000.0,10439000000.0,9079000000.0,8709000000.0,8662000000.0,10324000000.0,10243000000.0,9908000000.0,12285000000.0,18087000000.0,23598000000.0,49004000000.0,76371000000.0,0.0,61724300000.0,80387800000.0,74160400000.0,71327800000.0,85742500000.0,77369000000.0,65508900000.0,62496500000.0,71823900000.0,48573000000.0,44769300000.0,32264000000.0,30939175000.0
