Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Cash and cash equivalents,3497000.0,2000000.0,4550000.0,3000000.0,19294000.0,18000000.0,11153000.0,9000000.0,17294000.0,16000000.0,0.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,3497000.0,,4550000.0,,19294000.0,,11153000.0,,17294000.0,,0.0
Receivables,38174000.0,38000000.0,35172000.0,35000000.0,32554000.0,33000000.0,31172000.0,31000000.0,27822000.0,28000000.0,0.0
Inventories,6903000.0,,6759000.0,,7276000.0,,6731000.0,,7393000.0,,0.0
Total current assets,1981379000.0,,1944927000.0,,1816850000.0,,1613894000.0,,1405997000.0,,0.0
Property, Plant & Equipment Net,1811317000.0,,1772229000.0,,1640820000.0,,1434531000.0,,1227146000.0,,0.0
Goodwill and Intangible Assets,138384000.0,138000000,138384000.0,138000000,138384000.0,138000000,138384000.0,138000000,138384000.0,138000000,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current assets,947987000.0,,941673000.0,,730492000.0,,627930000.0,,611764000.0,,0.0
Total assets,2031030000.0,2031000000.0,1993868000.0,1994000000.0,1876700000.0,1877000000.0,1663510000.0,1664000000.0,1504614000.0,1505000000.0,0.0
Payables,19657000.0,,21230000.0,,37372000.0,,22943000.0,,25295000.0,,0.0
Short-term debt,121292000.0,,109305000.0,,145349000.0,,61423000.0,,238234000.0,,0.0
Total current liabilities,157177000.0,,151337000.0,,202297000.0,,101312000.0,,307396000.0,,0.0
Long-term debt,832455000.0,832000000.0,841215000.0,841000000.0,709488000.0,709000000.0,617305000.0,617000000.0,610522000.0,611000000.0,0.0
Total debt,953747000.0,832000000.0,950520000.0,841000000.0,854837000.0,709000000.0,678728000.0,617000000.0,848756000.0,611000000.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,1052000.0,,5633000.0,,4415000.0,,3312000.0,,2359000.0,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,947987000.0,,941673000.0,,730492000.0,,627930000.0,,611764000.0,,0.0
Total liabilities,1105164000.0,1105000000.0,1093010000.0,1093000000.0,932789000.0,933000000.0,729242000.0,729000000.0,919160000.0,919000000.0,0.0
Other comprehensive income,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Retained earnings (deficit),-32022000.0,-32000000.0,-49728000.0,-50000000.0,-18243000.0,-18000000.0,-24526000.0,-25000000.0,0.0,000000.0,-384720.0
Total shareholders equity,676701000.0,677000000.0,657067000.0,657000000.0,688040000.0,688000000.0,678123000.0,678000000.0,440387000.0,440000000.0,0.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,950250000.0,830000000,945970000.0,838000000,835543000.0,691000000,667575000.0,608000000,831462000.0,595000000,0.0
Other Assets,1077000.0,0,2460000.0,0,726000.0,0,560000.0,0,46108000.0,0,0.0
Other Liabilities,16228000.0,0,20802000.0,0,19576000.0,0,16946000.0,0,43867000.0,0,0.0
