date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,381600000.0,450000000.0,396000000.0,434600000.0,430500000.0,442600000.0,418700000.0,374900000.0,316400000.0,281400000.0,226600000.0,198000000.0,-1243100000.0,278700000.0,316900000.0,496500000.0,433600000.0,479200000.0,381600000.0,232300000.0,329900000.0,282900000.0,499500000.0,439700000.0,-59500000.0,22900000.0,11400000.0,-18500000.0,-14000000.0,2100000.0
,depreciationAndAmortization,198900000.0,180500000.0,166200000.0,158600000.0,143400000.0,127400000.0,106900000.0,95300000.0,87300000.0,83700000.0,76800000.0,77500000.0,90800000.0,96000000.0,86600000.0,88400000.0,89700000.0,77000000.0,74700000.0,154800000.0,133800000.0,123000000.0,1051600000.0,1003600000.0,540500000.0,21000000.0,4700000.0,6700000.0,5200000.0,2700000.0
,deferredIncomeTax,-38900000.0,45800000.0,14500000.0,-19000000.0,3700000.0,10000000.0,9500000.0,9900000.0,26800000.0,31100000.0,12800000.0,59200000.0,-267300000.0,10600000.0,0.0,0.0,0.0,0.0,26900000.0,-46100000.0,91300000.0,-127200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,30200000.0,31100000.0,25500000.0,20600000.0,25100000.0,24000000.0,26300000.0,21300000.0,18600000.0,18400000.0,15900000.0,13500000.0,21000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,675900000.0,85000000.0,64100000.0,276200000.0,-656700000.0,-574900000.0,39000000.0,-81200000.0,-54200000.0,-16100000.0,-157500000.0,288900000.0,-238300000.0,-18700000.0,-113000000.0,201800000.0,85700000.0,-467600000.0,74000000.0,-460500000.0,-101500000.0,-1729500000.0,302700000.0,2206400000.0,213900000.0,138800000.0,600000.0,-3000000.0,-3500000.0,-12000000.0
,accountsReceivables,70000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,703600000.0,296000000.0,-319500000.0,39300000.0,259100000.0,-548800000.0,-27300000.0,-400100000.0,-474700000.0,70100000.0,-448600000.0,350800000.0,392600000.0,-700000.0,268500000.0,-101400000.0,211300000.0,-390400000.0,-379500000.0,544700000.0,-37200000.0,-380800000.0,66500000.0,-205900000.0,-19200000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-531600000.0,-258200000.0,244100000.0,-63900000.0,-202200000.0,525700000.0,-19700000.0,400900000.0,439100000.0,38400000.0,364400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-13200000.0,-689100000.0,-774100000.0,-838200000.0,-1114400000.0,-457700000.0,117200000.0,78200000.0,159400000.0,213600000.0,229700000.0,387200000.0,98300000.0,336600000.0,355300000.0,468300000.0,266500000.0,180800000.0,648400000.0,574400000.0,1034900000.0,1136400000.0,2865900000.0,2563200000.0,356800000.0,142900000.0,4100000.0,3500000.0,6500000.0,10000000.0
,otherNonCashItems,-6300000.0,-1600000.0,6200000.0,-1700000.0,-5200000.0,6000000.0,3700000.0,-1100000.0,1600000.0,282100000.0,5800000.0,2100000.0,8300000.0,15300000.0,15200000.0,0.0,0.0,24300000.0,0.0,0.0,0.0,0.0,0.0,186000000.0,0.0,0.0,-3500000.0,100000.0,20300000.0,4200000.0
,netCashProvidedByOperatingActivites,1207600000.0,769200000.0,511000000.0,540100000.0,516000000.0,507200000.0,485100000.0,484100000.0,316600000.0,376400000.0,251800000.0,369500000.0,685400000.0,206900000.0,299100000.0,579900000.0,420700000.0,263900000.0,534100000.0,540100000.0,54500000.0,-642600000.0,-71700000.0,-596700000.0,489000000.0,24500000.0,10800000.0,9700000.0,-600000.0,-3000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-156000000.0,-269300000.0,-400800000.0,-313400000.0,-249500000.0,-257800000.0,-209600000.0,-202700000.0,-177400000.0,-149100000.0,-161800000.0,-75500000.0,-117400000.0,-160200000.0,-176100000.0,-131500000.0,-133200000.0,-123500000.0,-163400000.0,-163600000.0,-148200000.0,-1121400000.0,-1659300000.0,-653100000.0,-203400000.0,-48900000.0,-5500000.0,-7300000.0,-13000000.0,-7500000.0
,acquisitionsNet,9000000.0,111000000.0,106000000.0,28000000.0,-260000000.0,-278000000.0,-164000000.0,-78000000.0,-135000000.0,-59000000.0,-60000000.0,66000000.0,17000000.0,48000000.0,-143000000.0,39000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-50000000.0,0.0,-50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2000000.0,-13700000.0,-6500000.0,-23900000.0,-17800000.0,-26900000.0,-61300000.0,-174900000.0,-900000.0,-88600000.0,-195500000.0,-300000000.0,0.0,0.0,0.0,0.0,-7600000.0,0.0
,salesMaturitiesOfInvestments,105400000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,400000.0,0.0,1300000.0,5100000.0,13000000.0,22800000.0,13400000.0,13400000.0,22600000.0,79400000.0,221200000.0,20400000.0,91600000.0,116800000.0,94100000.0,402300000.0,0.0,0.0,0.0,0.0,9600000.0,0.0
,otherInvestingActivites,18300000.0,41600000.0,21500000.0,36300000.0,11100000.0,4100000.0,-8600000.0,19600000.0,13400000.0,-900000.0,15200000.0,7400000.0,9100000.0,7300000.0,-4000000.0,108800000.0,-7700000.0,124300000.0,-53600000.0,268300000.0,259700000.0,1984000000.0,1186700000.0,554500000.0,-1050600000.0,-22900000.0,-4000000.0,-6000000.0,-4800000.0,-4500000.0
