date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-667000000.0,4131000000.0,1311000000.0,-574000000.0,-7829000000.0,616000000.0,5903000000.0,4598000000.0,6771000000.0,4530000000.0,2915000000.0,6857000000.0,5400000000.0,4182000000.0,5281000000.0,2568000000.0,1527000000.0,989000000.0,1154000000.0,1570000000.0,448000000.0,363000000.0,-390100000.0,668000000.0,511000000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2379000000.0,2042000000.0,1485000000.0,1322000000.0,1183000000.0,1019000000.0,976000000.0,908000000.0,817000000.0,857000000.0,833000000.0,928000000.0,953000000.0
,deferredIncomeTax,-1027000000.0,371000000.0,-719000000.0,-517000000.0,-1372000000.0,-1178000000.0,1187000000.0,1128000000.0,1436000000.0,406000000.0,507000000.0,268000000.0,35000000.0,85000000.0,-75000000.0,170000000.0,61000000.0,-141000000.0,-181000000.0,413000000.0,183000000.0,275000000.0,-9000000.0,3000000.0,18000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1071000000.0,-521000000.0,-361000000.0,-389000000.0,-880000000.0,792000000.0,261000000.0,-751000000.0,340000000.0,505000000.0,-1177000000.0,-104000000.0,-652000000.0,-783000000.0,-162000000.0,-424000000.0,38000000.0,-341000000.0,48000000.0,108000000.0,-71000000.0,-472000000.0,-273000000.0,12000000.0,-176000000.0
,accountsReceivables,0.0,-740000000.0,-158000000.0,-1091000000.0,1431000000.0,1413000000.0,-755000000.0,472000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,77000000.0,-108000000.0,-349000000.0,17000000.0,-24000000.0,-112000000.0,87000000.0,-265000000.0,-50000000.0,-42000000.0,-107000000.0,-64000000.0,-71000000.0,-77000000.0,-127000000.0,-94000000.0,-3000000.0,-73000000.0,37000000.0,-39000000.0,27000000.0,-43000000.0,-20000000.0,0.0,-68000000.0
,accountsPayables,793000000.0,195000000.0,43000000.0,603000000.0,-1989000000.0,-544000000.0,500000000.0,-1086000000.0,0.0,0.0,-403000000.0,-1342000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1071000000.0,-521000000.0,-361000000.0,-389000000.0,-880000000.0,0.0,369000000.0,0.0,0.0,0.0,12000000.0,0.0,0.0,-234000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-195000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,1029000000.0,167000000.0,953000000.0,-307000000.0,-481000000.0,214000000.0,823000000.0,104000000.0,187000000.0,573000000.0,456000000.0,912000000.0,950000000.0,1127000000.0,-250000000.0,-168000000.0,140000000.0,-9000000.0,-151000000.0,170000000.0,275000000.0,-509000000.0,81000000.0,320000000.0,246000000.0
,netCashProvidedByOperatingActivites,7375000000.0,7669000000.0,4996000000.0,3383000000.0,3351000000.0,11068000000.0,12927000000.0,11312000000.0,12281000000.0,9349000000.0,5813000000.0,10652000000.0,6798000000.0,6353000000.0,5337000000.0,3878000000.0,3074000000.0,2100000000.0,2652000000.0,2401000000.0,1044000000.0,80000000.0,1397000000.0,1987000000.0,1501000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6637000000.0,-4920000000.0,-3477000000.0,-2831000000.0,-5864000000.0,-8388000000.0,-9037000000.0,-10226000000.0,-7518000000.0,-3940000000.0,-5363000000.0,-9365000000.0,-4878000000.0,-3005000000.0,-2423000000.0,-1843000000.0,-1601000000.0,-1236000000.0,-1401000000.0,-952000000.0,-745000000.0,-4602000000.0,-1571000000.0,-1203000000.0,-979000000.0
,acquisitionsNet,-28088000000.0,-928000000.0,-1064000000.0,-2044000000.0,-109000000.0,-1687000000.0,-606000000.0,-2084000000.0,-4909000000.0,-4924000000.0,-1782000000.0,-4674000000.0,-1013000000.0,-1643000000.0,-1941000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000000.0,-170000000.0,-155000000.0,-251000000.0,-185000000.0,-245000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181000000.0,0.0,51000000.0,1407000000.0,441000000.0,1388000000.0,0.0,0.0,0.0,0.0,0.0,0.0,55000000.0,46000000.0,0.0,0.0
,otherInvestingActivites,-22236000000.0,-1110000000.0,-1140000000.0,-2213000000.0,-378000000.0,-2033000000.0,-775000000.0,-2429000000.0,-46000000.0,-4924000000.0,0.0,0.0,0.0,-5000000.0,0.0,0.0,-139000000.0,-5000000.0,-141000000.0,82000000.0,2284000000.0,-47000000.0,-100000000.0,-40000000.0,-89000000.0
,netCashUsedForInvestingActivites,-28873000000.0,-3206000000.0,-3214000000.0,-4742000000.0,-5423000000.0,-6244000000.0,-8193000000.0,-12655000000.0,-12473000000.0,-8663000000.0,-5327000000.0,-9457000000.0,-3117000000.0,-4378000000.0,-3161000000.0,-2287000000.0,-2021000000.0,-1692000000.0,-736000000.0,-3097000000.0,1591000000.0,-1216000000.0,-1505000000.0,-979000000.0,-136000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
