date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-01-26_FY,2007-01-27_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-01-25_FY,2002-01-26_FY,2001-01-27_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-01-25_FY,1996-01-27_FY,1995-01-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,90470000.0,3272193000.0,3059798000.0,2607948000.0,2298234000.0,2277658000.0,2215128000.0,2137000000.0,1907000000.0,1496000000.0,1343000000.0,1214000000.0,880617000.0,772000000.0,738000000.0,690000000.0,664000000.0,658365000.0,578000000.0,500000000.0,538000000.0,522000000.0,424000000.0,304800000.0,363000000.0,26000000.0,83000000.0
,depreciationAndAmortization,870758000.0,867303000.0,819655000.0,725957000.0,658796000.0,616696000.0,588975000.0,548800000.0,508900000.0,485700000.0,458100000.0,435200000.0,452936000.0,369400000.0,353100000.0,314300000.0,279100000.0,248593000.0,207900000.0,204100000.0,175800000.0,160400000.0,136500000.0,124900000.0,126800000.0,85900000.0,76500000.0
,deferredIncomeTax,-230690000.0,-6233000.0,-88594000.0,-137440000.0,-5503000.0,31204000.0,102070000.0,52200000.0,13300000.0,144800000.0,50600000.0,53200000.0,132480000.0,-101800000.0,6300000.0,-88200000.0,41200000.0,84363000.0,72100000.0,35200000.0,-24200000.0,2800000.0,-20000000.0,-3800000.0,-5300000.0,-14100000.0,-400000.0
,stockBasedCompensation,58519000.0,124957000.0,103557000.0,101362000.0,102251000.0,94107000.0,88014000.0,76080000.0,64416000.0,64175000.0,58804000.0,55145000.0,0.0,57370000.0,69804000.0,91190000.0,9379000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,3195294000.0,-1197473000.0,-422342000.0,367072000.0,622788000.0,-415097000.0,235427000.0,599000000.0,-119000000.0,103000000.0,58000000.0,1050762000.0,-372762000.0,-135000000.0,478000000.0,187000000.0,-60228000.0,86228000.0,-126000000.0,308000000.0,158000000.0,-101000000.0,-28900000.0,-15100000.0,71000000.0,121000000.0,-2000000.0
,accountsReceivables,-71091000.0,-42998000.0,-23532000.0,-62358000.0,-23235000.0,-27357000.0,-9052000.0,11979000.0,-18418000.0,-4410000.0,-23587000.0,-1862000.0,0.0,-25516000.0,26397000.0,-20997000.0,-27731000.0,0.0,-7000000.0,-7000000.0,-7000000.0,12000000.0,-6000000.0,0.0,41000000.0,-55000000.0,-12000000.0
,inventory,588756000.0,-296541000.0,-465429000.0,-450377000.0,11862000.0,-506633000.0,-332271000.0,35233000.0,27186000.0,-187157000.0,-211823000.0,147805000.0,-68489000.0,-112411000.0,-201413000.0,-8772000.0,-390655000.0,-310673000.0,-106000000.0,-4000000.0,-223000000.0,-44000000.0,4000000.0,-130700000.0,284000000.0,-406000000.0,-166000000.0
,accountsPayables,2111189000.0,29338000.0,198212000.0,205111000.0,48253000.0,216265000.0,285223000.0,-29590000.0,211689000.0,-36553000.0,163823000.0,197496000.0,0.0,117304000.0,50165000.0,35010000.0,305344000.0,0.0,-56000000.0,-116000000.0,-30000000.0,1000000.0,-34000000.0,0.0,-60000000.0,-35000000.0,-98000000.0
,otherWorkingCapital,4935669000.0,1740375000.0,2937848000.0,3360190000.0,2993118000.0,2370330000.0,2785427000.0,2550000000.0,1951000000.0,2070000000.0,1967000000.0,1909000000.0,858238000.0,1231000000.0,1366000000.0,888000000.0,701000000.0,761228000.0,675000000.0,801000000.0,493000000.0,335000000.0,436000000.0,464900000.0,480000000.0,409000000.0,288000000.0
,otherNonCashItems,0.0,141011000.0,157332000.0,209483000.0,119405000.0,32810000.0,-12403000.0,1400000.0,13800000.0,31600000.0,126800000.0,47900000.0,15465000.0,76600000.0,80600000.0,101800000.0,18000000.0,-5083000.0,20500000.0,77500000.0,20500000.0,-18000000.0,8800000.0,100000.0,-124600000.0,40500000.0,7100000.0
,netCashProvidedByOperatingActivites,4561889000.0,4066540000.0,4088459000.0,3025624000.0,3626859000.0,2956915000.0,3008369000.0,2590300000.0,3045600000.0,1916000000.0,1976500000.0,2271900000.0,1154572000.0,1361100000.0,1195000000.0,1158000000.0,1079800000.0,770500000.0,908600000.0,912400000.0,556800000.0,578000000.0,642800000.0,440000000.0,664500000.0,233600000.0,104500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-1223116000.0,-1125139000.0,-1057617000.0,-1024747000.0,-889380000.0,-911522000.0,-946678000.0,-978228000.0,-803330000.0,-707100000.0,-429300000.0,-582932000.0,-527000000.0,-378000000.0,-495900000.0,-429100000.0,-409037000.0,-396700000.0,-449400000.0,-257000000.0,-238600000.0,-207700000.0,-225600000.0,-119200000.0,-111800000.0,-127800000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-2324000.0,-57104000.0,0.0,2653000.0,-190374000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-29100000.0,-1580830000.0,-2568622000.0,-1644581000.0,-1699998000.0,-1828297000.0,-431152000.0,-1471096000.0,-1345082000.0,-1320812000.0,-119530000.0,-278692000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,18524000.0,12720000.0,636560000.0,906137000.0,529146000.0,681377000.0,388037000.0,386530000.0,213000000.0,132679000.0,180116000.0,153275000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,1341975000.0,3070209000.0,1802548000.0,1521463000.0,1614991000.0,0.0,1306384000.0,1236836000.0,1313101000.0,0.0,0.0,14345000.0,0.0,0.0,0.0,0.0,606000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
