date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1481814000.0,1572959000.0,1649361000.0,1652325000.0,1209932000.0,869439000.0,636183000.0,342921000.0,-39720000.0,-153414000.0,27119000.0,-43001000.0,-49310000.0,314260000.0,224072000.0,257807000.0,125471000.0,134019000.0,124237000.0,137953000.0,121782000.0,176103000.0,112593000.0
,depreciationAndAmortization,1561969000.0,1139879000.0,947214000.0,879140000.0,930985000.0,880373000.0,642461000.0,664007000.0,767459000.0,603884000.0,180331000.0,169363000.0,158596000.0,163726000.0,179977000.0,180304000.0,160026000.0,133514000.0,134663000.0,111414000.0,96258000.0,67505000.0,57464000.0
,deferredIncomeTax,744000.0,12221000.0,1448000.0,-5005000.0,-5525000.0,-5057000.0,-87240000.0,-20067000.0,-21967000.0,-19803000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,109831000.0,97557000.0,76093000.0,76640000.0,60341000.0,53665000.0,57478000.0,49239000.0,32138000.0,28920000.0,23941000.0,23049000.0,21467000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-18844000.0,721958000.0,389290000.0,-804472000.0,450196000.0,387911000.0,512346000.0,598205000.0,-857616000.0,-357658000.0,12072000.0,-48711000.0,939408000.0,12701000.0,271198000.0,168143000.0,-60580000.0,-270539000.0,-180326000.0,92865000.0,-300000000.0,-92000000.0,11034000.0
,accountsReceivables,-127619000.0,-108165000.0,-72955000.0,37278000.0,-106337000.0,-64749000.0,-93000.0,-12912000.0,-178387000.0,-40095000.0,-18328000.0,17311000.0,27776000.0,-82288000.0,3276000.0,-42379000.0,-1154000.0,-14603000.0,-8269000.0,19753000.0,-34142000.0,5199000.0,-9377000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27042000.0,-24091000.0,-7789000.0,27103000.0,16969000.0,15073000.0,944000.0,7516000.0,6862000.0,-6625000.0,57671000.0,-14934000.0,20411000.0
,otherWorkingCapital,0.0,1154391000.0,432433000.0,43143000.0,847615000.0,397419000.0,9508000.0,-502838000.0,-1101043000.0,-243427000.0,114231000.0,102159000.0,150870000.0,-788538000.0,-801239000.0,-1072437000.0,-1240580000.0,-1180000000.0,-909461000.0,-729135000.0,-822000000.0,-522000000.0,-430000000.0
,otherNonCashItems,-118469000.0,-81420000.0,-54285000.0,-80270000.0,-108745000.0,-91460000.0,-21716000.0,-36721000.0,-23701000.0,-39094000.0,0.0,0.0,41636000.0,-178119000.0,-31060000.0,-24805000.0,39199000.0,48637000.0,31308000.0,26682000.0,19606000.0,-37424000.0,-3911000.0
,netCashProvidedByOperatingActivites,2937005000.0,2264034000.0,1803559000.0,1687246000.0,1417005000.0,963410000.0,704531000.0,484989000.0,463492000.0,207064000.0,252760000.0,242276000.0,301020000.0,240543000.0,335855000.0,295815000.0,294378000.0,271536000.0,288801000.0,288562000.0,261175000.0,190391000.0,177180000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1025794000.0,-272919000.0,-402349000.0,-1216373000.0,-1357900000.0,-1485881000.0,-1086648000.0,-996202000.0,-761139000.0,-563091000.0,-624701000.0,-798979000.0,-579823000.0,-564304000.0
,acquisitionsNet,-1695000000.0,0.0,-46000000.0,-375000000.0,0.0,-4809000000.0,0.0,0.0,-365000000.0,-791000000.0,0.0,0.0,226000000.0,767000000.0,164000000.0,665000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-9034000.0,-30424000.0,-11703000.0,-5058000.0,0.0,-981000.0,0.0,0.0,0.0,-92755000.0,-413451000.0,-16415000.0,-52267000.0,-54334000.0,-18969000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,2352000.0,23640000.0,29425000.0,7541000.0,79767000.0,129149000.0,0.0,0.0,0.0,170158000.0,106749000.0,482515000.0,421647000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,4312000.0,0.0,34260000.0,32100000.0,202950000.0,9866000.0,188000000.0,0.0,55000000.0,152127000.0,-7007000.0,7145000.0,42403000.0,-44634000.0,7947000.0,-64469000.0,64224000.0,-11963000.0,362422000.0,19044000.0,-12865000.0,-94693000.0,-164533000.0
,netCashUsedForInvestingActivites,-3074330000.0,-685350000.0,-663796000.0,543278000.0,1252038000.0,-4648613000.0,-488309000.0,2333922000.0,529615000.0,-233065000.0,-586628000.0,75129000.0,-881768000.0,-632240000.0,-880560000.0,-60407000.0,-728431000.0,-348003000.0,-318471000.0,-363152000.0,-726499000.0,63732000.0,-796213000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6793265000.0,-3301827000.0,-4166088000.0,-3578889000.0,-2301647000.0,-3164264000.0,-4923175000.0,-6105508000.0,-1850699000.0,-1907273000.0,-1516296000.0,-2245692000.0,-2454721000.0,-1912253000.0,-1444045000.0,-1025151000.0,-846210000.0,-641810000.0,-438368000.0,-504366000.0,-80000000.0,-595463000.0,-79380000.0
