date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,27978000000.0,27662000000.0,34312000000.0,33828000000.0,35481000000.0,39830000000.0,41848000000.0,39336000000.0,37990000000.0,31589000000.0,31795000000.0,34912000000.0,29183000000.0,24412000000.0,22442000000.0,20721000000.0,18795000000.0,18295000000.0,23726000000.0,22967000000.0,24356000000.0
,costOfRevenue,19072000000.0,19118000000.0,24046000000.0,24081000000.0,25347000000.0,28615000000.0,29856000000.0,27958000000.0,26556000000.0,22060000000.0,22470000000.0,23972000000.0,20215000000.0,17541000000.0,16830000000.0,15757000000.0,14080000000.0,13769000000.0,18708000000.0,17222000000.0,18457000000.0
,grossProfit,8906000000.0,8544000000.0,10266000000.0,9747000000.0,10134000000.0,11215000000.0,11992000000.0,11378000000.0,11434000000.0,9529000000.0,9325000000.0,10940000000.0,8968000000.0,6871000000.0,5612000000.0,4964000000.0,4715000000.0,4526000000.0,5018000000.0,5745000000.0,5899000000.0
,grossProfitRatio,0.318321538351562,0.308871375894729,0.299195616693868,0.288134090102873,0.28561765451932,0.281571679638463,0.28656088701969,0.289251576164328,0.300973940510661,0.301655639621387,0.29328510772134,0.313359303391384,0.307302196484255,0.28145993773554,0.250066838962659,0.239563727619323,0.250864591646715,0.247389997267013,0.211497934755121,0.250141507380154,0.242199047462638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1198000000.0,1147000000.0,1365000000.0,1300000000.0,1406000000.0,1499000000.0,1470000000.0,1464000000.0,1371000000.0,1082000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,2064000000.0,2067000000.0,2022000000.0,1869000000.0,1845000000.0,2013000000.0,2023000000.0,1894000000.0,5373000000.0,4615000000.0,5528000000.0,5822000000.0,4975000000.0,4434000000.0,3922000000.0,3786000000.0,3830000000.0,4033000000.0,4397000000.0,4417000000.0,4682000000.0
,SellingAndMarketingExpenses,3383000000.0,3228000000.0,3585000000.0,3480000000.0,3729000000.0,4054000000.0,4071000000.0,3862000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,72000000.0,83000000.0,140000000.0,-38000000.0,0.0,529000000.0,-41000000.0,-100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
