date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,532000000.0,256200000.0,718700000.0,436600000.0,364700000.0,281000000.0,337200000.0,278100000.0,199400000.0,232900000.0,261000000.0,258500000.0,215500000.0,204300000.0,176200000.0,187500000.0,111600000.0,100100000.0,75500000.0,56500000.0,44700000.0,55700000.0,40300000.0,52100000.0,39500000.0
,depreciationAndAmortization,484000000.0,448100000.0,455100000.0,416300000.0,400900000.0,374100000.0,362900000.0,363100000.0,316000000.0,227900000.0,210200000.0,200900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,146000000.0,-42700000.0,-68800000.0,110100000.0,77400000.0,13700000.0,66700000.0,48700000.0,82900000.0,82700000.0,62600000.0,26800000.0,-900000.0,27100000.0,7400000.0,12100000.0,3000000.0,-2800000.0,11000000.0,-5500000.0,3200000.0,7700000.0,10100000.0,-2200000.0,12000000.0
,stockBasedCompensation,15000000.0,18100000.0,22500000.0,19300000.0,23800000.0,29200000.0,25800000.0,17600000.0,14500000.0,15600000.0,13200000.0,11400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,248700000.0,-616700000.0,148600000.0,25600000.0,200900000.0,-451200000.0,29700000.0,184900000.0,-210700000.0,682800000.0,-542400000.0,-66600000.0,38300000.0,102100000.0,4800000.0,95500000.0,-103400000.0,73500000.0,52200000.0,4700000.0,-1900000.0,-140200000.0,29400000.0,-13000000.0,-27100000.0
,accountsReceivables,-18000000.0,83300000.0,-147600000.0,-103600000.0,37300000.0,163300000.0,18100000.0,-110800000.0,65500000.0,-66000000.0,-94600000.0,79500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-5000000.0,84100000.0,-37400000.0,-64700000.0,29400000.0,181400000.0,-65100000.0,4600000.0,89200000.0,-27900000.0,15800000.0,67000000.0,-42300000.0,-9100000.0,-31900000.0,-29400000.0,-39400000.0,-25300000.0,19700000.0,-4200000.0,-26100000.0,-5000000.0,39000000.0,-3600000.0,-10200000.0
,accountsPayables,3000000.0,-97200000.0,65100000.0,49900000.0,-40000000.0,-134900000.0,3700000.0,38700000.0,-78700000.0,19200000.0,47100000.0,-146100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-212000000.0,-460700000.0,156000000.0,7400000.0,-18200000.0,-219100000.0,232100000.0,202400000.0,17500000.0,228200000.0,-454600000.0,87800000.0,154400000.0,116100000.0,14000000.0,9200000.0,-86300000.0,17100000.0,-56400000.0,-108600000.0,-113300000.0,-111400000.0,28800000.0,-600000.0,12400000.0
,otherNonCashItems,16000000.0,-32400000.0,10700000.0,44100000.0,-43300000.0,-9700000.0,-38200000.0,-41400000.0,-10700000.0,-7100000.0,34800000.0,154000000.0,45100000.0,57300000.0,-5200000.0,0.0,9400000.0,0.0,0.0,0.0,0.0,89600000.0,87800000.0,86100000.0,86000000.0
,netCashProvidedByOperatingActivites,1102000000.0,1078100000.0,1085300000.0,964400000.0,969700000.0,1163800000.0,1005400000.0,801500000.0,707700000.0,554700000.0,598800000.0,665000000.0,464400000.0,456200000.0,279400000.0,437700000.0,257800000.0,249100000.0,247500000.0,203500000.0,132700000.0,141900000.0,178500000.0,172000000.0,111200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-655000000.0,-704600000.0,-574400000.0,-638900000.0,-563800000.0,-490600000.0,-456800000.0,-486000000.0,-339400000.0,-360700000.0,-347300000.0,-301700000.0,-232100000.0,-223100000.0,-191700000.0,-158400000.0,-133700000.0,-100900000.0,-94700000.0,-78000000.0,-71000000.0,-70200000.0,-69200000.0,-68800000.0,-62700000.0
,acquisitionsNet,-16000000.0,-1362000000.0,-187000000.0,-101000000.0,-61000000.0,-448000000.0,-37000000.0,-79000000.0,-1581000000.0,-53000000.0,-16000000.0,-280000000.0,-1000000.0,-6000000.0,-577000000.0,-33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27800000.0,0.0,0.0,0.0,59300000.0,-20000000.0,0.0,-50400000.0,0.0,0.0,0.0,0.0,-16400000.0,-42300000.0,-12100000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,4200000.0,7300000.0,66700000.0,0.0,0.0,0.0
,otherInvestingActivites,22000000.0,11500000.0,13700000.0,-22900000.0,66400000.0,-38200000.0,6300000.0,11600000.0,15400000.0,-2200000.0,-7800000.0,62000000.0,-68000000.0,1600000.0,-6800000.0,3600000.0,18000000.0,-42100000.0,19300000.0,-34600000.0,-900000.0,-10300000.0,-4300000.0,-2200000.0,3900000.0
,netCashUsedForInvestingActivites,-649000000.0,-2055300000.0,-747900000.0,-763400000.0,-558600000.0,-976300000.0,-487600000.0,-553300000.0,-1904500000.0,-415400000.0,-399300000.0,-519900000.0,-289500000.0,-223800000.0,-707500000.0,-191400000.0,-412800000.0,-226100000.0,-66400000.0,-313300000.0,-121500000.0,-86500000.0,-90100000.0,-110500000.0,-98900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
