Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,66200000.0,56059703.7485,3929733.6213
Short-term investments,36555571.6353,1058041.1125,0.0
Cash and short-term investments,102755571.6353,57117744.861,3929733.6213
Receivables,187428219.9711,295952992.7449,68782721.3823
Inventories,0.0,0.0,0.0
Total current assets,320592764.11,336486094.3168,75254571.6343
Property Plant & Equipment Net,1129667.1491,1004685.6106,695896.3283
Goodwill and Intangible Assets,4501157.7424,4971584.0387,4966882.6494
Long-term investments,8399131.6932,973246.6747,0.0
Tax assets,5340231.5485,0.0,0.0
Total non-current assets,22102749.6382,33948760.5804,5662778.9777
Total assets,342695513.7482,370434854.8972,80917350.612
Payables,5622286.5412,6505894.8005,994096.4723
Short-term debt,132488277.8582,221154322.8537,55044060.4752
Total current liabilities,185311722.1418,305821946.7956,82242764.5788
Long-term debt,3111143.2706,70999546.5538,0.0
Total debt,135599421.1288,292153869.4075,55044060.4752
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,8260636.7583,3383615.4776,276025.9179
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,4377134.5876,74013603.3857,0.0
Total liabilities,189688856.7294,379835550.1814,82242764.5788
Other comprehensive income,4488277.8582,0.0,0.0
Retained earnings (deficit),-126294934.877,0.0,-1325000.0
Total shareholders equity,153006657.0188,-9400695.2842,-1325413.9669
Investments,44954703.3285,2031287.7872,0.0
Net Debt,,,
Other Assets,31854208.3936,-10949737.6059,
Other Liabilities,47201157.7424,78161729.1414,26204607.6313
