date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,98500000.0,-93200000.0,-11000000.0,-34400000.0,-495900000.0,151100000.0,117400000.0,211200000.0,-651400000.0,-122600000.0,221700000.0,-27300000.0,-189900000.0,-48900000.0,400600000.0,137100000.0,178300000.0,176509000.0,142237000.0,24988000.0,266900000.0,308300000.0,294600000.0,130600000.0,-157600000.0,298800000.0,268600000.0,109400000.0,234700000.0,204900000.0,225800000.0,221900000.0
,depreciationAndAmortization,150300000.0,169200000.0,181400000.0,191400000.0,363200000.0,454000000.0,474000000.0,435800000.0,481600000.0,549900000.0,539200000.0,579000000.0,640600000.0,598300000.0,463300000.0,425000000.0,385500000.0,329359000.0,352372000.0,378723000.0,390402000.0,374400000.0,367800000.0,370500000.0,389100000.0,398200000.0,313500000.0,274800000.0,258200000.0,242000000.0,194900000.0,167100000.0
,deferredIncomeTax,-18300000.0,20600000.0,-2100000.0,18400000.0,-61200000.0,-34800000.0,-90000000.0,-59700000.0,-78400000.0,-123000000.0,-34600000.0,-54100000.0,-103700000.0,-89200000.0,34800000.0,-13000000.0,29800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61900000.0,19700000.0,9700000.0,18800000.0,-2600000.0,34800000.0,0.0
,stockBasedCompensation,8100000.0,10900000.0,8600000.0,8400000.0,12900000.0,17300000.0,17700000.0,19900000.0,25400000.0,28300000.0,28600000.0,24000000.0,21900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,39900000.0,-122300000.0,-115100000.0,-301900000.0,201400000.0,-241600000.0,-326900000.0,409400000.0,78900000.0,-349300000.0,272700000.0,127000000.0,38100000.0,-149100000.0,97600000.0,-305700000.0,997372000.0,204219000.0,-44195000.0,-59984000.0,-10512000.0,-220300000.0,-87300000.0,-271400000.0,-172200000.0,226200000.0,126900000.0,14600000.0,-53900000.0,-54100000.0,178900000.0,-19000000.0
,accountsReceivables,16100000.0,72200000.0,48000000.0,-57300000.0,-226600000.0,-17600000.0,-49600000.0,13400000.0,-5700000.0,38300000.0,-152100000.0,244000000.0,164700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,5800000.0,15200000.0,15000000.0,-20100000.0,-37900000.0,16000000.0,-14100000.0,5300000.0,6500000.0,43100000.0,31000000.0,145500000.0,-6600000.0,-10100000.0,-15700000.0,-17800000.0,-34000000.0,-4143000.0,6383000.0,59138000.0,3761000.0,-1800000.0,18800000.0,-3500000.0,79000000.0,-41800000.0,-53200000.0,-32200000.0,-32600000.0,-1200000.0,700000.0,0.0
,accountsPayables,3500000.0,-96400000.0,-68700000.0,71200000.0,-19400000.0,61000000.0,81400000.0,-66000000.0,120800000.0,135400000.0,17700000.0,94900000.0,-168000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,466400000.0,426500000.0,548800000.0,663900000.0,965800000.0,764400000.0,1006000000.0,1332900000.0,923500000.0,844600000.0,1193900000.0,921200000.0,794200000.0,756100000.0,905200000.0,807600000.0,1113300000.0,115928000.0,-88291000.0,-44096000.0,15888000.0,26400000.0,246700000.0,334000000.0,605400000.0,777600000.0,551400000.0,424500000.0,409900000.0,463800000.0,517900000.0,339000000.0
,otherNonCashItems,11400000.0,4500000.0,-8700000.0,3300000.0,-3500000.0,-3500000.0,2100000.0,-34700000.0,-107000000.0,-80500000.0,27700000.0,58900000.0,56000000.0,808400000.0,177200000.0,0.0,0.0,-14966000.0,7109000.0,8315000.0,0.0,19700000.0,25900000.0,-6000000.0,-27400000.0,-15800000.0,-38600000.0,3400000.0,700000.0,4100000.0,-5700000.0,-3900000.0
,netCashProvidedByOperatingActivites,149800000.0,139300000.0,203500000.0,217900000.0,125200000.0,652000000.0,722700000.0,694800000.0,691900000.0,946300000.0,752500000.0,1425800000.0,1015900000.0,1176100000.0,903500000.0,947500000.0,822200000.0,354185000.0,408919000.0,548394000.0,740585000.0,675800000.0,732800000.0,760900000.0,646700000.0,387200000.0,187500000.0,452600000.0,452000000.0,418900000.0,287400000.0,366100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-482000000.0,-374300000.0,-471000000.0,-265200000.0,-202916000.0,-241597000.0,-273340000.0,-237107000.0,-275800000.0,-225200000.0,-360200000.0,-402600000.0,-455700000.0,-425200000.0,-306500000.0,-228000000.0,-288400000.0,-258600000.0,-238600000.0
,acquisitionsNet,248000000.0,48000000.0,44000000.0,0.0,-34000000.0,-118000000.0,-382000000.0,-12000000.0,-127000000.0,-142000000.0,-440000000.0,-27000000.0,-122000000.0,-2052000000.0,-244000000.0,-1175000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2500000.0,-7000000.0,-31700000.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600000.0,-3600000.0,-26600000.0
,salesMaturitiesOfInvestments,43000000.0,65400000.0,54500000.0,140400000.0,3800000.0,27100000.0,42700000.0,13000000.0,50700000.0,27200000.0,26100000.0,2200000.0,53200000.0,8300000.0,10200000.0,0.0,0.0,0.0,0.0,0.0,0.0,135700000.0,274100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17600000.0,38500000.0
