date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,178831000.0,105095000.0,140680000.0,29400000.0,38387000.0,33104000.0,-3012000.0,7220000.0,35222000.0,-8530000.0
,depreciationAndAmortization,4708000.0,4965000.0,4625000.0,3544000.0,3183000.0,2635000.0,2268000.0,2296000.0,2507000.0,2085000.0
,deferredIncomeTax,38997000.0,3665000.0,6538000.0,191697000.0,-1014000.0,796000.0,-753000.0,261000.0,-284000.0,1564000.0
,stockBasedCompensation,133623000.0,124212000.0,123037000.0,96295000.0,77050000.0,46131000.0,119756000.0,48539000.0,42044000.0,24371000.0
,changeInWorkingCapital,4688000.0,-54467000.0,-133253000.0,-80253000.0,-7224000.0,71216000.0,-54745000.0,-94129000.0,108971000.0,-37651000.0
,accountsReceivables,-46698000.0,7057000.0,963000.0,-35607000.0,5536000.0,-7993000.0,4604000.0,5805000.0,-25696000.0,2730000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,21461000.0,-2569000.0,1691000.0,3611000.0,-6219000.0,1751000.0,11103000.0,238000.0,2135000.0,1831000.0
,otherWorkingCapital,-248168000.0,-252856000.0,-198389000.0,-65136000.0,15117000.0,22341000.0,-48875000.0,5870000.0,99999000.0,-8972000.0
,otherNonCashItems,-2488000.0,-7333000.0,3284000.0,-127756000.0,2204000.0,540000.0,3235000.0,3583000.0,2264000.0,1046000.0
,netCashProvidedByOperatingActivites,429215000.0,209307000.0,390889000.0,233183000.0,231456000.0,142302000.0,208911000.0,117657000.0,110735000.0,-19904000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-40659000.0,-6467000.0,-6920000.0,-5647000.0,-2870000.0,-3996000.0,-3888000.0,-1623000.0,-3682000.0,-2517000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-390586000.0,-212415000.0,-183972000.0,-179807000.0,-120906000.0,-157981000.0,-130994000.0,-145230000.0,-177144000.0,-29922000.0
,salesMaturitiesOfInvestments,391494000.0,120102000.0,199810000.0,115640000.0,126011000.0,160255000.0,157235000.0,218142000.0,68060000.0,1270000.0
,otherInvestingActivites,-200000.0,0.0,366000.0,387000.0,-799000.0,-18000.0,631000.0,379000.0,-356000.0,72000.0
,netCashUsedForInvestingActivites,-39951000.0,-51873000.0,9284000.0,-69427000.0,1436000.0,-1740000.0,18539000.0,71668000.0,-113122000.0,-31224000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,164182000.0,0.0,0.0,0.0
,commonStockRepurchased,-44334000.0,-51175000.0,-33766000.0,-229000.0,-3314000.0,-7706000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-282920000.0,-209178000.0,-313827000.0,-255694000.0,-154703000.0,-80909000.0,-410679000.0,-75519000.0,0.0,-30644000.0
,otherFinancingActivites,-36459000.0,-13798000.0,-10994000.0,-22644000.0,118000.0,-1125000.0,-82658000.0,2016000.0,67284000.0,-21783000.0
,netCashUsedProvidedByFinancingActivities,-351790000.0,-252692000.0,-351741000.0,-272512000.0,-157899000.0,-89740000.0,-329155000.0,-73503000.0,67284000.0,-52427000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-2762000.0,2059000.0,-555000.0,3021000.0,-4089000.0,-744000.0,-3375000.0,1579000.0,494000.0,293000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,34712000.0,-93199000.0,47877000.0,-105735000.0,70904000.0,50078000.0,-105080000.0,117401000.0,65391000.0,-103262000.0
,cashAtEndOfPeriod,203284000.0,168572000.0,261771000.0,213191000.0,318926000.0,248022000.0,197944000.0,303024000.0,185623000.0,120232000.0
,cashAtBeginningOfPeriod,168572000.0,261771000.0,213894000.0,318926000.0,248022000.0,197944000.0,303024000.0,185623000.0,120232000.0,223494000.0
,operatingCashFlow,429215000.0,209307000.0,390889000.0,233183000.0,231456000.0,142302000.0,208911000.0,117657000.0,110735000.0,-19904000.0
,capitalExpenditure,-40659000.0,-6467000.0,-6920000.0,-5647000.0,-2870000.0,-3996000.0,-3888000.0,-1623000.0,-3682000.0,-2517000.0
,freeCashFlow,388556000.0,202840000.0,383969000.0,227536000.0,228586000.0,138306000.0,205023000.0,116034000.0,107053000.0,-22421000.0
