Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,31779118.0203,67627935.1351,66145149.3827
Short-term investments,3172588.8325,3378378.3784,0.0
Cash and short-term investments,34951706.8528,71006313.5135,66145149.3827
Receivables,772706.8528,688310.8108,946924.6914
Inventories,0.0,0.0,0.0
Total current assets,43775571.066,85374171.6216,75034564.1975
Property Plant & Equipment Net,189002.5381,207244.5946,214653.0864
Goodwill and Intangible Assets,41411458.1218,44601660.8108,31867828.3951
Long-term investments,0.0,0.0,0.0
Tax assets,6697182.7411,11016329.7297,6581816.0494
Total non-current assets,41600461.9289,44808905.4054,32082481.4815
Total assets,85376032.9949,130183077.027,107117045.679
Payables,5799881.9797,4086521.6216,1384082.716
Short-term debt,8677517.7665,2621359.4595,0.0
Total current liabilities,20529855.3299,12996764.8649,3961875.3086
Long-term debt,18587250.0,25422312.1622,3859908.642
Total debt,27264767.7665,28043671.6216,0.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,23258893.401,32749163.5135,5307340.7407
Total liabilities,43788748.731,45745928.3784,9269216.0494
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-141143139.5939,-107183675.6757,-50097828.3951
Total shareholders equity,41587284.264,84437148.6486,97847829.6296
Investments,3172588.8325,3378378.3784,0.0
Net Debt,,,
Other Assets,,,
Other Liabilities,6052455.5837,6288883.7838,2577792.5926
