Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12
Cash and cash equivalents,193858000.0,194000000.0,292282000.0,292000000.0,220299000.0,220000000.0,282277000.0,282000000.0,132615000.0,133000000.0
Short-term investments,3561032000.0,349000000.0,21313000.0,22000000.0,30133000.0,16000000.0,230952000.0,4000000.0,15844000.0,11000000.0
Cash and short-term investments,3754890000.0,349000000.0,313595000.0,22000000.0,250432000.0,16000000.0,513229000.0,4000000.0,148459000.0,11000000.0
Receivables,69401000.0,,48949000.0,,63193000.0,,35273000.0,,20973000.0,
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,3824291000.0,,362544000.0,,313625000.0,,548502000.0,,169432000.0,
Property Plant & Equipment Net,308004000.0,,324049000.0,,114504000.0,,42931000.0,,30583000.0,
Goodwill and Intangible Assets,560120000.0,560000000,578223000.0,578000000,623010000.0,623000000,461312000.0,461000000,319601000.0,320000000
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,
Tax assets,148186000.0,000000.0,146761000.0,000000.0,46207000.0,000000.0,300000.0,12000000.0,149012000.0,68000000.0
Total non-current assets,5614989000.0,,8077199000.0,,6931356000.0,,5014890000.0,,4270555000.0,
Total assets,9439280000.0,9439000000.0,8439743000.0,8440000000.0,7244981000.0,7245000000.0,5563392000.0,5563000000.0,4439987000.0,4440000000.0
Payables,398058000.0,,431881000.0,,341977000.0,,284902000.0,,317469000.0,
Short-term debt,0.0,160000000.0,0.0,190000000.0,0.0,136000000.0,0.0,58000000.0,1552000.0,29000000.0
Total current liabilities,398058000.0,,431881000.0,,1977602000.0,,1477401000.0,,1190073000.0,
Long-term debt,675449000.0,515000000.0,713710000.0,524000000.0,752001000.0,702000000.0,491537000.0,492000000.0,304005000.0,304000000.0
Total debt,675449000.0,515000000.0,713710000.0,524000000.0,752001000.0,702000000.0,491537000.0,492000000.0,305557000.0,304000000.0
Deferred revenue,0.0,,0.0,,1635625000.0,,1192499000.0,,864436000.0,
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,6616000.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,681245000.0,,722093000.0,,752001000.0,,503784000.0,,371540000.0,
Total liabilities,7218442000.0,7238000000.0,6511174000.0,6486000000.0,5351395000.0,5319000000.0,4049592000.0,4027000000.0,3380293000.0,3367000000.0
Other comprehensive income,1507783000,-14000000.0,1337751000,-8000000.0,1334706000,-2000000.0,1120114000,-4000000.0,745736000,20000000.0
Retained earnings (deficit),764056000.0,764000000.0,597863000.0,598000000.0,545106000.0,545000000.0,412044000.0,412000000.0,292832000.0,293000000.0
Total shareholders equity,2220838000.0,2221000000.0,1928569000.0,1929000000.0,1893586000.0,1894000000.0,1513800000.0,1514000000.0,1059694000.0,1060000000.0
Investments,3561032000.0,,21313000.0,,30133000.0,,230952000.0,,15844000.0,
Net Debt,481591000.0,481000000,421428000.0,422000000,531702000.0,618000000,209260000.0,268000000,172942000.0,200000000
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Other Liabilities,6139139000.0,0,5357200000.0,0,2621792000.0,0,2068407000.0,0,1818680000.0,0
