date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,149433000000.0,87886000000.0,64093000000.0,43675000000.0,71460000000.0,24261000000.0,23315000000.0,8532000000.0,4228000000.0,1712673000.0,1469464000.0,1013026000.0,1205186000.0,967795000.0,219938000.0
,depreciationAndAmortization,42427000000.0,37080000000.0,22020000000.0,14292000000.0,6701000000.0,4415000000.0,1654000000.0,935000000.0,870000000.0,252692000.0,226910000.0,126582000.0,77220000.0,0.0,0.0
,deferredIncomeTax,-3443000000.0,-2197000000.0,976000000.0,-1088000000.0,106000000.0,1659000000.0,1466000000.0,104000000.0,150000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,31742000000.0,37491000000.0,20075000000.0,15995000000.0,16082000000.0,13028000000.0,2844000000.0,1259000000.0,1254000000.0,336137000.0,340971000.0,237877000.0,194902000.0,0.0,0.0
,changeInWorkingCapital,21418000000.0,32250000000.0,22082000000.0,7259000000.0,7792000000.0,1854000000.0,-4493000000.0,3136000000.0,1788000000.0,7914000.0,1031242000.0,925975000.0,430688000.0,133615000.0,-33287000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,7914000000.0,8639000000.0,5047000000.0,2083000000.0,2350000000.0,466000000.0,277000000.0,-537000000.0,15000000.0,-149925000.0,960621000.0,950714000.0,337022000.0,0.0,0.0
,otherNonCashItems,1758000000.0,-1158000000.0,1679000000.0,-495000000.0,348000000.0,687000000.0,1290000000.0,245000000.0,264000000.0,-274308000.0,0.0,-219387000.0,-501895000.0,1275602000.0,763958000.0
,netCashProvidedByOperatingActivites,180607000000.0,150975000000.0,125171000000.0,80326000000.0,56836000000.0,41217000000.0,26379000000.0,14476000000.0,9275000000.0,2181989000.0,0.0,2240215000.0,1580924000.0,1409217000.0,730671000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-32550000000.0,-35482000000.0,-4027000000.0,-5326000000.0,-5407000000.0,-2935000000.0,-1491000000.0,-1457000000.0,-1419000000.0,-160180000.0,-288089000.0,0.0,0.0,-139812000.0,-96690000.0
,acquisitionsNet,-2068000000.0,-5282000000.0,-87000000.0,-4824000000.0,526000000.0,-1859000000.0,-125000000.0,81000000.0,-33000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-54851000000.0,-72472000000.0,-12602000000.0,-4669000000.0,-15363000000.0,-12930000000.0,-11423000000.0,-72000000.0,-508000000.0,-9529156000.0,-8113689000.0,-1425639000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,18798000000.0,18085000000.0,7223000000.0,11344000000.0,6805000000.0,939000000.0,372000000.0,2615000000.0,5861000000.0,7937121000.0,5805328000.0,850000000.0,0.0,0.0,0.0
,otherInvestingActivites,-228000000.0,-8000000.0,-571000000.0,199000000.0,781000000.0,1099000000.0,-13000000.0,-10000000.0,-2413000000.0,-37440000.0,0.0,0.0,-2970991000.0,37523000.0,-697947000.0
,netCashUsedForInvestingActivites,-108072000000.0,-151060000000.0,-83890000000.0,-78364000000.0,-42831000000.0,-53454000000.0,-32997000000.0,545000000.0,-125000000.0,-1585468000.0,-2746975000.0,-1222244000.0,-3101782000.0,-101947000.0,-794367000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-31741000000.0,-16347000000.0,-39016000000.0,-67344000000.0,-26495000000.0,-156541000000.0,-71240000000.0,-9191000000.0,-935000000.0,-279414000.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,91506000000.0,354000000.0,399000000.0,14694000000.0,693000000.0,61831000000.0,1638000000.0,16792000000.0,618000000.0,55341000.0,10328000.0,55000.0,0.0,2822830000.0,0.0
,commonStockRepurchased,0.0,-10872000000.0,0.0,-13182000000.0,-19795000000.0,-270000000.0,-5288000000.0,-55245000000.0,-2000000.0,-417696000.0,-52709000.0,-69804000.0,-78873000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,-104000000.0,-208000000.0,-103000000.0,0.0,-947727000.0,0.0,-888261000.0,0.0,-195909000.0,-196612000.0
,otherFinancingActivites,-4700000000.0,7357000000.0,-13665000000.0,2069000000.0,778000000.0,-4000000.0,433000000.0,-324000000.0,-262000000.0,-75536000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,70853000000.0,-7392000000.0,20359000000.0,32914000000.0,-15846000000.0,87497000000.0,9364000000.0,-1406000000.0,475000000.0,-244280000.0,51263000.0,-958010000.0,-78873000.0,2626921000.0,-196612000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,4100000000.0,3245000000.0,-6067000000.0,2042000000.0,466000000.0,-112000000.0,-97000000.0,-76000000.0,-54000000.0,-5358000.0,-6206000.0,-222000.0,-32488000.0,-50825000.0,-223000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
