date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-01-02_FY,2009-01-03_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2004-01-03_FY,2002-12-28_FY,2001-12-29_FY,2000-12-31_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,590644000.0,988979000.0,345777000.0,204101000.0,203086000.0,252417000.0,158898000.0,164200000.0,439900000.0,72229000.0,126500000.0,-149900000.0,-1854000000.0,296300000.0,142600000.0,49343000.0,74500000.0,-17600000.0,71900000.0,141300000.0,49977000.0,-14100000.0,32000000.0,169500000.0,29000000.0,97270000.0,36648000.0,-12800000.0,55400000.0,-21700000.0,38000000.0,27800000.0,13100000.0,3200000.0,1500000.0
,depreciationAndAmortization,145653000.0,122789000.0,118721000.0,115524000.0,119588000.0,118165000.0,115634000.0,98300000.0,89200000.0,91648000.0,88300000.0,93100000.0,128700000.0,130600000.0,147100000.0,184717000.0,179200000.0,191600000.0,203900000.0,230400000.0,206810000.0,163900000.0,102400000.0,56600000.0,51700000.0,46019000.0,44257000.0,44000000.0,37600000.0,40000000.0,20100000.0,14600000.0,6900000.0,2800000.0,2900000.0
,deferredIncomeTax,-26117000.0,-576738000.0,-11676000.0,79934000.0,-4869000.0,-13148000.0,12478000.0,-2400000.0,-240400000.0,-7811000.0,-64200000.0,-3400000.0,205700000.0,12800000.0,29500000.0,-22968000.0,-15700000.0,-60000000.0,-23900000.0,-13200000.0,-29039000.0,-1400000.0,29200000.0,-68500000.0,-15900000.0,5693000.0,-1323000.0,-4800000.0,-300000.0,-900000.0,3000000.0,4000000.0,-800000.0,600000.0,500000.0
,stockBasedCompensation,197268000.0,181547000.0,167715000.0,130023000.0,109217000.0,92341000.0,83792000.0,66285000.0,47561000.0,43588000.0,43460000.0,54706000.0,81274000.0,101415000.0,103986000.0,0.0,31408000.0,41124000.0,38637000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,184827000.0,254842000.0,-95480000.0,221118000.0,-311456000.0,-30716000.0,385744000.0,-101000000.0,125283000.0,-133283000.0,-270900000.0,62500000.0,-353800000.0,-19800000.0,93449000.0,149551000.0,160600000.0,113600000.0,84200000.0,97226000.0,6974000.0,-193500000.0,-88500000.0,80800000.0,253004000.0,-20997000.0,-77507000.0,-48200000.0,30200000.0,14900000.0,39900000.0,32700000.0,16500000.0,12200000.0,-1500000.0
,accountsReceivables,1628000.0,632000.0,5102000.0,-28409000.0,0.0,-44732000.0,-17925000.0,-85000.0,215000.0,0.0,-17098000.0,5827000.0,52232000.0,215444000.0,180580000.0,0.0,30070000.0,11428000.0,13577000.0,31100000.0,0.0,29600000.0,-72600000.0,-56600000.0,-59900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4700000.0,0.0,0.0
,inventory,-25685000.0,-33024000.0,752000.0,5034000.0,4934000.0,-1120000.0,-11708000.0,-14594000.0,5245000.0,-6820000.0,-26528000.0,3896000.0,2584000.0,6197000.0,-10872000.0,-7588000.0,-3555000.0,-7312000.0,9338000.0,1900000.0,-5739000.0,-19900000.0,0.0,8100000.0,100000.0,-4059000.0,-592000.0,0.0,-200000.0,700000.0,100000.0,0.0,0.0,0.0,0.0
,accountsPayables,18394000.0,33915000.0,1553000.0,-25987000.0,0.0,15321000.0,3856000.0,41727000.0,17523000.0,0.0,60281000.0,-94851000.0,-42882000.0,20352000.0,-51462000.0,0.0,0.0,-106687000.0,1425000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,681779000.0,496952000.0,242110000.0,337590000.0,116472000.0,427928000.0,458644000.0,72900000.0,173900000.0,48617000.0,181900000.0,452800000.0,390300000.0,744100000.0,763900000.0,670451000.0,520900000.0,360300000.0,246700000.0,162500000.0,65274000.0,58300000.0,251800000.0,340300000.0,259500000.0,6496000.0,27493000.0,105000000.0,153200000.0,123000000.0,108100000.0,68200000.0,35500000.0,19000000.0,6800000.0
,otherNonCashItems,0.0,187698000.0,173888000.0,122433000.0,5096000.0,100265000.0,106468000.0,90300000.0,68300000.0,3436000.0,57100000.0,112400000.0,1559800000.0,308800000.0,288500000.0,0.0,98200000.0,200100000.0,334300000.0,120300000.0,0.0,61700000.0,218300000.0,30300000.0,110900000.0,0.0,0.0,0.0,-100000.0,14700000.0,-100000.0,-200000.0,1200000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,904922000.0,729600000.0,604751000.0,470740000.0,444879000.0,378200000.0,316722000.0,367600000.0,316000000.0,240342000.0,199100000.0,25600000.0,70300000.0,402400000.0,421200000.0,426283000.0,372500000.0,171000000.0,350200000.0,250900000.0,142100000.0,127200000.0,246100000.0,198400000.0,175300000.0,197096000.0,154438000.0,90700000.0,42500000.0,76000000.0,52000000.0,38300000.0,22500000.0,4700000.0,-2700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-94813000.0,-74605000.0,-61503000.0,-57901000.0,-53712000.0,-44808000.0,-39810000.0,-44929000.0,-35966000.0,-31421000.0,-799000.0,6730000.0,-97290000.0,46500000.0,317000.0,-71656000.0,3625000.0,-82881000.0,-127706000.0,-184500000.0,-119471000.0,-136100000.0,-136100000.0,-112000000.0,-89000000.0,-28338000.0,-15196000.0,-19300000.0,-31400000.0,-29600000.0,-22200000.0,-6200000.0,-9100000.0,-5600000.0,-3400000.0
,acquisitionsNet,-197562000.0,-338000.0,0.0,-143249000.0,-42000000.0,-42000000.0,-167121000.0,-392825000.0,-66432000.0,0.0,-256117000.0,-14126000.0,-20931000.0,-80725000.0,-65778000.0,-297000000.0,-297000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
