Date,2019-06-30,2018-06-30
Cash and cash equivalents,76418000.0,67958000.0
Short-term investments,1782000.0,3327000.0
Cash and short-term investments,78200000.0,71285000.0
Receivables,0.0,0.0
Inventories,99785000.0,3158000.0
Total current assets,136320000.0,81269000.0
Property Plant & Equipment Net,537871000.0,345304000.0
Goodwill and Intangible Assets,0.0,22581000.0
Long-term investments,0.0,0.0
Tax assets,5319000.0,0.0
Total non-current assets,617359000.0,405054000.0
Total assets,753679000.0,486323000.0
Payables,51578000.0,15685000.0
Short-term debt,54704000.0,14817000.0
Total current liabilities,106282000.0,30502000.0
Long-term debt,159855000.0,28644000.0
Total debt,214559000.0,43461000.0
Deferred revenue,0.0,0.0
Tax Liabilities,9552000.0,7685000.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,222410000.0,90144000.0
Total liabilities,328692000.0,120646000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-96034000.0,-38493000.0
Total shareholders equity,410468000.0,357546000.0
Investments,1782000.0,3327000.0
Net Debt,,
Other Assets,,
Other Liabilities,0.0,0.0
