Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,15302000.0,8671000.0,6611000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,15302000.0,8671000.0,6611000.0
Receivables,25352000.0,23263000.0,20837000.0
Inventories,32265000.0,25299000.0,33462000.0
Total current assets,80960000.0,63088000.0,66648000.0
Property Plant & Equipment Net,16239000.0,17372000.0,21337000.0
Goodwill and Intangible Assets,165381000.0,168902000.0,172422000.0
Long-term investments,0.0,6733000.0,5598000.0
Tax assets,4265000.0,4461000.0,7614000.0
Total non-current assets,191699000.0,203984000.0,208133000.0
Total assets,272659000.0,267072000.0,274781000.0
Payables,14148000.0,16067000.0,4615000.0
Short-term debt,0.0,0.0,0.0
Total current liabilities,43239000.0,37165000.0,26202000.0
Long-term debt,352440000.0,0.0,0.0
Total debt,352440000.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,4588000.0,5362000.0,4219000.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,357003000.0,4626000.0,3715000.0
Total liabilities,400242000.0,41791000.0,29917000.0
Other comprehensive income,-649000.0,-356000.0,-725000.0
Retained earnings (deficit),733000.0,336000.0,
Total shareholders equity,-131169000.0,220685000.0,237771000.0
Investments,0.0,6733000.0,5598000.0
Net Debt,337138000.0,-8671000.0,-6611000.0
Other Assets,8041000.0,5855000.0,5738000.0
Other Liabilities,29091000.0,21098000.0,21587000.0
