date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,135888000.0,353866000.0,241907000.0,289914000.0,249910000.0,210219000.0,164535000.0,162681000.0,151925000.0,0.0,143917000.0,122790000.0,98304000.0,129787000.0,195537000.0,118712000.0,114612000.0,84156000.0,94497000.0,55287000.0,68756000.0,60523000.0,48443000.0,44960000.0,46504000.0,28742000.0,23110000.0,20466000.0
,depreciationAndAmortization,255027000.0,239758000.0,244245000.0,216050000.0,193585000.0,174796000.0,170814000.0,161099000.0,142039000.0,0.0,126568000.0,119817000.0,115093000.0,111069000.0,105966000.0,97879000.0,91503000.0,90438000.0,74616000.0,64529000.0,59914000.0,53259000.0,50011000.0,46047000.0,41399000.0,38153000.0,34900000.0,29801000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,148079000.0,-49839000.0,24085000.0,115272000.0,-45865000.0,2983000.0,-20578000.0,34970000.0,212463000.0,-133855000.0,65296000.0,-171593000.0,97997000.0,944377000.0,-120100000.0,145300000.0,-14000000.0,8800000.0,-172000000.0,15200000.0,-92200000.0,-221200000.0,97200000.0,-111600000.0,-76400000.0,-37700000.0,14900000.0,-6763000.0
,accountsReceivables,-6032000.0,-16128000.0,917000.0,2059000.0,1868000.0,-9200000.0,-3063000.0,-6321000.0,7332000.0,0.0,1888000.0,7461000.0,7079000.0,-6303000.0,-6743000.0,-12900000.0,-7238000.0,-6489000.0,-35099000.0,-3239000.0,-23849000.0,-6511000.0,-7500000.0,-8700000.0,-12800000.0,-8700000.0,-3800000.0,-5100000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,5621000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9287000.0,894000.0,-2231000.0,3929000.0,4781000.0,7330000.0,11868000.0,922000.0,1700000.0,5800000.0,2600000.0,6300000.0,10000000.0,-1700000.0
,otherWorkingCapital,326692000.0,178613000.0,228452000.0,204367000.0,89095000.0,134960000.0,131977000.0,152555000.0,117585000.0,-94878000.0,38977000.0,-26319000.0,145274000.0,47277000.0,-897100000.0,-777000000.0,-922300000.0,-908300000.0,-917100000.0,-745100000.0,-760300000.0,-668100000.0,-446900000.0,-544100000.0,-432500000.0,-356100000.0,-318400000.0,-333300000.0
,otherNonCashItems,0.0,169000.0,4147000.0,-2674000.0,-89000.0,177000.0,733000.0,2704000.0,4348000.0,0.0,3871000.0,6650000.0,24259000.0,6951000.0,11215000.0,3772000.0,7285000.0,3131000.0,3649000.0,34025000.0,-8144000.0,-2047000.0,9488000.0,2261000.0,-5553000.0,1229000.0,1002000.0,454000.0
,netCashProvidedByOperatingActivites,369929000.0,461919000.0,516688000.0,459177000.0,419254000.0,359835000.0,346130000.0,314498000.0,296633000.0,0.0,244711000.0,256735000.0,256765000.0,228285000.0,214209000.0,184401000.0,174460000.0,161113000.0,122391000.0,119069000.0,108545000.0,106146000.0,102183000.0,90427000.0,72170000.0,65648000.0,65117000.0,45199000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181000000.0,-103557000.0,-57133000.0,-10531000.0,-99625000.0,-69487000.0,-266984000.0,-96920000.0,-101688000.0,-50629000.0,0.0,-61415000.0,-23554000.0,-25337000.0,-92946000.0,-251351000.0,-85792000.0,-105096000.0,-48337000.0
,acquisitionsNet,0.0,117000000.0,164000000.0,-302000000.0,-143000000.0,-57000000.0,1000000.0,-44000000.0,-81000000.0,-81000000.0,-80000000.0,-57000000.0,-8000000.0,-55000000.0,14000000.0,-185000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-16930000.0,-7020000.0,0.0,-20427000.0,-4960000.0,-13000.0,-9426000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,300000.0
,otherInvestingActivites,0.0,-25816000.0,-25497000.0,-18302000.0,-6673000.0,-12049000.0,-30278000.0,-11436000.0,-13138000.0,69182000.0,-1715000.0,-23930000.0,-9833000.0,-14846000.0,-145504000.0,-8151000.0,-168457000.0,-99284000.0,-84552000.0,-238288000.0,126105000.0,47602000.0,22996000.0,71276000.0,264344000.0,47841000.0,104479000.0,48195000.0
,netCashUsedForInvestingActivites,-368383000.0,-316532000.0,-192247000.0,-836802000.0,-590221000.0,-353763000.0,-396150000.0,-345198000.0,-273558000.0,69182000.0,-196369000.0,-187088000.0,-127341000.0,-207567000.0,-151439000.0,-317429000.0,-152249000.0,-154273000.0,-91272000.0,-175744000.0,-232138000.0,-121741000.0,-99313000.0,-187646000.0,-279343000.0,-161819000.0,-134360000.0,-90465000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
