date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,206115000.0,293109000.0,287066000.0,247503000.0,198399000.0,127478000.0,254686000.0,293780000.0,257411000.0,217186000.0,130244000.0,48576000.0,212286000.0,202736000.0,175008000.0,122306000.0,80596000.0,54542000.0,29275000.0,83589000.0,78092000.0,73900000.0,93700000.0,85400000.0,74300000.0,61500000.0,48000000.0
,depreciationAndAmortization,80492000.0,81487000.0,72346000.0,68115000.0,65073000.0,64007000.0,69607000.0,68883000.0,65334000.0,83805000.0,57357000.0,56598000.0,56925000.0,51489000.0,45708000.0,41865000.0,42299000.0,37650000.0,37040000.0,36205000.0,34712000.0,29100000.0,28100000.0,28400000.0,29500000.0,29700000.0,28000000.0
,deferredIncomeTax,-2948000.0,13019000.0,1889000.0,32674000.0,-9805000.0,-55728000.0,17887000.0,17817000.0,-2137000.0,15139000.0,4387000.0,-7090000.0,7367000.0,-3711000.0,4349000.0,-1895000.0,9473000.0,14461000.0,9021000.0,16516000.0,-2286000.0,900000.0,10200000.0,1000000.0,-3100000.0,2800000.0,31900000.0
,stockBasedCompensation,15388000.0,16624000.0,18554000.0,12698000.0,10332000.0,7932000.0,8416000.0,9734000.0,8961000.0,6610000.0,8213000.0,5432000.0,4738000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,40855000.0,12655000.0,-33684000.0,18510000.0,17915000.0,51270000.0,29768000.0,3013000.0,27653000.0,-128162000.0,-57564000.0,109991000.0,-45509000.0,2491000.0,-100946000.0,-53119000.0,-84247000.0,-8493000.0,-20289000.0,-13369000.0,10836000.0,-54100000.0,-8200000.0,-28000000.0,13900000.0,-32000000.0,-43000000.0
,accountsReceivables,3582000.0,50394000.0,-4061000.0,-16811000.0,-12314000.0,56741000.0,5876000.0,-5437000.0,57759000.0,-67518000.0,-47958000.0,60913000.0,30130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,22751000.0,-12023000.0,-23904000.0,19448000.0,14601000.0,56067000.0,-5718000.0,13310000.0,28286000.0,-51679000.0,-28912000.0,127739000.0,-27845000.0,36011000.0,-57299000.0,-32133000.0,-47779000.0,11072000.0,6636000.0,18653000.0,6005000.0,-30200000.0,-6000000.0,-18400000.0,9600000.0,-25600000.0,-6500000.0
,accountsPayables,-17919000.0,-8339000.0,3636000.0,17871000.0,29627000.0,-46911000.0,2135000.0,794000.0,16110000.0,8672000.0,47323000.0,-30364000.0,-26768000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-4580000.0,-423000.0,2978000.0,6158000.0,2909000.0,5808000.0,-870000.0,-680000.0,-86883000.0,-3842000.0,-3003000.0,3444000.0,-4641000.0,-10020000.0,-994000.0,0.0,1499000.0,2546000.0,-9605000.0,-10002000.0,4704000.0,1500000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,11868000.0,-12543000.0,-17053000.0,7498000.0,-4102000.0,7161000.0,33277000.0,4909000.0,4663000.0,2928000.0,413000.0,2027000.0,6644000.0,3596000.0,5549000.0,0.0,-445000.0,-1207000.0,0.0,-136000.0,0.0,0.0,-1400000.0,1900000.0,2200000.0,2300000.0,2100000.0
,netCashProvidedByOperatingActivites,351362000.0,403185000.0,329152000.0,334845000.0,303403000.0,310858000.0,401702000.0,338894000.0,327484000.0,193518000.0,156978000.0,250350000.0,257449000.0,249832000.0,118680000.0,117024000.0,51260000.0,95687000.0,103598000.0,120231000.0,120834000.0,81100000.0,122100000.0,88900000.0,107800000.0,65500000.0,68700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,7667000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61633000.0,-76002000.0,-50415000.0,-56441000.0,-34840000.0,-27909000.0,-36723000.0,-34800000.0,-63300000.0,-92200000.0,-37300000.0,-39800000.0,-48400000.0,-37400000.0
,acquisitionsNet,0.0,-134717000.0,-101792000.0,-72468000.0,-71567000.0,-37076000.0,-24230000.0,-53161000.0,-134602000.0,-66229000.0,-18856000.0,-25449000.0,-44036000.0,-18773000.0,-25504000.0,-78174000.0,-11815000.0,-3693000.0,-8010000.0,-3990000.0,-18903000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-268335000.0,-205584000.0,-38920000.0,0.0,0.0,0.0,0.0,0.0,0.0,-488000.0,0.0,0.0,0.0,-15000000.0,0.0,0.0,-5015000.0,0.0,0.0,-1700000.0,-900000.0,-66300000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,447459000.0,65380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70441000.0,6125000.0,0.0,0.0,0.0,6000.0,1900000.0,10900000.0,44400000.0,0.0,0.0,0.0
,otherInvestingActivites,-56880000.0,-58106000.0,-56491000.0,-59355000.0,-49459000.0,-48276000.0,-54755000.0,-76339000.0,-52869000.0,-64567000.0,-50544000.0,-37644000.0,-71764000.0,701000.0,11791000.0,3675000.0,3641000.0,2932000.0,2443000.0,4725000.0,1627000.0,36400000.0,4500000.0,900000.0,22400000.0,3000000.0,5100000.0
,netCashUsedForInvestingActivites,-49213000.0,-192823000.0,20841000.0,-272027000.0,-159946000.0,-85352000.0,-78985000.0,-129500000.0,-187471000.0,-130796000.0,-69400000.0,-63581000.0,-115800000.0,-79705000.0,-89715000.0,-69473000.0,-58490000.0,-35601000.0,-38491000.0,-35988000.0,-52070000.0,-26700000.0,-77700000.0,-58300000.0,-17400000.0,-45400000.0,-32300000.0
