date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-09-30_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,137845000.0,82047000.0,157360000.0,89600000.0,126256000.0,106785000.0,73646000.0,113295000.0,0.0,123908000.0,120484000.0,107144000.0,86561000.0,90861000.0,77786000.0,66425000.0,44195000.0,73918000.0,81432000.0,80690000.0,73602000.0,59612000.0,18500000.0,80100000.0,72600000.0,64700000.0,44200000.0,66100000.0,50900000.0,33000000.0,41700000.0,57800000.0,49400000.0,40000000.0
,depreciationAndAmortization,49641000.0,55015000.0,53244000.0,48518000.0,47019000.0,47939000.0,51456000.0,52016000.0,0.0,48352000.0,0.0,0.0,42183000.0,44445000.0,44312000.0,43044000.0,46769000.0,46243000.0,43098000.0,41290000.0,46290000.0,45554000.0,0.0,49000000.0,44200000.0,37300000.0,33500000.0,34600000.0,36400000.0,35100000.0,33000000.0,29400000.0,26400000.0,20600000.0
,deferredIncomeTax,-8705000.0,-19340000.0,9844000.0,17414000.0,10428000.0,-4452000.0,-16780000.0,-6178000.0,-0.0,2916000.0,-3138000.0,8685000.0,-3895000.0,3329000.0,9381000.0,-278000.0,-10105000.0,0.0,10538000.0,-2592000.0,-9496000.0,4829000.0,0.0,9200000.0,8100000.0,4800000.0,-1700000.0,-5900000.0,-4900000.0,3000000.0,2000000.0,8100000.0,-9400000.0,-1300000.0
,stockBasedCompensation,5608000.0,-739000.0,503000.0,5855000.0,7709000.0,1598000.0,6265000.0,8430000.0,0.0,10086000.0,7819000.0,5678000.0,3860000.0,3798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-61207000.0,-21327000.0,91013000.0,13766000.0,-37035000.0,5937000.0,-32448000.0,17703000.0,2111000.0,47523000.0,32353000.0,25278000.0,10712000.0,50481000.0,89679000.0,212835000.0,-202762000.0,26709000.0,-11938000.0,43214000.0,-16232000.0,71266000.0,5100000.0,14900000.0,-15700000.0,1300000.0,18600000.0,8200000.0,-21600000.0,-12700000.0,-15500000.0,-35600000.0,-21100000.0,-8900000.0
,accountsReceivables,-11357000.0,10930000.0,-96638000.0,10630000.0,31144000.0,-21721000.0,-10582000.0,3466000.0,0.0,-15158000.0,-5095000.0,-20229000.0,5013000.0,-16908000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,46828000.0,25238000.0,-34114000.0,-47345000.0,-20064000.0,3041000.0,64000.0,-30217000.0,0.0,-23125000.0,-28391000.0,-4191000.0,1190000.0,-40591000.0,-15299000.0,-7537000.0,-616000.0,1186000.0,-31334000.0,-17377000.0,8007000.0,-17363000.0,-12000000.0,-11300000.0,-5700000.0,-8500000.0,4900000.0,-11100000.0,-5100000.0,1500000.0,3800000.0,-23600000.0,-22800000.0,-3400000.0
,accountsPayables,15524000.0,-18251000.0,7457000.0,4804000.0,2332000.0,-8792000.0,6745000.0,3606000.0,0.0,225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,525631000.0,586838000.0,608165000.0,517152000.0,503386000.0,540421000.0,534484000.0,566932000.0,549229000.0,547118000.0,499595000.0,467242000.0,441964000.0,431252000.0,380771000.0,291092000.0,78257000.0,281019000.0,254310000.0,266248000.0,223034000.0,239266000.0,168000000.0,162900000.0,148000000.0,163700000.0,162400000.0,143800000.0,135600000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-1122000.0,63000.0,2552000.0,-3257000.0,13190000.0,70745000.0,695000.0,0.0,-869000.0,0.0,0.0,0.0,0.0,4731000.0,5035000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,100000.0,0.0,0.0,0.0,0.0,-100000.0,100000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,218780000.0,177182000.0,83520000.0,180506000.0,222478000.0,128047000.0,189188000.0,153553000.0,0.0,139366000.0,142877000.0,155725000.0,138336000.0,86974000.0,105205000.0,99217000.0,110290000.0,125732000.0,56543000.0,94101000.0,59578000.0,91645000.0,-5200000.0,102500000.0,94100000.0,91600000.0,91300000.0,23100000.0,61600000.0,82800000.0,67500000.0,58200000.0,43900000.0,50400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-52162000.0,-39100000.0,-50740000.0,-56344000.0,-81216000.0,-79941000.0,-79398000.0,-104246000.0,-104000000.0,-103806000.0,-72200000.0,-55823000.0,-47716000.0,-53680000.0,-41961000.0,-39314000.0,-36102000.0,-49845000.0,-74208000.0,-47317000.0,-38001000.0,0.0,-10400000.0,-121000000.0,-134800000.0,-73500000.0,-59000000.0,-42600000.0,-121000000.0,-46000000.0,-45000000.0,-54800000.0,-69600000.0,-46600000.0
,acquisitionsNet,13000000.0,0.0,-31000000.0,12000000.0,0.0,-8000000.0,0.0,0.0,-0.0,0.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4800000.0,-5900000.0,-5700000.0,-2700000.0,-4600000.0,-6800000.0,-2200000.0,-1500000.0,-900000.0,0.0,-500000.0
