date,,2020-07-31_FY,2019-07-31_FY,2018-07-31_FY,2017-07-31_FY,2016-07-31_FY,2015-07-31_FY,2014-07-31_FY,2013-07-31_FY,2012-07-31_FY,2011-07-31_FY,2010-07-31_FY,2009-07-31_FY,2008-07-31_FY,2007-07-31_FY,2006-07-31_FY,2005-07-31_FY,2004-07-31_FY,2003-07-31_FY,2002-07-31_FY,2001-07-31_FY,2000-07-31_FY,1999-07-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY,1995-07-31_FY,1994-07-31_FY,1993-07-31_FY,1992-07-31_FY,1991-07-31_FY,1990-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,257000000.0,267200000.0,180300000.0,232800000.0,190800000.0,208111000.0,260224000.0,247377000.0,264301000.0,225291000.0,166163000.0,131907000.0,171953000.0,150717000.0,132307000.0,110554000.0,106317000.0,95314000.0,86883000.0,75548000.0,70233000.0,62400000.0,57100000.0,50600000.0,43400000.0,38500000.0,34100000.0,28200000.0,25800000.0,24000000.0,21000000.0
,depreciationAndAmortization,87600000.0,81100000.0,76700000.0,75200000.0,74900000.0,74298000.0,67163000.0,64290000.0,61165000.0,60491000.0,59232000.0,58597000.0,56732000.0,49566000.0,44700000.0,44284000.0,41555000.0,37557000.0,31751000.0,38577000.0,34326000.0,27700000.0,25300000.0,21500000.0,21700000.0,20500000.0,16400000.0,14800000.0,14000000.0,12200000.0,10900000.0
,deferredIncomeTax,2700000.0,10200000.0,7000000.0,-10600000.0,-3300000.0,-5611000.0,-7762000.0,8347000.0,6344000.0,1957000.0,3025000.0,-4726000.0,-5012000.0,-4628000.0,6868000.0,2957000.0,-1598000.0,637000.0,-5266000.0,7093000.0,-449000.0,500000.0,4200000.0,1000000.0,-5700000.0,-200000.0,-2800000.0,700000.0,-400000.0,-2200000.0,-1600000.0
,stockBasedCompensation,15200000.0,15000000.0,16700000.0,9100000.0,7300000.0,10694000.0,11640000.0,9148000.0,10553000.0,9234000.0,8253000.0,1900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,50200000.0,-16600000.0,-10600000.0,201000000.0,-4169000.0,-145628000.0,36470000.0,-7912000.0,16801000.0,99379000.0,94276000.0,39633000.0,122350000.0,13164000.0,-63084000.0,-17236000.0,41227000.0,56935000.0,-6254000.0,50191000.0,-20643000.0,40600000.0,27300000.0,-19700000.0,-12000000.0,19700000.0,2200000.0,4900000.0,5500000.0,3300000.0,16400000.0
,accountsReceivables,77100000.0,1400000.0,-41700000.0,-31800000.0,8500000.0,-20641000.0,-44851000.0,3705000.0,-17877000.0,-62274000.0,-79308000.0,116983000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,11900000.0,-5500000.0,-43800000.0,-42400000.0,29100000.0,-26232000.0,-19273000.0,20142000.0,-4149000.0,-52999000.0,-25826000.0,66145000.0,-49400000.0,-36469000.0,587000.0,-6745000.0,-20734000.0,5795000.0,13608000.0,2816000.0,-26227000.0,21400000.0,-20000000.0,-14500000.0,-2000000.0,-9800000.0,-10000000.0,-4300000.0,-3400000.0,6100000.0,2300000.0
,accountsPayables,-74000000.0,-3100000.0,6500000.0,65500000.0,-30700000.0,-17175000.0,59686000.0,-34852000.0,-6205000.0,81571000.0,85988000.0,-78738000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,689900000.0,639700000.0,656300000.0,666900000.0,465900000.0,470069000.0,615697000.0,579227000.0,587139000.0,570338000.0,470959000.0,376683000.0,337050000.0,214700000.0,201536000.0,264620000.0,281856000.0,240629000.0,183694000.0,189948000.0,139757000.0,160400000.0,119800000.0,92500000.0,112200000.0,124200000.0,104500000.0,102300000.0,97400000.0,91900000.0,88600000.0
,otherNonCashItems,23900000.0,-7600000.0,-27600000.0,5100000.0,11700000.0,25083000.0,10041000.0,-6175000.0,239955000.0,213300000.0,-6110000.0,-7000.0,134000.0,-2476000.0,-8111000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200000.0,100000.0,1200000.0,-100000.0,-800000.0,3200000.0,1600000.0
,netCashProvidedByOperatingActivites,387000000.0,345800000.0,262900000.0,310300000.0,286100000.0,212843000.0,317839000.0,315923000.0,259712000.0,246055000.0,203005000.0,276927000.0,173534000.0,117045000.0,156674000.0,142588000.0,118052000.0,146718000.0,154312000.0,82799000.0,88318000.0,100400000.0,36100000.0,54600000.0,76900000.0,52900000.0,31400000.0,42600000.0,31000000.0,34300000.0,49700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-124400000.0,-150700000.0,-97500000.0,-65900000.0,-72900000.0,-93739000.0,-97210000.0,-94895000.0,-78139000.0,-60633000.0,-43149000.0,-46080000.0,-72152000.0,-77440000.0,-81272000.0,-54979000.0,-47738000.0,-47748000.0,-40529000.0,-38924000.0,-36417000.0,-29500000.0,-55600000.0,-47300000.0,-39300000.0,-25300000.0,-24600000.0,-15000000.0,-15500000.0,-16200000.0,-16100000.0
,acquisitionsNet,-7000000.0,-96000000.0,1000000.0,-32000000.0,-13000000.0,-106000000.0,0.0,0.0,0.0,3000000.0,0.0,-74000000.0,-2000000.0,-41000000.0,-5000000.0,-13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-27039000.0,-108793000.0,-99339000.0,-99298000.0,0.0,-250000.0,-74318000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,28000000.0,114514000.0,81486000.0,97365000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
