Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,177020833.3333,166698997.7368,70459343.3792,46373626.3736,48761261.2613,142499761.2909,34434741.5624
Short-term investments,270131944.4444,181385386.3563,157050302.1038,10827407.8862,6011781.0118,26401222.1904,25973566.2025
Cash and short-term investments,447152777.7777,348084384.0931,227509645.483,57201034.2598,54773042.2731,168900983.4813,60408307.7649
Receivables,498791666.6667,526737795.021,466899614.1807,105281189.3988,86122661.1227,92981953.595,130564078.3573
Inventories,367694444.4444,285038797.2842,49268399.2138,26237879.7673,28387040.887,17864986.1549,41172999.764
Total current assets,1055229166.6667,970295829.2919,560762903.1084,177808661.9263,168095980.596,258283204.4304,206171819.6837
Property, Plant & Equipment Net,3788763888.8889,4158147429.6799,1983016670.3065,1430665804.7835,1966735966.736,1446672395.6841,1932511210.7623
Goodwill and Intangible Assets,478444444.4444,516973811.8332,68137147.8489,47621202.3271,63816701.3167,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,38895833.3333,31441965.7291,16612069.5931,4085326.4383,4469854.4699,3418313.7592,2749586.9719
Total non-current assets,4842201388.8889,5178410927.9017,2476384945.7669,1649321266.9683,2250641025.641,1650902320.2521,2118314845.4095
Total assets,5897430555.5556,6148706757.1937,3037147848.8753,1827129928.8946,2418737006.237,1909185524.6825,2324486665.0932
Payables,742277777.7778,848100549.6282,494591249.909,178371040.724,235152460.1525,197937553.7095,2023306584.8478
Short-term debt,1271979166.6667,1939217588.1022,598493120.7687,116890756.3025,226593901.5939,142404277.6664,236016049.0913
Total current liabilities,1016152777.7778,682007759.4568,455456067.5548,345656108.5973,309303534.3035,342929437.6015,2528687750.7671
Long-term debt,429736111.1111,133971871.969,54764504.6226,128978668.3904,48007623.0076,47694070.4669,261977814.4914
Total debt,1701715277.7778,2073189460.0711,653257625.3913,245869424.693,274601524.6015,190098348.1333,497993863.5827
Deferred revenue,455236111.1111,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,711194444.4444,691892984.1578,364271675.0382,238590820.9438,342454954.955,429924567.9366,505322161.907
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3164305555.5556,3526980278.0472,1382805561.6219,512837750.4848,811278586.2786,666475699.4175,937255133.3491
Total liabilities,4180458333.3333,4208988037.504,1838261629.1767,858493859.0821,1120582120.5821,1009405137.019,3465942884.1161
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-1076097222.2222,-1071580989.3307,-601441362.743,-633341952.1655,-857363132.3631,-999513033.5148,-1427661080.9535
Total shareholders equity,1651972222.2222,1938118331.7168,1197597728.7617,961538461.5385,1269603257.1033,899570323.6895,-1140913382.11
Investments,270131944.4444,181385386.3563,157050302.1038,10827407.8862,6011781.0118,26401222.1904,25973566.2025
Net Debt,1524694444.4445,,,,,,
Other Assets,-256574541.0627,,,,,,
Other Liabilities,-998104166.6667,-2105310378.2736,-637628303.1229,50394311.5708,-152442827.4429,2587606.2256,269365116.828
