date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,96314000.0,71680000.0,104121000.0,105662000.0,106304000.0,109016000.0,114608000.0,149009000.0,132750000.0,92057000.0,156565000.0,168397000.0,131739000.0,119156000.0,44352000.0,7940000.0,96013000.0,99600000.0,110594000.0,106662000.0,112669000.0,113805000.0,127300000.0,141300000.0,100900000.0,72300000.0,25600000.0,9200000.0,80200000.0,70700000.0,24000000.0,37100000.0,54000000.0
,depreciationAndAmortization,44733000.0,38379000.0,37104000.0,34836000.0,35911000.0,37644000.0,37324000.0,38899000.0,45116000.0,43866000.0,45272000.0,43496000.0,41790000.0,43240000.0,48305000.0,68139000.0,74133000.0,48800000.0,53504000.0,54987000.0,56399000.0,52022000.0,52800000.0,51100000.0,51600000.0,12800000.0,11400000.0,44900000.0,32800000.0,29200000.0,25800000.0,27100000.0,25600000.0
,deferredIncomeTax,-2335000.0,-8697000.0,3873000.0,-11132000.0,16626000.0,15046000.0,-13662000.0,-2176000.0,11794000.0,6770000.0,-1044000.0,13755000.0,20480000.0,19713000.0,-654000.0,-35493000.0,-10577000.0,-7300000.0,-11901000.0,4845000.0,-5393000.0,-51728000.0,14000000.0,14400000.0,22900000.0,-3800000.0,6600000.0,-500000.0,4700000.0,700000.0,-5400000.0,1000000.0,6800000.0
,stockBasedCompensation,6106000.0,5631000.0,8152000.0,7610000.0,6475000.0,5206000.0,6230000.0,6278000.0,6171000.0,5987000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,58189000.0,-122179000.0,13074000.0,27920000.0,-98873000.0,28579000.0,145427000.0,94894000.0,-174545000.0,232038000.0,-12194000.0,124033000.0,-60690000.0,162343000.0,-12401000.0,45745000.0,31488000.0,236843000.0,119110000.0,-119275000.0,345965000.0,-66884000.0,-57000000.0,-18700000.0,47700000.0,35000000.0,-53200000.0,17500000.0,27200000.0,49800000.0,-40600000.0,63700000.0,7600000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11096000.0,0.0,0.0,0.0,0.0,0.0,-61885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,43199000.0,-94538000.0,33796000.0,-116427000.0,52139000.0,-7370000.0,37751000.0,-47492000.0,6578000.0,31907000.0,75146000.0,-215865000.0,-16870000.0,39934000.0,97115000.0,-149641000.0,-155876000.0,-68288000.0,-85958000.0,-80552000.0,-16054000.0,31196000.0,145400000.0,-15400000.0,-130500000.0,-26000000.0,16600000.0,400000.0,0.0,-130000000.0,8300000.0,-52500000.0,-24900000.0
,accountsPayables,0.0,0.0,-54912000.0,13082000.0,28643000.0,-13678000.0,-63257000.0,-27345000.0,11167000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44626000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-5942000.0,1212218000.0,1334397000.0,1321323000.0,1293403000.0,1392276000.0,1363697000.0,1218270000.0,1123376000.0,1297921000.0,1065883000.0,1078077000.0,954044000.0,1014734000.0,852391000.0,864792000.0,819047000.0,787559000.0,550716000.0,431606000.0,550881000.0,204916000.0,271800000.0,328800000.0,347500000.0,299800000.0,264800000.0,318000000.0,300500000.0,273300000.0,223500000.0,264100000.0,200400000.0
,otherNonCashItems,-5124000.0,-6203000.0,21903000.0,-6167000.0,-104000.0,11313000.0,-17058000.0,-72622000.0,2939000.0,71064000.0,28034000.0,24050000.0,35903000.0,20070000.0,62712000.0,34427000.0,9497000.0,-3400000.0,0.0,0.0,0.0,0.0,-100000.0,0.0,7900000.0,49500000.0,35800000.0,18200000.0,-2800000.0,-5700000.0,4000000.0,8100000.0,2600000.0
,netCashProvidedByOperatingActivites,220414000.0,10897000.0,164522000.0,83245000.0,250315000.0,183591000.0,226497000.0,-3503000.0,234466000.0,199786000.0,54218000.0,162234000.0,99066000.0,97067000.0,296411000.0,56361000.0,-87123000.0,-41700000.0,-44853000.0,170383000.0,161196000.0,177833000.0,332400000.0,133400000.0,-1500000.0,147500000.0,60500000.0,27100000.0,64700000.0,51800000.0,8100000.0,53800000.0,94000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-66154000.0,-35227000.0,-38760000.0,-34037000.0,-35630000.0,-47153000.0,-58385000.0,-45849000.0,-30783000.0,-38174000.0,-39129000.0,-57577000.0,-35656000.0,-27704000.0,-25178000.0,-74217000.0,-105757000.0,-63243000.0,-115396000.0,-110790000.0,-61145000.0,-60837000.0,-69200000.0,-96700000.0,-58800000.0,-35300000.0,-101700000.0,-45600000.0,-122300000.0,-47100000.0,-44600000.0,-31800000.0,-37700000.0
,acquisitionsNet,0.0,-80000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000000.0,386000000.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9658000.0,-58889000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50500000.0,-63000000.0
