Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,39937000.0,29134000.0,5666000.0,5037000.0,499000.0,393000.0,576000.0,871000.0,63000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,39937000.0,29134000.0,5666000.0,5037000.0,499000.0,393000.0,576000.0,871000.0,63000.0
Receivables,76632000.0,98132000.0,67625000.0,18740000.0,29543000.0,29823000.0,23470000.0,20963000.0,22850000.0
Inventories,1186000.0,0.0,1990000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,1543705000.0,1769814000.0,2225797000.0,862681000.0,867274000.0,343617000.0,228455000.0,173938000.0,148793000.0
Property, Plant & Equipment Net,997708000.0,1095585000.0,1066608000.0,655310000.0,582182000.0,312701000.0,223819000.0,170231000.0,146808000.0
Goodwill and Intangible Assets,185715000.0,302876000.0,407206000.0,129111000.0,248542000.0,20129000.0,0.0,0.0,0.0
Long-term investments,342879000.0,353479000.0,615551000.0,63704000.0,22252000.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,588102000.0,1277853000.0,1290136000.0,560476000.0,412834000.0,170507000.0,136913000.0,74882000.0,58448000.0
Total assets,1687696000.0,1923466000.0,2349321000.0,891880000.0,913558000.0,382075000.0,256696000.0,199095000.0,173229000.0
Payables,36619000.0,41102000.0,39569000.0,6389000.0,20326000.0,3261000.0,5527000.0,837000.0,980000.0
Short-term debt,522966000.0,7551000.0,5438000.0,2338000.0,2908000.0,2048000.0,0.0,0.0,6615000.0
Total current liabilities,649892000.0,137493000.0,139938000.0,39321000.0,63575000.0,38290000.0,32180000.0,22817000.0,28977000.0
Long-term debt,500739000.0,1201456000.0,1235538000.0,525100000.0,372950000.0,130735000.0,128285000.0,66270000.0,50370000.0
Total debt,1023705000.0,1209007000.0,1240976000.0,527438000.0,375858000.0,132783000.0,128285000.0,66270000.0,56985000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,5826000.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,588102000.0,1277853000.0,1290136000.0,560476000.0,412834000.0,170507000.0,136913000.0,74882000.0,58448000.0
Total liabilities,1237994000.0,1415346000.0,1430074000.0,599797000.0,476409000.0,208797000.0,169093000.0,97699000.0,87425000.0
Other comprehensive income,32000.0,28000.0,-40000.0,40000.0,2000.0,104000.0,351000.0,415000.0,56000.0
Retained earnings (deficit),0.0,0.0,0.0,0.0,,,,,
Total shareholders equity,111302000.0,177179000.0,568402000.0,117257000.0,324467000.0,73839000.0,80165000.0,101396000.0,85804000.0
Investments,342879000.0,353479000.0,615551000.0,63704000.0,22252000.0,0.0,0.0,0.0,0.0
Net Debt,983768000.0,1179873000.0,1235310000.0,522401000.0,375359000.0,132390000.0,127709000.0,65399000.0,56922000.0
Other Assets,26236000.0,26386000.0,48243000.0,5422000.0,16242000.0,8242000.0,4195000.0,3323000.0,1523000.0
Other Liabilities,90307000.0,88840000.0,94931000.0,30594000.0,40341000.0,32981000.0,26653000.0,21980000.0,21382000.0
