Date,2018-12-25,2017-12-26,2016-12-27,2015-12-29,2014-12-30,2013-12-31
Cash and cash equivalents,24894000.0,28277000.0,44192000.0,46991000.0,49469000.0,1031000.0
Short-term investments,125342000.0,119073000.0,0.0,36000000.0,0.0,0.0
Cash and short-term investments,150236000.0,147350000.0,44192000.0,82991000.0,49469000.0,1031000.0
Receivables,7648000.0,8278000.0,5145000.0,4372000.0,3187000.0,2204000.0
Inventories,2019000.0,1733000.0,1519000.0,1123000.0,909000.0,686000.0
Total current assets,37944000.0,40133000.0,52528000.0,53944000.0,54682000.0,4327000.0
Property Plant & Equipment Net,160746000.0,139956000.0,102857000.0,81524000.0,65668000.0,50076000.0
Goodwill and Intangible Assets,9967000.0,9967000.0,9967000.0,9967000.0,22467000.0,22467000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,87918000.0,86173000.0,149607000.0,96389000.0,14364000.0,0.0
Total non-current assets,274662000.0,251991000.0,277838000.0,202767000.0,103940000.0,73554000.0
Total assets,312606000.0,292124000.0,330366000.0,256711000.0,158622000.0,77881000.0
Payables,15034000.0,12976000.0,9734000.0,8885000.0,7036000.0,5784000.0
Short-term debt,806000.0,0.0,0.0,0.0,0.0,2518000.0
Total current liabilities,39262000.0,33602000.0,27135000.0,24145000.0,17133000.0,14994000.0
Long-term debt,20598000.0,19043000.0,14465000.0,11872000.0,0.0,8943000.0
Total debt,21404000.0,19043000.0,14465000.0,11872000.0,0.0,11461000.0
Deferred revenue,230000.0,160000.0,170000.0,235000.0,950000.0,15000.0
Tax Liabilities,104000.0,153000.0,167000.0,167000.0,1824000.0,1187000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,42002000.0,106547000.0,165322000.0,108991000.0,24532000.0,17820000.0
Total liabilities,188371000.0,173799000.0,212653000.0,180873000.0,41665000.0,32814000.0
Other comprehensive income,117107000,113531000,110114000,72963000,0.0,0.0
Retained earnings (deficit),6921000.0,4590000.0,7397000.0,2737000.0,-32000.0,0.0
Total shareholders equity,124235000.0,118325000.0,117713000.0,75838000.0,41545000.0,45067000.0
Investments,125342000.0,119073000.0,0.0,36000000.0,0.0,0.0
Net Debt,-3490000.0,-9234000.0,-29727000.0,-35119000.0,-49469000.0,10430000.0
Other Assets,0.0,0.0,0.0,0.0,1117000.0,406000.0
Other Liabilities,107107000.0,33650000.0,20196000.0,47737000.0,10097000.0,6692000.0
