date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-10518000000.0,-10137000000.0,2138000000.0,-1505000000.0,-1687000000.0,2072000000.0,5438000000.0,6732000000.0,5490000000.0,4997000000.0,4267000000.0,3134000000.0,5434801000.0,5176516000.0,3709851000.0,2206967000.0,1223870000.0,383002000.0,-2319995000.0,522217000.0,734596000.0,366700000.0,1014200000.0,1295700000.0,851500000.0
,depreciationAndAmortization,2566000000.0,3589000000.0,3556000000.0,3837000000.0,4094000000.0,4078000000.0,4094000000.0,3666000000.0,3500000000.0,3281000000.0,2759000000.0,2476000000.0,2268508000.0,1953987000.0,1561410000.0,1350969000.0,1307931000.0,1570851000.0,1545053000.0,1896119000.0,1270754000.0,1020900000.0,1136300000.0,972500000.0,885200000.0
,deferredIncomeTax,-1248000000.0,-1011000000.0,0.0,0.0,0.0,0.0,0.0,-105000000.0,-76000000.0,-35000000.0,-109000000.0,373000000.0,-5698000.0,21866000.0,4598000.0,30482000.0,6774000.0,-12286000.0,-48702000.0,14216000.0,-20757000.0,-21700000.0,-76000000.0,46500000.0,-26200000.0
,stockBasedCompensation,397000000.0,405000000.0,345000000.0,343000000.0,267000000.0,326000000.0,329000000.0,315000000.0,335000000.0,272000000.0,198000000.0,186000000.0,171559000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-839000000.0,-327000000.0,-405000000.0,-683000000.0,-3923000000.0,2273000000.0,-2182000000.0,912000000.0,1787000000.0,2768000000.0,842000000.0,1621973000.0,1218495000.0,819665000.0,-308310000.0,680628000.0,-1215842000.0,2839869000.0,-752583000.0,-2015201000.0,-1629194000.0,245000000.0,2445200000.0,873100000.0,-262800000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,86000000.0,-314000000.0,-10000000.0,108000000.0,800000000.0,625000000.0,-36000000.0,188000000.0,-643000000.0,-991000000.0,-67000000.0,64000000.0,-299142000.0,-356294000.0,-222142000.0,-180099000.0,-166698000.0,96606000.0,72383000.0,-259290000.0,-194640000.0,-43600000.0,-122600000.0,-184400000.0,-144800000.0
,accountsPayables,-3330000000.0,-161000000.0,-824000000.0,-737000000.0,-1680000000.0,-2656000000.0,-36000000.0,654000000.0,928000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-6000000.0,68000000.0,37000000.0,140000000.0,8868000000.0,12791000000.0,10518000000.0,12700000000.0,11788000000.0,10001000000.0,7233000000.0,6391000000.0,4769027000.0,3550532000.0,2730867000.0,3039177000.0,2358549000.0,3574391000.0,734522000.0,1487105000.0,3502306000.0,5131500000.0,4886500000.0,2441300000.0,1568200000.0
,otherNonCashItems,83000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-657000000.0,97000000.0,203000000.0,327000000.0,162000000.0,75030000.0,144106000.0,138235000.0,0.0,0.0,-21830000.0,-144158000.0,-141132000.0,831922000.0,-182500000.0,-42300000.0,31600000.0,-73200000.0
,netCashProvidedByOperatingActivites,2944000000.0,5431000000.0,5713000000.0,5663000000.0,6261000000.0,8572000000.0,11219000000.0,9786000000.0,6688000000.0,6169000000.0,5494000000.0,5266000000.0,6897682000.0,6258938000.0,4781409000.0,3003885000.0,1896665000.0,2104584000.0,2216558000.0,1568172000.0,1709118000.0,1520600000.0,2303100000.0,1708000000.0,1402100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3191041000.0,-2467807000.0,-1592511000.0,-1215847000.0,-1025264000.0,-1365996000.0,-2052635000.0,-1323015000.0,-927300000.0,-1887400000.0,-1496000000.0,-1158000000.0
,acquisitionsNet,401000000.0,325000000.0,287000000.0,-847000000.0,-2398000000.0,-443000000.0,-1008000000.0,-1210000000.0,-845000000.0,-186000000.0,-702000000.0,-514000000.0,-345000000.0,-1119000000.0,-2990000000.0,143000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1444000000.0,-781000000.0,-981000000.0,-1609000000.0,-1031000000.0,-6801000000.0,-740000000.0,-648000000.0,-1228000000.0,0.0,0.0,0.0,0.0,-88815000.0,-2406331000.0,-706762000.0,0.0,-1145700000.0,0.0,0.0,0.0,-295100000.0,-2292200000.0,-846200000.0,-218900000.0
,salesMaturitiesOfInvestments,0.0,317000000.0,1943000000.0,3277000000.0,5544000000.0,0.0,446000000.0,0.0,0.0,351000000.0,1023000000.0,0.0,0.0,0.0,700986000.0,0.0,1368333000.0,554440000.0,51334000.0,2430911000.0,551619000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-194000000.0,-386000000.0,-129000000.0,-493000000.0,-684000000.0,-598000000.0,-302000000.0,-176000000.0,-406000000.0,-59000000.0,-345000000.0,228000000.0,-131222000.0,-201750000.0,-339482000.0,1723000.0,-140377000.0,-226869000.0,-559499000.0,-416188000.0,-286727000.0,-456600000.0,4700000.0,11200000.0,-114200000.0
,netCashUsedForInvestingActivites,-2353000000.0,-2011000000.0,-1040000000.0,-1779000000.0,-624000000.0,-10252000000.0,-5580000000.0,-5977000000.0,-7174000000.0,-3910000000.0,-2938000000.0,-4024000000.0,-5142555000.0,-4600296000.0,-5096731000.0,-2044485000.0,1681889000.0,-1486619000.0,-1420454000.0,-4335584000.0,-1829232000.0,-1611000000.0,-4076500000.0,-2060000000.0,-1392500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
